Gene	EntrezID
BAIAP2	10458
PAK3	5063
VAV1	7409
ARPC2	10109
WASL	8976
MYL5	4636
CD14	929
ARHGEF1	9138
ACTN2	88
ACTG1	71
LIMK1	3984
PPP1CB	5500
CHRM1	1128
PIK3CG	5294
INSRR	3645
PDGFRA	5156
ARHGEF7	8874
PTK2	5747
ARPC1A	10552
RAC3	5881
ITGA4	3676
CHRM2	1129
CHRM4	1132
MSN	4478
VAV3	10451
MYLK	4638
DIAPH2	1730
PIK3R3	8503
ENAH	55740
TMSB4Y	9087
MYL7	58498
ROCK2	9475
LIMK2	3985
RAC1	5879
PPP1CA	5499
GNA12	2768
ARPC1B	10095
MYL12A	10627
ARPC3	10094
SSH2	85464
ITGAE	3682
PIP5K1C	23396
GIT1	28964
SLC9A1	6548
PAK2	5062
MYH10	4628
PXN	5829
WASF1	8936
ARPC5L	81873
ABI2	10152
APC	324
RRAS	6237
ITGB7	3695
PAK7	57144
ACTN1	87
PPP1R12B	4660
F2R	2149
PIP4K2A	5305
PIK3CA	5290
CHRM5	1133
ITGA5	3678
CRKL	1399
CRK	1398
PPP1R12C	54776
SCIN	85477
ITGB5	3693
PAK4	10298
RDX	5962
PIK3CB	5291
CYFIP1	23191
PIP4K2B	8396
WAS	7454
CFL2	1073
RAC2	5880
MYLK3	91807
ROCK1	6093
DIAPH1	1729
PIK3R5	23533
PIK3R1	5295
MYH9	4627
MOS	4342
PIP5K1B	8395
ARAF	369
ARPC5	10092
EZR	7430
NCKAP1L	3071
FGFR2	2263
PPP1R12A	4659
PAK1	5058
CHRM3	1131
CDC42	998
ITGA8	8516
ITGAL	3683
ITGA6	3655
EGFR	1956
ACTN3	89
ITGB6	3694
PFN2	5217
ITGAV	3685
ITGA2B	3674
MYLK4	340156
MAP2K2	5605
ITGA7	3679
MAPK1	5594
SOS1	6654
TIAM1	7074
WASF2	10163
FGD3	89846
ARHGAP35	2909
GNG12	55970
DOCK1	1793
MRAS	22808
CFL1	1072
FGD1	2245
PIK3R2	5296
ARHGEF6	9459
PIK3CD	5293
RRAS2	22800
IQGAP2	10788
RAF1	5894
ITGB4	3691
BDKRB2	624
BCAR1	9564
MYL10	93408
ITGA2	3673
ITGA11	22801
ITGA3	3675
MAP2K1	5604
SSH1	54434
MYH14	79784
APC2	10297
SOS2	6655
MYL12B	103910
BDKRB1	623
ITGB1	3688
PIP4K2C	79837
SSH3	54961
FGFR3	2261
PPP1CC	5501
ITGB3	3690
ITGB2	3689
GNA13	10672
IQGAP3	128239
PFN4	375189
VAV2	7410
ARHGEF4	50649
ITGA9	3680
CYFIP2	26999
MYL9	10398
RHOA	387
MAPK3	5595
ACTB	60
GSN	2934
TMSB4X	7114
MYLPF	29895
FGFR1	2260
MYL2	4633
DIAPH3	81624
PIKFYVE	200576
ARPC4	10093
ITGB8	3696
PDGFRB	5159
ITGA10	8515
SRC	6714
PAK6	56924
ARHGEF12	23365
FGFR4	2264
ITGAX	3687
ITGA1	3672
VCL	7414
IQGAP1	8826
PFN3	345456
BRK1	55845
ITGAM	3684
PIP5K1A	8394
NCKAP1	10787
ITGAD	3681
HRAS	3265
NRAS	4893
KRAS	3845
ACTN4	81
MYLK2	85366
BRAF	673
PFN1	5216
DPP4	1803
TGFB1	7040
CSF1	1435
ILK	3611
MMP14	4323
PTEN	5728
PTK2B	2185
RASA1	5921
CAPN1	823
CAPN2	824
CAV1	857
TLN1	7094
VASP	7408
SVIL	6840
CTTN	2017
FAP	2191
PLD1	5337
RHOB	388
RHOC	389
RND3	390
ACTR2	10097
ACTR3	10096
ARF6	382
EGF	1950
MMP2	4313
MMP9	4318
PLAUR	5329
SH3PXD2A	9644
VEGFA	7422
WIPF1	7456
IGF1R	3480
AKT1	207
HGF	3082
TIMP2	7077
FGF2	2247
PRKCA	5578
MET	4233
RHO	6010
IGF1	3479
ARHGDIA	396
PLCG1	5335
PTPN1	5770
VIM	7431
STAT3	6774
HLA-DMB	3109
CLDN16	10686
CDH2	1000
HLA-DPB1	3115
PTPRC	5788
HLA-B	3106
NRXN3	9369
CNTNAP2	26047
PDCD1LG2	80380
CD22	933
ICAM1	3383
NRXN1	9378
SELPLG	6404
HLA-A	3105
CDH5	1003
SELP	6403
GLG1	2734
CLDN14	23562
HLA-DMA	3108
CDH3	1001
JAM2	58494
HLA-DRB1	3123
PVRL3	25945
L1CAM	3897
CLDN19	149461
HLA-E	3133
HLA-C	3107
NCAM1	4684
HLA-F	3134
CLDN4	1364
ICAM2	3384
NRXN2	9379
LRRC4B	94030
ESAM	90952
CLDN11	5010
CD4	920
CD6	923
ALCAM	214
MADCAM1	8174
CLDN18	51208
VCAM1	7412
