#DiseaseAUCs	BiologicalProcessAUCs
0.601474	0.986185
0.571197	0.986185
0.661736	0.986185
0.574675	0.986185
0.551426	0.986185
0.533920	0.986185
0.628041	0.986185
0.535460	0.986185
0.649253	0.986185
0.570693	0.986185
0.500244	0.986185
0.582405	0.986185
0.523712	0.986185
0.527409	0.986185
0.565464	0.986185
0.635589	0.986185
0.555938	0.986185
0.552045	0.986185
0.537669	0.986185
0.633893	0.986185
0.652347	0.986185
0.626565	0.986185
0.572278	0.986185
0.591728	0.986185
0.642893	0.986185
0.647024	0.986185
0.637492	0.986185
0.559849	0.986185
0.581586	0.986185
0.595993	0.986185
0.651907	0.986185
0.660415	0.986185
0.613007	0.986185
0.551995	0.986185
0.581032	0.986185
0.653088	0.986185
0.581334	0.986185
0.579225	0.986185
0.613182	0.986185
0.615981	0.986185
0.544162	0.986185
0.574349	0.986185
0.586294	0.986185
0.476385	0.986185
0.612682	0.986185
0.600984	0.986185
0.627087	0.986185
0.652449	0.986185
0.564006	0.986185
0.642619	0.986185
