#Iter	Time	Change
0	1.09	4.470706e+02
1	1.11	2.065161e+02
2	1.13	1.700920e+02
3	1.07	1.540770e+02
4	1.37	1.398747e+02
5	1.33	1.273132e+02
6	1.53	1.155131e+02
7	1.25	1.047507e+02
8	1.07	9.480908e+01
9	1.04	8.581563e+01
10	1.07	7.762224e+01
11	1.05	7.024582e+01
12	1.05	6.356509e+01
13	1.05	5.755781e+01
14	1.04	5.212803e+01
15	1.05	4.724283e+01
16	1.06	4.282792e+01
17	1.09	3.885044e+01
18	1.04	3.525331e+01
19	1.05	3.200741e+01
20	1.05	2.906882e+01
21	1.03	2.641294e+01
22	1.05	2.400585e+01
23	1.05	2.182715e+01
24	1.08	1.985046e+01
25	1.04	1.805904e+01
26	1.11	1.643221e+01
27	1.04	1.495623e+01
28	1.06	1.361479e+01
29	1.04	1.239662e+01
30	1.09	1.128875e+01
31	1.06	1.028190e+01
32	1.07	9.365716e+00
33	1.04	8.532553e+00
34	1.06	7.774062e+00
35	1.03	7.083946e+00
36	1.13	6.455450e+00
37	1.10	5.883367e+00
38	1.05	5.362210e+00
39	1.05	4.887665e+00
40	1.05	4.455261e+00
41	1.09	4.061418e+00
42	1.05	3.702482e+00
43	1.04	3.375478e+00
44	1.10	3.077411e+00
45	1.08	2.805811e+00
46	1.05	2.558215e+00
47	1.05	2.332568e+00
48	1.05	2.126844e+00
49	1.03	1.939334e+00
50	1.07	1.768367e+00
51	1.06	1.612521e+00
52	1.06	1.470415e+00
53	1.09	1.340866e+00
54	1.10	1.222735e+00
55	1.07	1.115033e+00
56	1.05	1.016820e+00
57	1.08	9.272742e-01
58	1.05	8.456143e-01
59	1.05	7.711570e-01
60	1.04	7.032556e-01
61	1.06	6.413410e-01
62	1.03	5.848769e-01
63	1.05	5.333895e-01
64	1.11	4.864342e-01
65	1.05	4.436163e-01
66	1.05	4.045669e-01
67	1.05	3.689576e-01
68	1.06	3.364822e-01
69	1.04	3.068671e-01
70	1.07	2.798582e-01
71	1.03	2.552279e-01
72	1.05	2.327650e-01
73	1.05	2.122800e-01
74	1.05	1.935976e-01
75	1.04	1.765601e-01
76	1.06	1.610217e-01
77	1.07	1.468513e-01
78	1.06	1.339278e-01
79	1.04	1.221420e-01
80	1.07	1.113932e-01
81	1.05	1.015906e-01
82	1.06	9.265049e-02
83	1.12	8.449731e-02
84	1.09	7.706154e-02
85	1.03	7.028023e-02
86	1.06	6.409562e-02
87	1.04	5.845534e-02
88	1.05	5.331135e-02
89	1.05	4.862009e-02
90	1.10	4.434161e-02
91	1.04	4.043968e-02
92	1.07	3.688109e-02
93	1.05	3.363567e-02
94	1.05	3.067582e-02
95	1.07	2.797646e-02
96	1.03	2.551461e-02
97	1.10	2.326942e-02
98	1.04	2.122179e-02
99	1.05	1.935435e-02
100	1.05	1.765124e-02
101	1.13	1.609800e-02
102	1.05	1.468143e-02
103	1.07	1.338952e-02
104	1.07	1.221130e-02
105	1.07	1.113675e-02
106	1.04	1.015676e-02
107	1.06	9.263008e-03
108	1.05	8.447900e-03
109	1.07	7.704520e-03
110	1.08	7.026553e-03
111	1.10	6.408247e-03
112	1.05	5.844347e-03
113	1.06	5.330069e-03
114	1.07	4.861045e-03
115	1.21	4.433294e-03
116	1.06	4.043183e-03
117	1.08	3.687400e-03
118	1.06	3.362924e-03
119	1.06	3.067001e-03
120	1.10	2.797118e-03
121	1.06	2.550984e-03
122	1.06	2.326508e-03
123	1.09	2.121785e-03
124	1.05	1.935077e-03
125	1.06	1.764799e-03
126	1.04	1.609504e-03
127	1.06	1.467875e-03
128	1.05	1.338708e-03
129	1.05	1.220908e-03
130	1.11	1.113473e-03
131	1.06	1.015492e-03
132	1.06	9.261332e-04
