#EntrezID	Name	Score
29068	ZBTB44	1.000000
105	ADARB2	1.000000
56829	ZC3HAV1	1.000000
89958	SAPCD2	1.000000
129303	TMEM150A	1.000000
5033	P4HA1	1.000000
83450	DRC3	1.000000
401551	WDR38	1.000000
57182	ANKRD50	1.000000
6540	SLC6A13	1.000000
2058	EPRS	1.000000
348	APOE	1.000000
63941	NECAB3	1.000000
25854	FAM149A	1.000000
11316	COPE	1.000000
3192	HNRNPU	1.000000
8991	SELENBP1	1.000000
8476	CDC42BPA	1.000000
23760	PITPNB	1.000000
7124	TNF	1.000000
162427	RETREG3	1.000000
22881	ANKRD6	1.000000
84866	TMEM25	1.000000
9320	TRIP12	1.000000
23200	ATP11B	1.000000
8482	SEMA7A	1.000000
54726	OTUD4	1.000000
149041	RC3H1	1.000000
23089	PEG10	1.000000
363	AQP6	1.000000
2558	GABRA5	1.000000
27185	DISC1	1.000000
23603	CORO1C	1.000000
8087	FXR1	1.000000
5610	EIF2AK2	1.000000
90485	ZNF835	1.000000
1774	DNASE1L1	1.000000
124935	SLC43A2	1.000000
92597	MOB1B	1.000000
79412	KREMEN2	1.000000
6988	TCTA	1.000000
51162	EGFL7	1.000000
9715	FAM131B	1.000000
79947	DHDDS	1.000000
116	ADCYAP1	1.000000
205	AK4	1.000000
11320	MGAT4A	1.000000
60495	HPSE2	1.000000
94160	ABCC12	1.000000
6578	SLCO2A1	1.000000
9991	PTBP3	1.000000
25896	INTS7	1.000000
80775	TMEM177	1.000000
79671	NLRX1	1.000000
29086	BABAM1	1.000000
63826	SRR	1.000000
604	BCL6	1.000000
91252	SLC39A13	1.000000
4582	MUC1	1.000000
57188	ADAMTSL3	1.000000
10914	PAPOLA	1.000000
56144	PCDHA4	1.000000
79139	DERL1	1.000000
8835	SOCS2	1.000000
84152	PPP1R1B	1.000000
63905	MANBAL	1.000000
9452	ITM2A	1.000000
80313	LRRC27	1.000000
1869	E2F1	1.000000
4974	OMG	1.000000
65094	JMJD4	1.000000
57020	VPS35L	1.000000
30815	ST6GALNAC6	1.000000
55004	LAMTOR1	1.000000
64116	SLC39A8	1.000000
3338	DNAJC4	1.000000
572	BAD	1.000000
56245	C21orf62	1.000000
79071	ELOVL6	1.000000
51762	RAB8B	1.000000
7123	CLEC3B	1.000000
54814	QPCTL	1.000000
55466	DNAJA4	1.000000
138311	FAM69B	1.000000
6948	TCN2	1.000000
170463	SSBP4	1.000000
5625	PRODH	1.000000
216	ALDH1A1	1.000000
1135	CHRNA2	1.000000
221895	JAZF1	1.000000
3084	NRG1	1.000000
92	ACVR2A	1.000000
50649	ARHGEF4	1.000000
1768	DNAH6	1.000000
2788	GNG7	1.000000
55033	FKBP14	1.000000
159090	FAM122B	1.000000
167227	DCP2	1.000000
23411	SIRT1	1.000000
56899	ANKS1B	1.000000
85452	CFAP74	1.000000
27324	TOX3	1.000000
64792	IFT22	1.000000
79095	C9orf16	1.000000
56895	AGPAT4	1.000000
162394	SLFN5	1.000000
114984	FLYWCH2	1.000000
1813	DRD2	1.000000
10445	MCRS1	1.000000
56147	PCDHA1	1.000000
3698	ITIH2	1.000000
10815	CPLX1	1.000000
56143	PCDHA5	1.000000
1397	CRIP2	1.000000
10285	SMNDC1	1.000000
5639	PRRG2	1.000000
7514	XPO1	1.000000
9244	CRLF1	1.000000
84919	PPP1R15B	1.000000
93010	B3GNT7	1.000000
6271	S100A1	1.000000
57223	PPP4R3B	1.000000
4673	NAP1L1	1.000000
64743	WDR13	1.000000
55103	RALGPS2	1.000000
57799	RAB40C	1.000000
3552	IL1A	1.000000
8539	API5	1.000000
83448	PUS7L	1.000000
330	BIRC3	1.000000
117145	THEM4	1.000000
7073	TIAL1	1.000000
3598	IL13RA2	1.000000
56603	CYP26B1	1.000000
113251	LARP4	1.000000
55588	MED29	1.000000
79754	ASB13	1.000000
57600	FNIP2	1.000000
4213	MEIS3P1	1.000000
1160	CKMT2	1.000000
10266	RAMP2	1.000000
138162	C9orf116	1.000000
8658	TNKS	1.000000
1809	DPYSL3	1.000000
10116	FEM1B	1.000000
10023	FRAT1	1.000000
9750	RIPOR2	1.000000
55152	DALRD3	1.000000
147807	ZNF524	1.000000
4160	MC4R	1.000000
50650	ARHGEF3	1.000000
84458	LCOR	1.000000
338761	C1QL4	1.000000
6624	FSCN1	1.000000
1264	CNN1	1.000000
64236	PDLIM2	1.000000
11052	CPSF6	1.000000
84681	HINT2	1.000000
387882	C12orf75	1.000000
92305	TMEM129	1.000000
6374	CXCL5	1.000000
5927	KDM5A	1.000000
56140	PCDHA8	1.000000
64925	CCDC71	1.000000
84620	ST6GAL2	1.000000
117177	RAB3IP	1.000000
51621	KLF13	1.000000
4015	LOX	1.000000
84532	ACSS1	1.000000
50509	COL5A3	1.000000
201255	LRRC45	1.000000
390616	ANKRD34C	1.000000
85460	ZNF518B	1.000000
3730	ANOS1	1.000000
80306	MED28	1.000000
54884	RETSAT	1.000000
1808	DPYSL2	1.000000
