#Iter	Time	Change
0	1.15	4.670743e+02
1	1.14	3.411537e+02
2	1.12	3.034221e+02
3	1.11	2.729095e+02
4	1.14	2.450881e+02
5	1.11	2.205663e+02
6	1.13	1.985328e+02
7	1.13	1.789930e+02
8	1.12	1.614703e+02
9	1.11	1.458648e+02
10	1.11	1.318580e+02
11	1.12	1.193367e+02
12	1.17	1.080787e+02
13	1.15	9.798155e+01
14	1.12	8.888527e+01
15	1.12	8.070353e+01
16	1.14	7.331834e+01
17	1.11	6.665893e+01
18	1.14	6.063667e+01
19	1.13	5.519424e+01
20	1.16	5.026407e+01
21	1.12	4.579994e+01
22	1.12	4.174967e+01
23	1.12	3.807602e+01
24	1.18	3.473828e+01
25	1.13	3.170638e+01
26	1.19	2.894828e+01
27	1.26	2.643965e+01
28	1.27	2.415504e+01
29	1.17	2.207472e+01
30	1.16	2.017834e+01
31	1.56	1.844982e+01
32	1.61	1.687282e+01
33	1.22	1.543416e+01
34	1.25	1.412065e+01
35	1.19	1.292149e+01
36	1.18	1.182594e+01
37	1.16	1.082511e+01
38	1.20	9.910269e+00
39	1.44	9.074058e+00
40	1.28	8.309324e+00
41	1.27	7.609987e+00
42	1.26	6.970167e+00
43	1.18	6.384822e+00
44	1.23	5.849104e+00
45	1.19	5.358825e+00
46	1.24	4.909979e+00
47	1.21	4.499079e+00
48	1.20	4.122807e+00
49	1.17	3.778257e+00
50	1.22	3.462673e+00
51	1.19	3.173630e+00
52	1.20	2.908838e+00
53	1.21	2.666269e+00
54	1.24	2.444016e+00
55	1.24	2.240383e+00
56	1.27	2.053779e+00
57	1.27	1.882785e+00
58	1.26	1.726072e+00
59	1.17	1.582452e+00
60	1.23	1.450813e+00
61	1.26	1.330160e+00
62	1.19	1.219563e+00
63	1.12	1.118187e+00
64	1.11	1.025254e+00
65	1.14	9.400624e-01
66	1.25	8.619614e-01
67	1.25	7.903618e-01
68	1.20	7.247180e-01
69	1.10	6.645354e-01
70	1.11	6.093565e-01
71	1.13	5.587659e-01
72	1.10	5.123797e-01
73	1.19	4.698490e-01
74	1.23	4.308516e-01
75	1.22	3.950944e-01
76	1.13	3.623069e-01
77	1.12	3.322427e-01
78	1.14	3.046748e-01
79	1.25	2.793961e-01
80	1.30	2.562159e-01
81	1.27	2.349600e-01
82	1.26	2.154684e-01
83	1.17	1.975946e-01
84	1.17	1.812040e-01
85	1.11	1.661737e-01
86	1.11	1.523905e-01
87	1.14	1.397510e-01
88	1.17	1.281602e-01
89	1.14	1.175310e-01
90	1.20	1.077835e-01
91	1.12	9.884474e-02
92	1.12	9.064740e-02
93	1.20	8.313005e-02
94	1.28	7.623622e-02
95	1.11	6.991420e-02
96	1.20	6.411652e-02
97	1.13	5.879970e-02
98	1.15	5.392383e-02
99	1.15	4.945234e-02
100	1.17	4.535168e-02
101	1.25	4.159110e-02
102	1.18	3.814237e-02
103	1.13	3.497964e-02
104	1.15	3.207918e-02
105	1.16	2.941925e-02
106	1.43	2.697988e-02
107	1.36	2.474280e-02
108	1.25	2.269122e-02
109	1.37	2.080976e-02
110	1.14	1.908431e-02
111	1.15	1.750194e-02
112	1.18	1.605077e-02
113	1.15	1.471993e-02
114	1.15	1.349944e-02
115	1.19	1.238015e-02
116	1.17	1.135367e-02
117	1.15	1.041230e-02
118	1.19	9.548982e-03
119	1.15	8.757249e-03
120	1.17	8.031161e-03
121	1.15	7.365277e-03
122	1.16	6.754604e-03
123	1.16	6.194565e-03
124	1.19	5.680961e-03
125	1.20	5.209941e-03
126	1.15	4.777975e-03
127	1.14	4.381824e-03
128	1.15	4.018520e-03
129	1.14	3.685338e-03
130	1.16	3.379781e-03
131	1.20	3.099559e-03
132	1.16	2.842570e-03
133	1.13	2.606889e-03
134	1.16	2.390748e-03
135	1.45	2.192529e-03
136	1.15	2.010743e-03
137	1.17	1.844031e-03
138	1.17	1.691140e-03
139	1.15	1.550926e-03
140	1.10	1.422337e-03
141	1.15	1.304410e-03
142	1.16	1.196260e-03
143	1.15	1.097077e-03
144	1.12	1.006117e-03
145	1.10	9.226993e-04
