#Iter	Time	Change
0	1.07	4.361159e+02
1	1.11	1.369247e+02
2	1.07	9.125983e+01
3	1.13	7.593159e+01
4	1.08	6.585425e+01
5	1.10	5.920452e+01
6	1.06	5.321416e+01
7	1.07	4.788104e+01
8	1.05	4.287685e+01
9	1.07	3.837804e+01
10	1.08	3.424337e+01
11	1.06	3.055689e+01
12	1.06	2.722334e+01
13	1.07	2.426606e+01
14	1.05	2.161287e+01
15	1.07	1.926288e+01
16	1.05	1.716200e+01
17	1.09	1.530098e+01
18	1.07	1.363954e+01
19	1.05	1.216650e+01
20	1.08	1.085183e+01
21	1.08	9.684917e+00
22	1.05	8.643257e+00
23	1.07	7.717602e+00
24	1.09	6.890972e+00
25	1.05	6.155614e+00
26	1.11	5.498629e+00
27	1.05	4.913634e+00
28	1.06	4.390764e+00
29	1.09	3.924814e+00
30	1.08	3.508192e+00
31	1.05	3.136671e+00
32	1.07	2.804379e+00
33	1.05	2.507892e+00
34	1.07	2.242644e+00
35	1.06	2.005866e+00
36	1.07	1.793995e+00
37	1.08	1.604790e+00
38	1.06	1.435463e+00
39	1.04	1.284203e+00
40	1.06	1.148818e+00
41	1.05	1.027846e+00
42	1.09	9.195617e-01
43	1.08	8.227833e-01
44	1.11	7.361508e-01
45	1.14	6.587087e-01
46	1.05	5.893829e-01
47	1.06	5.274017e-01
48	1.08	4.719152e-01
49	1.05	4.223006e-01
50	1.07	3.778843e-01
51	1.10	3.381640e-01
52	1.04	3.026052e-01
53	1.07	2.708028e-01
54	1.05	2.423326e-01
55	1.06	2.168679e-01
56	1.06	1.940714e-01
57	1.12	1.736801e-01
58	1.05	1.554256e-01
59	1.06	1.390961e-01
60	1.05	1.244780e-01
61	1.06	1.114007e-01
62	1.05	9.969415e-02
63	1.06	8.922107e-02
64	1.10	7.984586e-02
65	1.06	7.145817e-02
66	1.06	6.394986e-02
67	1.07	5.723219e-02
68	1.05	5.121891e-02
69	1.06	4.583867e-02
70	1.06	4.102266e-02
71	1.09	3.671353e-02
72	1.06	3.285636e-02
73	1.06	2.940507e-02
74	1.04	2.631581e-02
75	1.01	2.355157e-02
76	1.00	2.107732e-02
77	1.03	1.886335e-02
78	1.04	1.688166e-02
79	1.01	1.510841e-02
80	1.01	1.352122e-02
81	1.02	1.210095e-02
82	1.04	1.082971e-02
83	1.02	9.692159e-03
84	1.04	8.673986e-03
85	1.02	7.762868e-03
86	1.04	6.947376e-03
87	1.01	6.217621e-03
88	1.02	5.564462e-03
89	1.01	4.979968e-03
90	1.02	4.456827e-03
91	1.04	3.988679e-03
92	1.01	3.569674e-03
93	1.08	3.194712e-03
94	1.02	2.859114e-03
95	1.01	2.558789e-03
96	1.02	2.289995e-03
97	1.00	2.049451e-03
98	1.04	1.834161e-03
99	1.02	1.641498e-03
100	1.01	1.469064e-03
101	1.02	1.314751e-03
102	1.00	1.176641e-03
103	1.02	1.053044e-03
104	1.01	9.424256e-04
