#EntrezID	Name	Score
114984	FLYWCH2	1.000000
8476	CDC42BPA	1.000000
10116	FEM1B	1.000000
10146	G3BP1	1.000000
11231	SEC63	1.000000
64320	RNF25	1.000000
11316	COPE	1.000000
5927	KDM5A	1.000000
3730	ANOS1	1.000000
1813	DRD2	1.000000
94160	ABCC12	1.000000
91851	CHRDL1	1.000000
116	ADCYAP1	1.000000
4160	MC4R	1.000000
55004	LAMTOR1	1.000000
8835	SOCS2	1.000000
6271	S100A1	1.000000
83448	PUS7L	1.000000
284358	MAMSTR	1.000000
23089	PEG10	1.000000
653441	PHC1P1	1.000000
85442	KNDC1	1.000000
55466	DNAJA4	1.000000
8539	API5	1.000000
79071	ELOVL6	1.000000
10023	FRAT1	1.000000
5639	PRRG2	1.000000
221895	JAZF1	1.000000
9991	PTBP3	1.000000
1397	CRIP2	1.000000
51162	EGFL7	1.000000
84458	LCOR	1.000000
79671	NLRX1	1.000000
63941	NECAB3	1.000000
1135	CHRNA2	1.000000
84275	SLC25A33	1.000000
3698	ITIH2	1.000000
85452	CFAP74	1.000000
10266	RAMP2	1.000000
25896	INTS7	1.000000
105	ADARB2	1.000000
5878	RAB5C	1.000000
64743	WDR13	1.000000
138162	C9orf116	1.000000
56899	ANKS1B	1.000000
55033	FKBP14	1.000000
79785	RERGL	1.000000
3338	DNAJC4	1.000000
1465	CSRP1	1.000000
50650	ARHGEF3	1.000000
84152	PPP1R1B	1.000000
1160	CKMT2	1.000000
1869	E2F1	1.000000
3084	NRG1	1.000000
84276	NICN1	1.000000
3356	HTR2A	1.000000
85460	ZNF518B	1.000000
51257	MARCH2	1.000000
3320	HSP90AA1	1.000000
246175	CNOT6L	1.000000
90485	ZNF835	1.000000
66004	LYNX1	1.000000
55152	DALRD3	1.000000
63982	ANO3	1.000000
10914	PAPOLA	1.000000
129787	TMEM18	1.000000
50649	ARHGEF4	1.000000
347862	GATD1	1.000000
2788	GNG7	1.000000
22847	ZNF507	1.000000
4154	MBNL1	1.000000
286336	FAM78A	1.000000
7073	TIAL1	1.000000
23541	SEC14L2	1.000000
9452	ITM2A	1.000000
2058	EPRS	1.000000
54587	MXRA8	1.000000
64792	IFT22	1.000000
8991	SELENBP1	1.000000
64116	SLC39A8	1.000000
3699	ITIH3	1.000000
654429	LRTM2	1.000000
6540	SLC6A13	1.000000
92241	RCSD1	1.000000
7124	TNF	1.000000
22881	ANKRD6	1.000000
57223	PPP4R3B	1.000000
79139	DERL1	1.000000
80775	TMEM177	1.000000
55588	MED29	1.000000
84919	PPP1R15B	1.000000
89958	SAPCD2	1.000000
54726	OTUD4	1.000000
92597	MOB1B	1.000000
10815	CPLX1	1.000000
6948	TCN2	1.000000
387640	SKIDA1	1.000000
441869	ANKRD65	1.000000
7762	ZNF215	1.000000
23760	PITPNB	1.000000
65094	JMJD4	1.000000
284076	TTLL6	1.000000
57600	FNIP2	1.000000
3552	IL1A	1.000000
56140	PCDHA8	1.000000
5625	PRODH	1.000000
6944	VPS72	1.000000
27185	DISC1	1.000000
2558	GABRA5	1.000000
79669	C3orf52	1.000000
348	APOE	1.000000
26	AOC1	1.000000
10445	MCRS1	1.000000
115827	RAB3C	1.000000
56647	BCCIP	1.000000
6624	FSCN1	1.000000
5610	EIF2AK2	1.000000
84532	ACSS1	1.000000
255275	MYADML2	1.000000
64236	PDLIM2	1.000000
23138	N4BP3	1.000000
84681	HINT2	1.000000
363	AQP6	1.000000
148641	SLC35F3	1.000000
5201	PFDN1	1.000000
65065	NBEAL1	1.000000
56147	PCDHA1	1.000000
4015	LOX	1.000000
29086	BABAM1	1.000000
56144	PCDHA4	1.000000
1774	DNASE1L1	1.000000
9957	HS3ST1	1.000000
27146	FAM184B	1.000000
8646	CHRD	1.000000
2561	GABRB2	1.000000
5127	CDK16	1.000000
56245	C21orf62	1.000000
56961	SHD	1.000000
9878	TOX4	1.000000
9244	CRLF1	1.000000
56829	ZC3HAV1	1.000000
7514	XPO1	1.000000
10100	TSPAN2	1.000000
5033	P4HA1	1.000000
1809	DPYSL3	1.000000
8087	FXR1	1.000000
10285	SMNDC1	1.000000
51621	KLF13	1.000000
25854	FAM149A	1.000000
254295	PHYHD1	1.000000
90070	LACRT	1.000000
113251	LARP4	1.000000
7123	CLEC3B	1.000000
90134	KCNH7	1.000000
27324	TOX3	1.000000
3598	IL13RA2	1.000000
11052	CPSF6	1.000000
9320	TRIP12	1.000000
399474	TMEM200B	1.000000
66035	SLC2A11	1.000000
285025	CCDC141	1.000000
161198	CLEC14A	1.000000
30815	ST6GALNAC6	1.000000
10522	DEAF1	1.000000
79412	KREMEN2	1.000000
9931	HELZ	1.000000
92305	TMEM129	1.000000
390616	ANKRD34C	1.000000
57182	ANKRD50	1.000000
205	AK4	1.000000
139065	SLITRK4	1.000000
5067	CNTN3	1.000000
23411	SIRT1	1.000000
64795	RMND5A	1.000000
6870	TACR3	1.000000
10178	TENM1	1.000000
93058	COQ10A	1.000000
63905	MANBAL	1.000000
51361	HOOK1	1.000000
375704	ENHO	1.000000
151835	CPNE9	1.000000
9715	FAM131B	1.000000
60495	HPSE2	1.000000
57472	CNOT6	1.000000
57188	ADAMTSL3	1.000000
149041	RC3H1	1.000000
9877	ZC3H11A	1.000000
91252	SLC39A13	1.000000
162394	SLFN5	1.000000
23200	ATP11B	1.000000
167227	DCP2	1.000000
818	CAMK2G	1.000000
153222	CREBRF	1.000000
23603	CORO1C	1.000000
2149	F2R	1.000000
1808	DPYSL2	1.000000
8482	SEMA7A	1.000000
3192	HNRNPU	1.000000
54884	RETSAT	1.000000
138311	FAM69B	1.000000
642273	FAM110C	1.000000
