#EntrezID	Name	Score
1950	EGF	1.000000
114984	FLYWCH2	1.000000
3107	HLA-C	1.000000
5604	MAP2K1	1.000000
941	CD80	1.000000
8476	CDC42BPA	1.000000
396	ARHGDIA	1.000000
1499	CTNNB1	1.000000
10116	FEM1B	1.000000
10146	G3BP1	1.000000
2065	ERBB3	1.000000
64101	LRRC4	1.000000
57863	CADM3	1.000000
11231	SEC63	1.000000
64320	RNF25	1.000000
83747	83747	1.000000
11316	COPE	1.000000
5609	MAP2K7	1.000000
7143	TNR	1.000000
5927	KDM5A	1.000000
5291	PIK3CB	1.000000
22854	NTNG1	1.000000
7448	VTN	1.000000
8735	MYH13	1.000000
3730	ANOS1	1.000000
1813	DRD2	1.000000
369	ARAF	1.000000
60	ACTB	1.000000
9074	CLDN6	1.000000
3696	ITGB8	1.000000
94160	ABCC12	1.000000
644739	WASF4P	1.000000
10094	ARPC3	1.000000
89	ACTN3	1.000000
91851	CHRDL1	1.000000
4323	MMP14	1.000000
382	ARF6	1.000000
128239	IQGAP3	1.000000
3683	ITGAL	1.000000
56288	PARD3	1.000000
116	ADCYAP1	1.000000
947	CD34	1.000000
4160	MC4R	1.000000
5501	PPP1CC	1.000000
149483	CCDC17	1.000000
57144	PAK5	1.000000
3909	LAMA3	1.000000
3112	HLA-DOB	1.000000
2261	FGFR3	1.000000
23624	CBLC	1.000000
55004	LAMTOR1	1.000000
8835	SOCS2	1.000000
3914	LAMB3	1.000000
65061	CDK15	1.000000
3690	ITGB3	1.000000
10109	ARPC2	1.000000
6271	S100A1	1.000000
56034	PDGFC	1.000000
10398	MYL9	1.000000
81873	ARPC5L	1.000000
8174	MADCAM1	1.000000
399716	LOC399716	1.000000
25759	SHC2	1.000000
56145	PCDHA3	1.000000
7430	EZR	1.000000
3694	ITGB6	1.000000
9138	ARHGEF1	1.000000
6093	ROCK1	1.000000
9475	ROCK2	1.000000
7431	VIM	1.000000
2191	FAP	1.000000
83448	PUS7L	1.000000
214	ALCAM	1.000000
284358	MAMSTR	1.000000
5894	RAF1	1.000000
3115	HLA-DPB1	1.000000
23089	PEG10	1.000000
653441	PHC1P1	1.000000
85442	KNDC1	1.000000
55466	DNAJA4	1.000000
8539	API5	1.000000
79071	ELOVL6	1.000000
10023	FRAT1	1.000000
3996	LLGL1	1.000000
3082	HGF	1.000000
83700	JAM3	1.000000
92359	CRB3	1.000000
8936	WASF1	1.000000
5295	PIK3R1	1.000000
5639	PRRG2	1.000000
1301	COL11A1	1.000000
221895	JAZF1	1.000000
9019	MPZL1	1.000000
57530	CGN	1.000000
9991	PTBP3	1.000000
1027	CDKN1B	1.000000
50848	F11R	1.000000
1397	CRIP2	1.000000
51162	EGFL7	1.000000
84612	PARD6B	1.000000
84458	LCOR	1.000000
9076	CLDN1	1.000000
79671	NLRX1	1.000000
63941	NECAB3	1.000000
1135	CHRNA2	1.000000
84275	SLC25A33	1.000000
3698	ITIH2	1.000000
84628	NTNG2	1.000000
7423	VEGFB	1.000000
7422	VEGFA	1.000000
63923	TNN	1.000000
85452	CFAP74	1.000000
115827	RAB3C	1.000000
10266	RAMP2	1.000000
1839	HBEGF	1.000000
25896	INTS7	1.000000
8440	NCK2	1.000000
105	ADARB2	1.000000
5878	RAB5C	1.000000
64743	WDR13	1.000000
138162	C9orf116	1.000000
56899	ANKS1B	1.000000
394	ARHGAP5	1.000000
55033	FKBP14	1.000000
57644	MYH7B	1.000000
79785	RERGL	1.000000
3480	IGF1R	1.000000
4626	MYH8	1.000000
3338	DNAJC4	1.000000
1465	CSRP1	1.000000
50650	ARHGEF3	1.000000
84152	PPP1R1B	1.000000
29126	CD274	1.000000
23562	CLDN14	1.000000
1160	CKMT2	1.000000
1869	E2F1	1.000000
3084	NRG1	1.000000
10666	CD226	1.000000
4685	NCAM2	1.000000
84276	NICN1	1.000000
5792	PTPRF	1.000000
25	ABL1	1.000000
1282	COL4A1	1.000000
3356	HTR2A	1.000000
4301	AFDN	1.000000
85460	ZNF518B	1.000000
965	CD58	1.000000
2260	FGFR1	1.000000
55845	BRK1	1.000000
958	CD40	1.000000
3688	ITGB1	1.000000
1072	CFL1	1.000000
