#DiseaseAUCs	BiologicalProcessAUCs
0.556118	0.977528
0.596704	0.977528
0.554210	0.977528
0.550857	0.977528
0.486593	0.977528
0.709532	0.977528
0.520609	0.977528
0.554340	0.977528
0.446039	0.977528
0.583938	0.977528
0.557542	0.977528
0.570920	0.977528
0.610439	0.977528
0.605867	0.977528
0.662821	0.977528
0.505437	0.977528
0.568327	0.977528
0.574068	0.977528
0.527438	0.977528
0.630618	0.977528
0.596666	0.977528
0.604739	0.977528
0.654968	0.977528
0.505923	0.977528
0.521452	0.977528
0.538925	0.977528
0.470443	0.977528
0.619851	0.977528
0.530536	0.977528
0.581327	0.977528
0.446361	0.977528
0.563007	0.977528
0.543803	0.977528
0.564179	0.977528
0.666433	0.977528
0.642796	0.977528
0.608380	0.977528
0.478987	0.977528
0.537785	0.977528
0.640507	0.977528
0.511499	0.977528
0.611013	0.977528
0.450914	0.977528
0.555631	0.977528
0.576436	0.977528
0.518942	0.977528
0.567339	0.977528
0.558893	0.977528
0.566364	0.977528
0.570358	0.977528
