#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
55966	AJAP1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
23761	PISD	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
79042	TSEN34	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
1264	CNN1	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
57125	PLXDC1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
3356	HTR2A	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
1135	CHRNA2	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.800581	0.800581	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.686554	0.686554	NO
1396	CRIP1	Unlabeled	1.000000	Unlabeled	0.623550	0.623550	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.623550	0.623550	NO
8646	CHRD	Positive	1.000000	Unlabeled	0.623469	0.623469	NO
604	BCL6	Positive	1.000000	Unlabeled	0.602675	0.602675	NO
6624	FSCN1	Positive	1.000000	Unlabeled	0.596134	0.596134	NO
5878	RAB5C	Positive	1.000000	Unlabeled	0.583956	0.583956	NO
27185	DISC1	Positive	1.000000	Unlabeled	0.578531	0.578531	NO
162427	RETREG3	Positive	1.000000	Unlabeled	0.562205	0.562205	NO
8835	SOCS2	Positive	1.000000	Unlabeled	0.546148	0.546148	NO
64236	PDLIM2	Positive	1.000000	Unlabeled	0.505623	0.505623	NO
3674	ITGA2B	Unlabeled	0.500000	Unlabeled	1.000000	0.500000	YES
5580	PRKCD	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
921	CD5	Unlabeled	0.500000	Unlabeled	1.000000	0.500000	NO
