#EntrezID	Name	Score
5728	PTEN	1.000000
83660	TLN2	1.000000
2768	GNA12	1.000000
3111	HLA-DOA	1.000000
10552	ARPC1A	1.000000
80310	PDGFD	1.000000
4638	MYLK	1.000000
5599	MAPK8	1.000000
5501	PPP1CC	1.000000
401509	ZNF658B	1.000000
3678	ITGA5	1.000000
10627	MYL12A	1.000000
3791	KDR	1.000000
1003	CDH5	1.000000
60	ACTB	1.000000
5881	RAC3	1.000000
324	APC	1.000000
5923	RASGRF1	1.000000
8174	MADCAM1	1.000000
9863	MAGI2	1.000000
389558	FAM180A	1.000000
4626	MYH8	1.000000
596	BCL2	1.000000
1366	CLDN7	1.000000
1128	CHRM1	1.000000
9379	NRXN2	1.000000
29895	MYLPF	1.000000
29780	PARVB	1.000000
9074	CLDN6	1.000000
6237	RRAS	1.000000
5578	PRKCA	1.000000
5063	PAK3	1.000000
3918	LAMC2	1.000000
8531	YBX3	1.000000
54413	NLGN3	1.000000
2885	GRB2	1.000000
947	CD34	1.000000
50649	ARHGEF4	1.000000
54776	PPP1R12C	1.000000
85477	SCIN	1.000000
3681	ITGAD	1.000000
24146	CLDN15	1.000000
10672	GNA13	1.000000
3113	HLA-DPA1	1.000000
1001	CDH3	1.000000
10398	MYL9	1.000000
5792	PTPRF	1.000000
10666	CD226	1.000000
3915	LAMC1	1.000000
2069	EREG	1.000000
54434	SSH1	1.000000
1284	COL4A2	1.000000
9378	NRXN1	1.000000
5747	PTK2	1.000000
28964	GIT1	1.000000
3696	ITGB8	1.000000
91807	MYLK3	1.000000
5590	PRKCZ	1.000000
3685	ITGAV	1.000000
87	ACTN1	1.000000
22800	RRAS2	1.000000
83700	JAM3	1.000000
7412	VCAM1	1.000000
3673	ITGA2	1.000000
817	CAMK2D	1.000000
7059	THBS3	1.000000
1101	CHAD	1.000000
3084	NRG1	1.000000
84612	PARD6B	1.000000
933	CD22	1.000000
7456	WIPF1	1.000000
245932	DEFB119	1.000000
1460	CSNK2B	1.000000
929	CD14	1.000000
4684	NCAM1	1.000000
3115	HLA-DPB1	1.000000
7791	ZYX	1.000000
440097	DBX2	1.000000
5335	PLCG1	1.000000
207	AKT1	1.000000
815	CAMK2A	1.000000
5217	PFN2	1.000000
9076	CLDN1	1.000000
1493	CTLA4	1.000000
5305	PIP4K2A	1.000000
5605	MAP2K2	1.000000
998	CDC42	1.000000
3112	HLA-DOB	1.000000
7449	7449	1.000000
55970	GNG12	1.000000
7422	VEGFA	1.000000
3265	HRAS	1.000000
94030	LRRC4B	1.000000
64098	PARVG	1.000000
5609	MAP2K7	1.000000
4685	NCAM2	1.000000
8936	WASF1	1.000000
3479	IGF1	1.000000
10787	NCKAP1	1.000000
3082	HGF	1.000000
3480	IGF1R	1.000000
4301	AFDN	1.000000
9073	CLDN8	1.000000
7077	TIMP2	1.000000
57502	NLGN4X	1.000000
5894	RAF1	1.000000
54961	SSH3	1.000000
644739	WASF4P	1.000000
7074	TIAM1	1.000000
5329	PLAUR	1.000000
1129	CHRM2	1.000000
7431	VIM	1.000000
1133	CHRM5	1.000000
4478	MSN	1.000000
10788	IQGAP2	1.000000
5058	PAK1	1.000000
3897	L1CAM	1.000000
260425	MAGI3	1.000000
10093	ARPC4	1.000000
3645	INSRR	1.000000
8396	PIP4K2B	1.000000
92359	CRB3	1.000000
1272	CNTN1	1.000000
3127	HLA-DRB5	1.000000
5588	PRKCQ	1.000000
7057	THBS1	1.000000
818	CAMK2G	1.000000
5154	PDGFA	1.000000
3910	LAMA4	1.000000
816	CAMK2B	1.000000
7114	TMSB4X	1.000000
3122	HLA-DRA	1.000000
1398	CRK	1.000000
1950	EGF	1.000000
4628	MYH10	1.000000
959	CD40LG	1.000000
2277	VEGFD	1.000000
10109	ARPC2	1.000000
942	CD86	1.000000
1072	CFL1	1.000000
2318	FLNC	1.000000
55740	ENAH	1.000000
9475	ROCK2	1.000000
23533	PIK3R5	1.000000
3691	ITGB4	1.000000
10092	ARPC5	1.000000
2549	GAB1	1.000000
85464	SSH2	1.000000
7082	TJP1	1.000000
1803	DPP4	1.000000
1013	CDH15	1.000000
1457	CSNK2A1	1.000000
53358	SHC3	1.000000
2036	EPB41L1	1.000000
9019	MPZL1	1.000000
22801	ITGA11	1.000000
4099	MAG	1.000000
6401	SELE	1.000000
3676	ITGA4	1.000000
4233	MET	1.000000
149461	CLDN19	1.000000
23114	NFASC	1.000000
2264	FGFR4	1.000000
5175	PECAM1	1.000000
4897	NRCAM	1.000000
1301	COL11A1	1.000000
5829	PXN	1.000000
5170	PDPK1	1.000000
8573	CASK	1.000000
9087	TMSB4Y	1.000000
3134	HLA-F	1.000000
4313	MMP2	1.000000
56288	PARD3	1.000000
150967	LINC01963	1.000000
80380	PDCD1LG2	1.000000
3384	ICAM2	1.000000
2065	ERBB3	1.000000
57555	NLGN2	1.000000
257194	NEGR1	1.000000
3912	LAMB1	1.000000
5581	PRKCE	1.000000
1364	CLDN4	1.000000
4622	MYH4	1.000000
214	ALCAM	1.000000
3996	LLGL1	1.000000
90952	ESAM	1.000000
1499	CTNNB1	1.000000
4318	MMP9	1.000000
26285	CLDN17	1.000000
3371	TNC	1.000000
1026	CDKN1A	1.000000
6404	SELPLG	1.000000
5294	PIK3CG	1.000000
374	AREG	1.000000
923	CD6	1.000000
1365	CLDN3	1.000000
83747	83747	1.000000
149483	CCDC17	1.000000
1495	CTNNA1	1.000000
10297	APC2	1.000000
2932	GSK3B	1.000000
5818	NECTIN1	1.000000
1793	DOCK1	1.000000
3957	LGALS2	1.000000
5293	PIK3CD	1.000000
9369	NRXN3	1.000000
58498	MYL7	1.000000
5879	RAC1	1.000000
8516	ITGA8	1.000000
5584	PRKCI	1.000000
3914	LAMB3	1.000000
5500	PPP1CB	1.000000
3913	LAMB2	1.000000
5880	RAC2	1.000000
5155	PDGFB	1.000000
57863	CADM3	1.000000
255631	COL24A1	1.000000
5010	CLDN11	1.000000
89846	FGD3	1.000000
6093	ROCK1	1.000000
958	CD40	1.000000
9963	SLC23A1	1.000000
5906	RAP1A	1.000000
7122	CLDN5	1.000000
3725	JUN	1.000000
7060	THBS4	1.000000
5522	PPP2R2C	1.000000
5290	PIK3CA	1.000000
1282	COL4A1	1.000000
3993	LLGL2	1.000000
2534	FYN	1.000000
7410	VAV2	1.000000
93408	MYL10	1.000000
5817	PVR	1.000000
3071	NCKAP1L	1.000000
8515	ITGA10	1.000000
58494	JAM2	1.000000
382	ARF6	1.000000
3684	ITGAM	1.000000
8976	WASL	1.000000
1459	CSNK2A2	1.000000
3108	HLA-DMA	1.000000
5594	MAPK1	1.000000
387	RHOA	1.000000
10319	LAMC3	1.000000
64398	MPP5	1.000000
29119	CTNNA3	1.000000
23308	ICOSLG	1.000000
9071	CLDN10	1.000000
6696	SPP1	1.000000
5133	PDCD1	1.000000
