#Iter	Time	Change
0	2.44	4.417826e+02
1	2.45	2.596145e+02
2	2.47	2.259281e+02
3	2.45	2.044940e+02
4	2.47	1.842321e+02
5	2.45	1.659369e+02
6	2.47	1.490742e+02
7	2.45	1.339287e+02
8	2.47	1.202616e+02
9	2.45	1.080600e+02
10	2.47	9.712583e+01
11	2.45	8.737462e+01
12	2.46	7.864917e+01
13	2.45	7.085611e+01
14	2.47	6.387721e+01
15	2.45	5.762970e+01
16	2.47	5.202533e+01
17	2.45	4.699633e+01
18	2.47	4.247669e+01
19	2.45	3.841146e+01
20	2.47	3.475134e+01
21	2.45	3.145294e+01
22	2.46	2.847862e+01
23	2.45	2.579398e+01
24	2.47	2.336994e+01
25	2.45	2.117913e+01
26	2.47	1.919882e+01
27	2.45	1.740717e+01
28	2.47	1.578621e+01
29	2.45	1.431843e+01
30	2.47	1.298952e+01
31	2.45	1.178538e+01
32	2.47	1.069453e+01
33	2.46	9.705555e+00
34	2.47	8.809201e+00
35	2.47	7.996211e+00
36	2.47	7.259077e+00
37	2.45	6.590267e+00
38	2.47	5.983673e+00
39	2.45	5.433151e+00
40	2.46	4.933717e+00
41	2.45	4.480346e+00
42	2.47	4.068965e+00
43	2.45	3.695457e+00
44	2.46	3.356486e+00
45	2.45	3.048676e+00
46	2.47	2.769290e+00
47	2.45	2.515555e+00
48	2.47	2.285224e+00
49	2.44	2.076018e+00
50	2.47	1.886090e+00
51	2.45	1.713565e+00
52	2.47	1.556926e+00
53	2.44	1.414627e+00
54	2.47	1.285422e+00
55	2.45	1.168036e+00
56	2.47	1.061444e+00
57	2.45	9.645956e-01
58	2.47	8.766474e-01
59	2.45	7.967334e-01
60	2.46	7.241588e-01
61	2.44	6.582094e-01
62	2.46	5.983135e-01
63	2.45	5.438815e-01
64	2.47	4.944430e-01
65	2.44	4.495112e-01
66	2.46	4.086990e-01
67	2.45	3.716042e-01
68	2.47	3.379084e-01
69	2.45	3.072794e-01
70	2.46	2.794553e-01
71	2.45	2.541612e-01
72	2.47	2.311819e-01
73	2.44	2.102902e-01
74	2.46	1.913091e-01
75	2.45	1.740506e-01
76	2.47	1.583691e-01
77	2.45	1.441092e-01
78	2.46	1.311513e-01
79	2.45	1.193667e-01
80	2.47	1.086571e-01
81	2.45	9.891586e-02
82	2.46	9.006239e-02
83	2.45	8.200832e-02
84	2.47	7.468745e-02
85	2.45	6.802656e-02
86	2.47	6.197132e-02
87	2.45	5.646103e-02
88	2.47	5.145112e-02
89	2.45	4.689122e-02
90	2.47	4.274482e-02
91	2.45	3.897010e-02
92	2.47	3.553714e-02
93	2.45	3.241121e-02
94	2.47	2.956781e-02
95	2.45	2.697808e-02
96	2.47	2.462198e-02
97	2.45	2.247551e-02
98	2.47	2.052228e-02
99	2.45	1.874232e-02
100	2.47	1.712223e-02
101	2.45	1.564540e-02
102	2.47	1.430089e-02
103	2.45	1.307484e-02
104	2.47	1.195834e-02
105	2.45	1.093984e-02
106	2.47	1.001206e-02
107	2.45	9.165374e-03
108	2.47	8.393858e-03
109	2.45	7.689470e-03
110	2.47	7.047389e-03
111	2.45	6.460897e-03
112	2.47	5.926077e-03
113	2.44	5.437309e-03
114	2.47	4.991415e-03
115	2.45	4.583690e-03
116	2.47	4.211560e-03
117	2.44	3.871083e-03
118	2.46	3.560174e-03
119	2.45	3.275529e-03
120	2.47	3.015463e-03
121	2.45	2.777202e-03
122	2.47	2.559388e-03
123	2.44	2.359689e-03
124	2.47	2.177014e-03
125	2.45	2.009399e-03
126	2.47	1.855969e-03
127	2.45	1.715071e-03
128	2.47	1.586002e-03
129	2.45	1.467370e-03
130	2.47	1.358614e-03
131	2.45	1.258557e-03
132	2.47	1.166755e-03
133	2.45	1.082211e-03
134	2.47	1.004573e-03
135	2.45	9.329992e-04
