#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
54776	PPP1R12C	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
2149	F2R	Positive	1.000000	Positive	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
10178	TENM1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
255275	MYADML2	Positive	1.000000	Unlabeled	0.686465	0.686465	NO
56961	SHD	Positive	1.000000	Unlabeled	0.587861	0.587861	NO
343477	HSP90B3P	Unlabeled	1.000000	Unlabeled	0.508985	0.508985	NO
7124	TNF	Positive	1.000000	Unlabeled	0.508985	0.508985	NO
92241	RCSD1	Positive	1.000000	Unlabeled	0.493955	0.493955	NO
9957	HS3ST1	Positive	1.000000	Unlabeled	0.478011	0.478011	NO
1264	CNN1	Positive	1.000000	Unlabeled	0.445667	0.445667	NO
7762	ZNF215	Positive	1.000000	Unlabeled	0.436245	0.436245	NO
4015	LOX	Positive	1.000000	Unlabeled	0.431973	0.431973	NO
9750	RIPOR2	Positive	1.000000	Unlabeled	0.426963	0.426963	NO
94120	SYTL3	Unlabeled	0.611280	Unlabeled	0.692815	0.423504	NO
388533	KRTDAP	Unlabeled	0.604530	Unlabeled	0.692797	0.418817	NO
574036	SERTAD4-AS1	Positive	1.000000	Unlabeled	0.412646	0.412646	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.410721	0.410721	NO
56147	PCDHA1	Positive	1.000000	Unlabeled	0.405587	0.405587	NO
8476	CDC42BPA	Positive	1.000000	Unlabeled	0.401706	0.401706	NO
10266	RAMP2	Positive	1.000000	Unlabeled	0.400918	0.400918	NO
348	APOE	Positive	1.000000	Unlabeled	0.400676	0.400676	NO
25854	FAM149A	Positive	1.000000	Unlabeled	0.400196	0.400196	NO
3598	IL13RA2	Positive	1.000000	Unlabeled	0.399553	0.399553	NO
91851	CHRDL1	Positive	1.000000	Unlabeled	0.397964	0.397964	NO
3552	IL1A	Positive	1.000000	Unlabeled	0.397785	0.397785	NO
51361	HOOK1	Positive	1.000000	Unlabeled	0.397386	0.397386	NO
3730	ANOS1	Positive	1.000000	Unlabeled	0.395012	0.395012	NO
400746	NCMAP	Unlabeled	1.000000	Unlabeled	0.394343	0.394343	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.394343	0.394343	NO
6624	FSCN1	Positive	1.000000	Unlabeled	0.393053	0.393053	NO
9715	FAM131B	Positive	1.000000	Unlabeled	0.392003	0.392003	NO
5878	RAB5C	Positive	1.000000	Unlabeled	0.391085	0.391085	NO
6578	SLCO2A1	Positive	1.000000	Unlabeled	0.390762	0.390762	NO
65988	ZNF747	Positive	1.000000	Unlabeled	0.389401	0.389401	NO
286336	FAM78A	Positive	1.000000	Unlabeled	0.388595	0.388595	NO
27324	TOX3	Positive	1.000000	Unlabeled	0.387374	0.387374	NO
56603	CYP26B1	Positive	1.000000	Unlabeled	0.383755	0.383755	NO
56899	ANKS1B	Positive	1.000000	Unlabeled	0.383673	0.383673	NO
10100	TSPAN2	Positive	1.000000	Unlabeled	0.383056	0.383056	NO
642273	FAM110C	Positive	1.000000	Unlabeled	0.382656	0.382656	NO
4213	MEIS3P1	Positive	1.000000	Unlabeled	0.381338	0.381338	NO
330	BIRC3	Positive	1.000000	Unlabeled	0.380339	0.380339	NO
9452	ITM2A	Positive	1.000000	Unlabeled	0.378312	0.378312	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.378279	0.378279	NO
9244	CRLF1	Positive	1.000000	Unlabeled	0.378085	0.378085	NO
54587	MXRA8	Positive	1.000000	Unlabeled	0.376460	0.376460	NO
51621	KLF13	Positive	1.000000	Unlabeled	0.374914	0.374914	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	0.373298	0.373298	NO
79669	C3orf52	Positive	1.000000	Unlabeled	0.373158	0.373158	NO
23089	PEG10	Positive	1.000000	Unlabeled	0.372495	0.372495	NO
6948	TCN2	Positive	1.000000	Unlabeled	0.372251	0.372251	NO
91252	SLC39A13	Positive	1.000000	Unlabeled	0.371492	0.371492	NO
57188	ADAMTSL3	Positive	1.000000	Unlabeled	0.369866	0.369866	NO
254295	PHYHD1	Positive	1.000000	Unlabeled	0.369784	0.369784	NO
159371	SLC35G1	Positive	1.000000	Unlabeled	0.369369	0.369369	NO
8986	RPS6KA4	Positive	1.000000	Unlabeled	0.369046	0.369046	NO
10815	CPLX1	Positive	1.000000	Unlabeled	0.369024	0.369024	NO
7123	CLEC3B	Positive	1.000000	Unlabeled	0.367470	0.367470	NO
5639	PRRG2	Positive	1.000000	Unlabeled	0.367114	0.367114	NO
