#Iter	Time	Change
0	2.63	5.307748e+02
1	2.65	4.278445e+02
2	2.64	3.861011e+02
3	2.65	3.477773e+02
4	2.64	3.127660e+02
5	2.65	2.813502e+02
6	2.64	2.532703e+02
7	2.64	2.282626e+02
8	2.64	2.059535e+02
9	2.64	1.860478e+02
10	2.64	1.682531e+02
11	2.64	1.523221e+02
12	2.65	1.380390e+02
13	2.64	1.252094e+02
14	2.64	1.136729e+02
15	2.65	1.032793e+02
16	2.64	9.390764e+01
17	2.64	8.544226e+01
18	2.65	7.779037e+01
19	2.64	7.086275e+01
20	2.65	6.458734e+01
21	2.65	5.889482e+01
22	2.64	5.372863e+01
23	2.64	4.903449e+01
24	2.64	4.476761e+01
25	2.64	4.088514e+01
26	2.64	3.735130e+01
27	2.64	3.413201e+01
28	2.64	3.119848e+01
29	2.64	2.852340e+01
30	2.64	2.608346e+01
31	2.64	2.385662e+01
32	2.64	2.182392e+01
33	2.64	1.996747e+01
34	2.65	1.827175e+01
35	2.65	1.672216e+01
36	2.64	1.530596e+01
37	2.64	1.401117e+01
38	2.64	1.282731e+01
39	2.65	1.174451e+01
40	2.64	1.075411e+01
41	2.64	9.847948e+00
42	2.64	9.018854e+00
43	2.64	8.260068e+00
44	2.64	7.565639e+00
45	2.65	6.929950e+00
46	2.64	6.348054e+00
47	2.64	5.815275e+00
48	2.64	5.327495e+00
49	2.64	4.880813e+00
50	2.64	4.471799e+00
51	2.65	4.097195e+00
52	2.64	3.754137e+00
53	2.65	3.439903e+00
54	2.65	3.152102e+00
55	2.65	2.888455e+00
56	2.65	2.646964e+00
57	2.65	2.425721e+00
58	2.64	2.223055e+00
59	2.65	2.037366e+00
60	2.65	1.867258e+00
61	2.65	1.711389e+00
62	2.65	1.568591e+00
63	2.65	1.437737e+00
64	2.65	1.317849e+00
65	2.65	1.207983e+00
66	2.65	1.107320e+00
67	2.64	1.015065e+00
68	2.65	9.305351e-01
69	2.64	8.530616e-01
70	2.65	7.820721e-01
71	2.64	7.170051e-01
72	2.65	6.573814e-01
73	2.64	6.027291e-01
74	2.65	5.526468e-01
75	2.64	5.067378e-01
76	2.65	4.646660e-01
77	2.64	4.260979e-01
78	2.65	3.907520e-01
79	2.64	3.583477e-01
80	2.65	3.286495e-01
81	2.64	3.014213e-01
82	2.64	2.764658e-01
83	2.64	2.535843e-01
84	2.65	2.326118e-01
85	2.65	2.133810e-01
86	2.66	1.957538e-01
87	2.65	1.795893e-01
88	2.65	1.647719e-01
89	2.65	1.511831e-01
90	2.65	1.387261e-01
91	2.64	1.273011e-01
92	2.72	1.168270e-01
93	3.02	1.072197e-01
94	2.82	9.841155e-02
95	2.71	9.033161e-02
96	2.61	8.292324e-02
97	2.53	7.612670e-02
98	2.53	6.989460e-02
99	2.52	6.417658e-02
100	2.54	5.893300e-02
101	2.53	5.412143e-02
102	2.53	4.970872e-02
103	2.54	4.565906e-02
104	2.53	4.194475e-02
105	2.54	3.853560e-02
106	2.54	3.540844e-02
107	2.53	3.253780e-02
108	2.54	2.990433e-02
109	2.53	2.748651e-02
110	2.54	2.526818e-02
111	2.53	2.323119e-02
112	2.54	2.136202e-02
113	2.53	1.964536e-02
114	2.54	1.806991e-02
115	2.53	1.662273e-02
116	2.53	1.529440e-02
117	2.53	1.407398e-02
118	2.54	1.295360e-02
119	2.53	1.192402e-02
120	2.54	1.097867e-02
121	2.53	1.010974e-02
122	2.53	9.311742e-03
123	2.53	8.578070e-03
124	2.54	7.904159e-03
125	2.53	7.284406e-03
126	2.54	6.715010e-03
127	2.54	6.191224e-03
128	2.53	5.709885e-03
129	2.53	5.266970e-03
130	2.53	4.859842e-03
131	2.53	4.485095e-03
132	2.54	4.140534e-03
133	2.53	3.823268e-03
134	2.53	3.531471e-03
135	2.53	3.262692e-03
136	2.54	3.015410e-03
137	2.53	2.787547e-03
138	2.54	2.577838e-03
139	2.53	2.384516e-03
140	2.53	2.206532e-03
141	2.53	2.042384e-03
142	2.54	1.891200e-03
143	2.53	1.751704e-03
144	2.53	1.623171e-03
145	2.53	1.504516e-03
146	2.53	1.395139e-03
147	2.52	1.294114e-03
148	2.54	1.200945e-03
149	2.53	1.114843e-03
150	2.54	1.035396e-03
151	2.54	9.619322e-04
