#EntrezID	Name	Score
25759	SHC2	1.000000
2185	PTK2B	1.000000
3107	HLA-C	1.000000
163732	CITED4	1.000000
1013	CDH15	1.000000
5293	PIK3CD	1.000000
2260	FGFR1	1.000000
2549	GAB1	1.000000
6402	SELL	1.000000
3265	HRAS	1.000000
4478	MSN	1.000000
51776	MAP3K20	1.000000
5923	RASGRF1	1.000000
6693	SPN	1.000000
3691	ITGB4	1.000000
7408	VASP	1.000000
257194	NEGR1	1.000000
926	CD8B	1.000000
79837	PIP4K2C	1.000000
139716	GAB3	1.000000
6696	SPP1	1.000000
858	CAV2	1.000000
817	CAMK2D	1.000000
2667	GDI2P1	1.000000
2335	FN1	1.000000
5010	CLDN11	1.000000
26999	CYFIP2	1.000000
23562	CLDN14	1.000000
6714	SRC	1.000000
10627	MYL12A	1.000000
1398	CRK	1.000000
868	CBLB	1.000000
5797	PTPRM	1.000000
6464	SHC1	1.000000
7143	TNR	1.000000
1457	CSNK2A1	1.000000
214	ALCAM	1.000000
816	CAMK2B	1.000000
5291	PIK3CB	1.000000
85464	SSH2	1.000000
207	AKT1	1.000000
914	CD2	1.000000
7791	ZYX	1.000000
2321	FLT1	1.000000
23396	PIP5K1C	1.000000
2909	ARHGAP35	1.000000
5305	PIP4K2A	1.000000
1460	CSNK2B	1.000000
572	BAD	1.000000
1399	CRKL	1.000000
3105	HLA-A	1.000000
23779	ARHGAP8	1.000000
7422	VEGFA	1.000000
541471	MIR4435-2HG	1.000000
4538	ND4	1.000000
79930	DOK3	1.000000
1499	CTNNB1	1.000000
3071	NCKAP1L	1.000000
28964	GIT1	1.000000
1072	CFL1	1.000000
6548	SLC9A1	1.000000
7094	TLN1	1.000000
84624	FNDC1	1.000000
5581	PRKCE	1.000000
5296	PIK3R2	1.000000
1132	CHRM4	1.000000
1133	CHRM5	1.000000
342184	FMN1	1.000000
3683	ITGAL	1.000000
5217	PFN2	1.000000
30012	TLX3	1.000000
382	ARF6	1.000000
103910	MYL12B	1.000000
1803	DPP4	1.000000
5499	PPP1CA	1.000000
2002	ELK1	1.000000
55561	CDC42BPG	1.000000
7410	VAV2	1.000000
5175	PECAM1	1.000000
10787	NCKAP1	1.000000
1459	CSNK2A2	1.000000
390	RND3	1.000000
596	BCL2	1.000000
92591	ASB16	1.000000
3672	ITGA1	1.000000
