#Iter	Time	Change
0	0.00	4.470706e+02
1	0.00	2.065161e+02
2	0.00	1.700920e+02
3	0.00	1.540770e+02
4	0.00	1.398747e+02
5	0.00	1.273132e+02
6	0.00	1.155131e+02
7	0.00	1.047507e+02
8	0.00	9.480908e+01
9	0.00	8.581563e+01
10	0.00	7.762224e+01
11	0.00	7.024582e+01
12	0.00	6.356509e+01
13	0.00	5.755781e+01
14	0.00	5.212803e+01
15	0.00	4.724283e+01
16	0.00	4.282792e+01
17	0.00	3.885044e+01
18	0.00	3.525331e+01
19	0.00	3.200741e+01
20	0.00	2.906882e+01
21	0.00	2.641294e+01
22	0.00	2.400585e+01
23	0.00	2.182715e+01
24	0.00	1.985046e+01
25	0.00	1.805904e+01
26	0.00	1.643221e+01
27	0.00	1.495623e+01
28	0.00	1.361479e+01
29	0.00	1.239662e+01
30	0.00	1.128875e+01
31	0.00	1.028190e+01
32	0.00	9.365716e+00
33	0.00	8.532553e+00
34	0.00	7.774062e+00
35	0.00	7.083946e+00
36	0.00	6.455450e+00
37	0.00	5.883367e+00
38	0.00	5.362210e+00
39	0.00	4.887665e+00
40	0.00	4.455261e+00
41	0.00	4.061418e+00
42	0.00	3.702482e+00
43	0.00	3.375478e+00
44	0.00	3.077411e+00
45	0.00	2.805811e+00
46	0.00	2.558215e+00
47	0.00	2.332568e+00
48	0.00	2.126844e+00
49	0.00	1.939334e+00
50	0.00	1.768367e+00
51	0.00	1.612521e+00
52	0.00	1.470415e+00
53	0.00	1.340866e+00
54	0.00	1.222735e+00
55	0.00	1.115033e+00
56	0.00	1.016820e+00
57	0.00	9.272742e-01
58	0.00	8.456143e-01
59	0.00	7.711570e-01
60	0.00	7.032556e-01
61	0.00	6.413410e-01
62	0.00	5.848769e-01
63	0.00	5.333895e-01
64	0.00	4.864342e-01
65	0.00	4.436163e-01
66	0.00	4.045669e-01
67	0.00	3.689576e-01
68	0.00	3.364822e-01
69	0.00	3.068671e-01
70	0.00	2.798582e-01
71	0.00	2.552279e-01
72	0.00	2.327650e-01
73	0.00	2.122800e-01
74	0.00	1.935976e-01
75	0.00	1.765601e-01
76	0.00	1.610217e-01
77	0.00	1.468513e-01
78	0.00	1.339278e-01
79	0.00	1.221420e-01
80	0.00	1.113932e-01
81	0.00	1.015906e-01
82	0.00	9.265049e-02
83	0.00	8.449731e-02
84	0.00	7.706154e-02
85	0.00	7.028023e-02
86	0.00	6.409562e-02
87	0.00	5.845534e-02
88	0.00	5.331135e-02
89	0.00	4.862009e-02
90	0.00	4.434161e-02
91	0.00	4.043968e-02
92	0.00	3.688109e-02
93	0.00	3.363567e-02
94	0.00	3.067582e-02
95	0.00	2.797646e-02
96	0.00	2.551461e-02
97	0.00	2.326942e-02
98	0.00	2.122179e-02
99	0.00	1.935435e-02
100	0.00	1.765124e-02
101	0.00	1.609800e-02
102	0.00	1.468143e-02
103	0.00	1.338952e-02
104	0.00	1.221130e-02
105	0.00	1.113675e-02
106	0.00	1.015676e-02
107	0.00	9.263008e-03
108	0.00	8.447900e-03
109	0.00	7.704520e-03
110	0.00	7.026553e-03
111	0.00	6.408247e-03
112	0.00	5.844347e-03
113	0.00	5.330069e-03
114	0.00	4.861045e-03
115	0.00	4.433294e-03
116	0.00	4.043183e-03
117	0.00	3.687400e-03
118	0.00	3.362924e-03
119	0.00	3.067001e-03
120	0.00	2.797118e-03
121	0.00	2.550984e-03
122	0.00	2.326508e-03
123	0.00	2.121785e-03
124	0.00	1.935077e-03
125	0.00	1.764799e-03
126	0.00	1.609504e-03
127	0.00	1.467875e-03
128	0.00	1.338708e-03
129	0.00	1.220908e-03
130	0.00	1.113473e-03
131	0.00	1.015492e-03
132	0.00	9.261332e-04
