#Iter	Time	Change
0	4.73	4.670743e+02
1	4.84	3.411537e+02
2	4.85	3.034221e+02
3	4.84	2.729095e+02
4	4.88	2.450881e+02
5	4.87	2.205663e+02
6	4.91	1.985328e+02
7	4.89	1.789930e+02
8	4.86	1.614703e+02
9	4.87	1.458648e+02
10	4.87	1.318580e+02
11	4.84	1.193367e+02
12	4.84	1.080787e+02
13	4.84	9.798155e+01
14	4.86	8.888527e+01
15	4.83	8.070353e+01
16	4.88	7.331834e+01
17	4.84	6.665893e+01
18	4.83	6.063667e+01
19	4.83	5.519424e+01
20	4.87	5.026407e+01
21	4.87	4.579994e+01
22	4.85	4.174967e+01
23	4.90	3.807602e+01
24	4.91	3.473828e+01
25	4.82	3.170638e+01
26	4.83	2.894828e+01
27	4.80	2.643965e+01
28	5.51	2.415504e+01
29	4.83	2.207472e+01
30	4.82	2.017834e+01
31	4.83	1.844982e+01
32	4.80	1.687282e+01
33	4.84	1.543416e+01
34	4.82	1.412065e+01
35	4.83	1.292149e+01
36	4.81	1.182594e+01
37	4.82	1.082511e+01
38	4.78	9.910269e+00
39	4.81	9.074058e+00
40	4.93	8.309324e+00
41	4.84	7.609987e+00
42	4.83	6.970167e+00
43	4.86	6.384822e+00
44	4.83	5.849104e+00
45	4.84	5.358825e+00
46	4.85	4.909979e+00
47	4.84	4.499079e+00
48	4.81	4.122807e+00
49	4.85	3.778257e+00
50	4.87	3.462673e+00
51	4.84	3.173630e+00
52	4.83	2.908838e+00
53	4.86	2.666269e+00
54	4.81	2.444016e+00
55	4.81	2.240383e+00
56	4.83	2.053779e+00
57	4.83	1.882785e+00
58	4.80	1.726072e+00
59	4.82	1.582452e+00
60	4.80	1.450813e+00
61	4.82	1.330160e+00
62	4.80	1.219563e+00
63	4.83	1.118187e+00
64	4.82	1.025254e+00
65	4.80	9.400624e-01
66	4.86	8.619614e-01
67	4.83	7.903618e-01
68	4.82	7.247180e-01
69	4.81	6.645354e-01
70	4.86	6.093565e-01
71	4.83	5.587659e-01
72	4.86	5.123797e-01
73	4.89	4.698490e-01
74	4.89	4.308516e-01
75	5.16	3.950944e-01
76	4.55	3.623069e-01
77	4.61	3.322427e-01
78	5.61	3.046748e-01
79	4.50	2.793961e-01
80	4.50	2.562159e-01
81	5.08	2.349600e-01
82	5.01	2.154684e-01
83	4.51	1.975946e-01
84	4.50	1.812040e-01
85	4.57	1.661737e-01
86	4.49	1.523905e-01
87	4.53	1.397510e-01
88	4.82	1.281602e-01
89	4.51	1.175310e-01
90	5.18	1.077835e-01
91	4.62	9.884474e-02
92	5.38	9.064740e-02
93	4.53	8.313005e-02
94	4.64	7.623622e-02
95	4.52	6.991420e-02
96	5.49	6.411652e-02
97	4.77	5.879970e-02
98	4.79	5.392383e-02
99	5.10	4.945234e-02
100	5.04	4.535168e-02
101	4.67	4.159110e-02
102	4.66	3.814237e-02
103	4.56	3.497964e-02
104	4.51	3.207918e-02
105	4.51	2.941925e-02
106	4.89	2.697988e-02
107	4.72	2.474280e-02
108	4.50	2.269122e-02
109	4.52	2.080976e-02
110	4.56	1.908431e-02
111	4.86	1.750194e-02
112	4.80	1.605077e-02
113	4.51	1.471993e-02
114	4.51	1.349944e-02
115	4.51	1.238015e-02
116	4.51	1.135367e-02
117	4.51	1.041230e-02
118	4.51	9.548982e-03
119	4.48	8.757249e-03
120	4.50	8.031161e-03
121	4.87	7.365277e-03
122	4.88	6.754604e-03
123	4.53	6.194565e-03
124	4.54	5.680961e-03
125	4.52	5.209941e-03
126	4.51	4.777975e-03
127	4.90	4.381824e-03
128	4.79	4.018520e-03
129	4.50	3.685338e-03
130	4.53	3.379781e-03
131	4.52	3.099559e-03
132	4.51	2.842570e-03
133	4.54	2.606889e-03
134	4.51	2.390748e-03
135	4.50	2.192529e-03
136	4.52	2.010743e-03
137	4.52	1.844031e-03
138	4.56	1.691140e-03
139	4.56	1.550926e-03
140	4.58	1.422337e-03
141	4.53	1.304410e-03
142	4.52	1.196260e-03
143	4.50	1.097077e-03
144	4.51	1.006117e-03
145	4.50	9.226993e-04
