#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
2149	F2R	Positive	1.000000	Positive	1.000000	1.000000	NO
56140	PCDHA8	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
54776	PPP1R12C	Positive	1.000000	Positive	1.000000	1.000000	NO
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
56895	AGPAT4	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
56147	PCDHA1	Positive	1.000000	Unlabeled	0.734269	0.734269	NO
205	AK4	Positive	1.000000	Unlabeled	0.680924	0.680924	NO
7124	TNF	Positive	1.000000	Unlabeled	0.677051	0.677051	NO
26	AOC1	Positive	1.000000	Unlabeled	0.549302	0.549302	NO
9715	FAM131B	Positive	1.000000	Unlabeled	0.547732	0.547732	NO
1264	CNN1	Positive	1.000000	Unlabeled	0.487563	0.487563	NO
3598	IL13RA2	Positive	1.000000	Unlabeled	0.473358	0.473358	NO
4015	LOX	Positive	1.000000	Unlabeled	0.466507	0.466507	NO
27324	TOX3	Positive	1.000000	Unlabeled	0.464932	0.464932	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	0.464787	0.464787	NO
8476	CDC42BPA	Positive	1.000000	Unlabeled	0.463037	0.463037	NO
90134	KCNH7	Positive	1.000000	Unlabeled	0.462866	0.462866	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.461265	0.461265	NO
348	APOE	Positive	1.000000	Unlabeled	0.446769	0.446769	NO
79669	C3orf52	Positive	1.000000	Unlabeled	0.446108	0.446108	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.445529	0.445529	NO
51361	HOOK1	Positive	1.000000	Unlabeled	0.444547	0.444547	NO
9452	ITM2A	Positive	1.000000	Unlabeled	0.442652	0.442652	NO
138311	FAM69B	Positive	1.000000	Unlabeled	0.438386	0.438386	NO
5639	PRRG2	Positive	1.000000	Unlabeled	0.438384	0.438384	NO
10815	CPLX1	Positive	1.000000	Unlabeled	0.435506	0.435506	NO
148398	SAMD11	Unlabeled	0.599629	Unlabeled	0.714444	0.428401	NO
9244	CRLF1	Positive	1.000000	Unlabeled	0.428205	0.428205	NO
6624	FSCN1	Positive	1.000000	Unlabeled	0.426490	0.426490	NO
54587	MXRA8	Positive	1.000000	Unlabeled	0.422979	0.422979	NO
5878	RAB5C	Positive	1.000000	Unlabeled	0.422681	0.422681	NO
3730	ANOS1	Positive	1.000000	Unlabeled	0.416211	0.416211	NO
1160	CKMT2	Positive	1.000000	Unlabeled	0.416063	0.416063	NO
7123	CLEC3B	Positive	1.000000	Unlabeled	0.411337	0.411337	NO
10266	RAMP2	Positive	1.000000	Unlabeled	0.408737	0.408737	NO
6578	SLCO2A1	Positive	1.000000	Unlabeled	0.406635	0.406635	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.404223	0.404223	NO
25854	FAM149A	Positive	1.000000	Unlabeled	0.404187	0.404187	NO
10669	CGREF1	Unlabeled	0.605013	Unlabeled	0.665647	0.402725	NO
91851	CHRDL1	Positive	1.000000	Unlabeled	0.402069	0.402069	NO
