HGNC Symbol	SZ Score	Cell Score	Total Score	entrez	SZ label	Cell Motility Label

F2R	1.0	1.0	1.0	2149	Positive	Positive
ARHGEF4	1.0	1.0	1.0	50649	Positive	Positive
BAD	1.0	1.0	1.0	572	Positive	Positive
PIKFYVE	1.0	1.0	1.0	200576	Positive	Positive
CAMK2G	1.0	1.0	1.0	818	Positive	Positive
NRG1	1.0	1.0	1.0	3084	Positive	Positive
PPP1R12C	1.0	1.0	1.0	54776	Positive	Positive
COL5A3	1.0	1.0	1.0	50509	Positive	Positive
PCDHA8	1.0	1.0	1.0	56140	Positive	Unlabeled
AGPAT4	1.0	1.0	1.0	56895	Unlabeled	Unlabeled
PCDHA1	1.0	0.7179585741518958	0.7179585741518958	56147	Positive	Unlabeled
AK4	1.0	0.6732192875918775	0.6732192875918775	205	Positive	Unlabeled
TNF	1.0	0.659685362736532	0.659685362736532	7124	Positive	Unlabeled
AOC1	1.0	0.5254274245525115	0.5254274245525115	26	Positive	Unlabeled
FAM131B	1.0	0.5221730553260868	0.5221730553260868	9715	Positive	Unlabeled
CDC42BPA	1.0	0.434164498156082	0.434164498156082	8476	Positive	Unlabeled
TOX3	1.0	0.43321464921606323	0.43321464921606323	27324	Positive	Unlabeled
SEC14L2	1.0	0.43172025287080207	0.43172025287080207	23541	Positive	Unlabeled
KCNH7	1.0	0.43018853251146544	0.43018853251146544	90134	Positive	Unlabeled
DPYSL3	1.0	0.4195808785559524	0.4195808785559524	1809	Positive	Unlabeled
C3orf52	1.0	0.41195715448514375	0.41195715448514375	79669	Positive	Unlabeled
LOX	1.0	0.4069390343670358	0.4069390343670358	4015	Positive	Unlabeled
IL13RA2	1.0	0.4043316143583058	0.4043316143583058	3598	Positive	Unlabeled
RAB5C	1.0	0.39779521971352255	0.39779521971352255	5878	Positive	Unlabeled
FAM69B	1.0	0.39769897252283243	0.39769897252283243	138311	Positive	Unlabeled
SAMD11	0.5887248098563163	0.6746736416096623	0.39719711137171687	148398	Unlabeled	Unlabeled
