#DiseaseAUCs	BiologicalProcessAUCs
0.640160	0.759148
0.655109	0.788416
0.611609	0.799206
0.659365	0.764222
0.651352	0.805204
0.627007	0.786345
0.649632	0.838335
0.645423	0.779379
0.633597	0.807568
0.649510	0.770183
0.645018	0.768776
0.652669	0.753331
0.623373	0.759503
0.686003	0.792413
0.660881	0.803250
0.665346	0.791861
0.657900	0.782389
0.669234	0.806397
0.655899	0.813425
0.622562	0.784217
0.639649	0.789055
0.684464	0.797731
0.643332	0.825787
0.622002	0.760580
0.691868	0.778124
0.654819	0.786683
0.687376	0.773818
0.629016	0.765385
0.660310	0.782242
0.603934	0.761298
0.602434	0.772920
0.578578	0.765281
0.664781	0.770971
0.679906	0.751400
0.650608	0.793715
0.663591	0.794821
0.622065	0.768311
0.651612	0.774697
0.676735	0.778027
0.682151	0.811013
0.586591	0.804122
0.610746	0.819755
0.657895	0.806310
0.621033	0.786693
0.627899	0.787293
0.640049	0.756880
0.627847	0.771510
0.620434	0.801440
0.635239	0.796171
0.652506	0.790725
