#Iter	Time	Change
0	0.00	2.702848e+02
1	0.00	1.394541e+02
2	0.00	1.186393e+02
3	0.00	1.079128e+02
4	0.00	9.813403e+01
5	0.00	8.985250e+01
6	0.00	8.231215e+01
7	0.00	7.550684e+01
8	0.00	6.926208e+01
9	0.00	6.357817e+01
10	0.00	5.834328e+01
11	0.00	5.357124e+01
12	0.00	4.917531e+01
13	0.00	4.516221e+01
14	0.00	4.146998e+01
15	0.00	3.809378e+01
16	0.00	3.499197e+01
17	0.00	3.215125e+01
18	0.00	2.954437e+01
19	0.00	2.715375e+01
20	0.00	2.496153e+01
21	0.00	2.294901e+01
22	0.00	2.110418e+01
23	0.00	1.940911e+01
24	0.00	1.785543e+01
25	0.00	1.642689e+01
26	0.00	1.511736e+01
27	0.00	1.391263e+01
28	0.00	1.280802e+01
29	0.00	1.179131e+01
30	0.00	1.085881e+01
31	0.00	1.000017e+01
32	0.00	9.212384e+00
33	0.00	8.486718e+00
34	0.00	7.820705e+00
35	0.00	7.206999e+00
36	0.00	6.643550e+00
37	0.00	6.124186e+00
38	0.00	5.647196e+00
39	0.00	5.207392e+00
40	0.00	4.803348e+00
41	0.00	4.430690e+00
42	0.00	4.088236e+00
43	0.00	3.772292e+00
44	0.00	3.481879e+00
45	0.00	3.213869e+00
46	0.00	2.967458e+00
47	0.00	2.739991e+00
48	0.00	2.530810e+00
49	0.00	2.337654e+00
50	0.00	2.159991e+00
51	0.00	1.995890e+00
52	0.00	1.844924e+00
53	0.00	1.705441e+00
54	0.00	1.577101e+00
55	0.00	1.458486e+00
56	0.00	1.349330e+00
57	0.00	1.248414e+00
58	0.00	1.155531e+00
59	0.00	1.069633e+00
60	0.00	9.905610e-01
