#EntrezID	Name	Score
10094	ARPC3	1.000000
7423	VEGFB	1.000000
1288	COL4A6	1.000000
28964	GIT1	1.000000
23541	SEC14L2	1.000000
11231	SEC63	1.000000
84275	SLC25A33	1.000000
60	ACTB	1.000000
824	CAPN2	1.000000
8936	WASF1	1.000000
3338	DNAJC4	1.000000
8396	PIP4K2B	1.000000
3645	INSRR	1.000000
54776	PPP1R12C	1.000000
7122	CLDN5	1.000000
4684	NCAM1	1.000000
197342	EME2	1.000000
396	ARHGDIA	1.000000
1027	CDKN1B	1.000000
56899	ANKS1B	1.000000
85452	CFAP74	1.000000
80326	WNT10A	1.000000
818	CAMK2G	1.000000
7514	XPO1	1.000000
10319	LAMC3	1.000000
55588	MED29	1.000000
1493	CTLA4	1.000000
79095	C9orf16	1.000000
3111	HLA-DOA	1.000000
5579	PRKCB	1.000000
153222	CREBRF	1.000000
2002	ELK1	1.000000
1809	DPYSL3	1.000000
401551	WDR38	1.000000
55004	LAMTOR1	1.000000
9957	HS3ST1	1.000000
8525	DGKZ	1.000000
50855	PARD6A	1.000000
93408	MYL10	1.000000
79754	ASB13	1.000000
56146	PCDHA2	1.000000
9379	NRXN2	1.000000
85301	COL27A1	1.000000
348	APOE	1.000000
5305	PIP4K2A	1.000000
26285	CLDN17	1.000000
823	CAPN1	1.000000
60495	HPSE2	1.000000
51257	MARCH2	1.000000
9320	TRIP12	1.000000
2277	VEGFD	1.000000
7424	VEGFC	1.000000
387	RHOA	1.000000
1460	CSNK2B	1.000000
10285	SMNDC1	1.000000
7123	CLEC3B	1.000000
958	CD40	1.000000
5010	CLDN11	1.000000
1366	CLDN7	1.000000
9877	ZC3H11A	1.000000
2335	FN1	1.000000
6403	SELP	1.000000
89	ACTN3	1.000000
3127	HLA-DRB5	1.000000
4638	MYLK	1.000000
1129	CHRM2	1.000000
10297	APC2	1.000000
85460	ZNF518B	1.000000
85442	KNDC1	1.000000
1002	CDH4	1.000000
63905	MANBAL	1.000000
6578	SLCO2A1	1.000000
10146	G3BP1	1.000000
5880	RAC2	1.000000
4673	NAP1L1	1.000000
7074	TIAM1	1.000000
4213	MEIS3P1	1.000000
2734	GLG1	1.000000
22798	LAMB4	1.000000
10458	BAIAP2	1.000000
338761	C1QL4	1.000000
84628	NTNG2	1.000000
8835	SOCS2	1.000000
58494	JAM2	1.000000
57701	NCKAP5L	1.000000
148398	SAMD11	1.000000
63923	TNN	1.000000
63941	NECAB3	1.000000
10266	RAMP2	1.000000
6093	ROCK1	1.000000
10788	IQGAP2	1.000000
10445	MCRS1	1.000000
5520	PPP2R2A	1.000000
57472	CNOT6	1.000000
57144	PAK5	1.000000
93010	B3GNT7	1.000000
57555	NLGN2	1.000000
84532	ACSS1	1.000000
1397	CRIP2	1.000000
94160	ABCC12	1.000000
80310	PDGFD	1.000000
23191	CYFIP1	1.000000
57514	ARHGAP31	1.000000
79929	MAP6D1	1.000000
4160	MC4R	1.000000
2037	EPB41L2	1.000000
124935	SLC43A2	1.000000
2261	FGFR3	1.000000
57530	CGN	1.000000
23760	PITPNB	1.000000
5908	RAP1B	1.000000
25	ABL1	1.000000
90485	ZNF835	1.000000
9715	FAM131B	1.000000
3687	ITGAX	1.000000
389677	RBM12B	1.000000
4636	MYL5	1.000000
5788	PTPRC	1.000000
923	CD6	1.000000
8539	API5	1.000000
8658	TNKS	1.000000
5580	PRKCD	1.000000
5154	PDGFA	1.000000
5590	PRKCZ	1.000000
81873	ARPC5L	1.000000
7124	TNF	1.000000
1793	DOCK1	1.000000
25896	INTS7	1.000000
7082	TJP1	1.000000
2885	GRB2	1.000000
3672	ITGA1	1.000000
324	APC	1.000000
914	CD2	1.000000
8515	ITGA10	1.000000
50848	F11R	1.000000
22854	NTNG1	1.000000
10855	HPSE	1.000000
8986	RPS6KA4	1.000000
57863	CADM3	1.000000
3084	NRG1	1.000000
1013	CDH15	1.000000
3134	HLA-F	1.000000
5599	MAPK8	1.000000
3996	LLGL1	1.000000
