#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
56140	PCDHA8	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
2149	F2R	Positive	1.000000	Positive	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
54776	PPP1R12C	Positive	1.000000	Positive	1.000000	1.000000	NO
56147	PCDHA1	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
80310	PDGFD	Unlabeled	1.000000	Positive	1.000000	1.000000	NO
1264	CNN1	Positive	1.000000	Unlabeled	0.770831	0.770831	NO
2788	GNG7	Positive	1.000000	Unlabeled	0.708409	0.708409	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.645823	0.645823	NO
9452	ITM2A	Positive	1.000000	Unlabeled	0.642829	0.642829	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	0.633661	0.633661	NO
8835	SOCS2	Positive	1.000000	Unlabeled	0.617775	0.617775	NO
105	ADARB2	Positive	1.000000	Unlabeled	0.544061	0.544061	NO
23089	PEG10	Positive	1.000000	Unlabeled	0.522839	0.522839	NO
3356	HTR2A	Positive	1.000000	Unlabeled	0.509998	0.509998	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.506648	0.506648	NO
8646	CHRD	Positive	1.000000	Unlabeled	0.503749	0.503749	NO
925	CD8A	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
64224	HERPUD2	Unlabeled	1.000000	Unlabeled	0.500000	0.500000	NO
153222	CREBRF	Positive	1.000000	Unlabeled	0.500000	0.500000	NO
926	CD8B	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
23761	PISD	Positive	1.000000	Unlabeled	0.496072	0.496072	NO
1396	CRIP1	Unlabeled	1.000000	Unlabeled	0.494045	0.494045	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.494045	0.494045	NO
4015	LOX	Positive	1.000000	Unlabeled	0.491543	0.491543	NO
22881	ANKRD6	Positive	1.000000	Unlabeled	0.485755	0.485755	NO
3552	IL1A	Positive	1.000000	Unlabeled	0.484299	0.484299	NO
57799	RAB40C	Positive	1.000000	Unlabeled	0.483823	0.483823	NO
733	C8G	Unlabeled	1.000000	Unlabeled	0.483823	0.483823	NO
9244	CRLF1	Positive	1.000000	Unlabeled	0.475519	0.475519	NO
6948	TCN2	Positive	1.000000	Unlabeled	0.475519	0.475519	NO
3730	ANOS1	Positive	1.000000	Unlabeled	0.472346	0.472346	NO
8395	PIP5K1B	Unlabeled	0.468395	Positive	1.000000	0.468395	NO
