#Iter	Time	Change
0	0.00	4.210352e+02
1	0.00	1.272481e+02
2	0.00	7.744011e+01
3	0.00	5.996523e+01
4	0.00	4.849497e+01
5	0.00	4.196395e+01
6	0.00	3.681258e+01
7	0.00	3.316693e+01
8	0.00	2.992986e+01
9	0.00	2.730518e+01
10	0.00	2.478943e+01
11	0.00	2.254775e+01
12	0.00	2.041151e+01
13	0.00	1.848502e+01
14	0.00	1.669267e+01
15	0.00	1.508181e+01
16	0.00	1.360209e+01
17	0.00	1.227067e+01
18	0.00	1.105525e+01
19	0.00	9.964612e+00
20	0.00	8.973404e+00
21	0.00	8.084755e+00
22	0.00	7.278783e+00
23	0.00	6.557171e+00
24	0.00	5.902675e+00
25	0.00	5.317797e+00
26	0.00	4.787011e+00
27	0.00	4.313032e+00
28	0.00	3.882956e+00
29	0.00	3.498911e+00
30	0.00	3.150505e+00
31	0.00	2.839354e+00
32	0.00	2.557095e+00
33	0.00	2.305026e+00
34	0.00	2.076323e+00
35	0.00	1.872007e+00
36	0.00	1.686659e+00
37	0.00	1.521007e+00
38	0.00	1.370756e+00
39	0.00	1.236416e+00
40	0.00	1.114582e+00
41	0.00	1.005602e+00
42	0.00	9.067803e-01
43	0.00	8.183456e-01
44	0.00	7.381649e-01
45	0.00	6.663793e-01
46	0.00	6.013012e-01
47	0.00	5.430104e-01
48	0.00	4.901716e-01
49	0.00	4.428217e-01
50	0.00	3.999042e-01
51	0.00	3.614267e-01
52	0.00	3.265533e-01
53	0.00	2.952727e-01
54	0.00	2.669230e-01
55	0.00	2.414815e-01
56	0.00	2.184239e-01
57	0.00	1.977210e-01
58	0.00	1.789575e-01
59	0.00	1.621011e-01
60	0.00	1.468228e-01
61	0.00	1.330898e-01
62	0.00	1.206410e-01
63	0.00	1.094448e-01
64	0.00	9.929410e-02
65	0.00	9.015901e-02
66	0.00	8.187519e-02
67	0.00	7.441532e-02
68	0.00	6.764880e-02
69	0.00	6.155104e-02
70	0.00	5.601820e-02
71	0.00	5.102845e-02
72	0.00	4.649916e-02
73	0.00	4.241117e-02
74	0.00	3.869867e-02
75	0.00	3.534498e-02
76	0.00	3.229765e-02
77	0.00	2.954227e-02
78	0.00	2.703701e-02
79	0.00	2.476946e-02
80	0.00	2.270627e-02
81	0.00	2.083681e-02
82	0.00	1.913442e-02
83	0.00	1.759008e-02
84	0.00	1.618247e-02
85	0.00	1.490392e-02
86	0.00	1.373737e-02
87	0.00	1.267634e-02
88	0.00	1.170716e-02
89	0.00	1.082438e-02
90	0.00	1.001701e-02
91	0.00	9.280467e-03
92	0.00	8.605945e-03
93	0.00	7.989579e-03
94	0.00	7.424293e-03
95	0.00	6.906845e-03
96	0.00	6.431541e-03
97	0.00	5.995663e-03
98	0.00	5.594623e-03
99	0.00	5.226144e-03
100	0.00	4.886524e-03
101	0.00	4.573859e-03
102	0.00	4.285156e-03
103	0.00	4.018822e-03
104	0.00	3.772434e-03
105	0.00	3.544658e-03
106	0.00	3.333532e-03
107	0.00	3.137938e-03
108	0.00	2.956282e-03
109	0.00	2.787628e-03
110	0.00	2.630678e-03
111	0.00	2.484649e-03
112	0.00	2.348482e-03
113	0.00	2.221519e-03
114	0.00	2.102893e-03
115	0.00	1.992054e-03
116	0.00	1.888291e-03
117	0.00	1.791139e-03
118	0.00	1.700015e-03
119	0.00	1.614527e-03
120	0.00	1.534195e-03
121	0.00	1.458688e-03
122	0.00	1.387608e-03
123	0.00	1.320674e-03
124	0.00	1.257558e-03
125	0.00	1.198021e-03
126	0.00	1.141789e-03
127	0.00	1.088659e-03
128	0.00	1.038402e-03
129	0.00	9.908459e-04
