#DiseaseAUCs	BiologicalProcessAUCs
0.487465	0.776641
0.470872	0.787898
0.595962	0.795329
0.482441	0.757384
0.480708	0.790307
0.548615	0.793766
0.597613	0.738120
0.541129	0.780591
0.605724	0.778101
0.631369	0.767787
0.569382	0.751399
0.599596	0.749279
0.623151	0.762522
0.508399	0.753820
0.552253	0.747763
0.560784	0.738895
0.656367	0.754695
0.584001	0.738128
0.560579	0.758509
0.605642	0.755506
0.680206	0.780053
0.595412	0.793889
0.609245	0.726103
0.623324	0.764577
0.670175	0.757614
0.509933	0.793552
0.596069	0.765564
0.570951	0.786217
0.610287	0.778782
0.557968	0.747336
0.536390	0.769039
0.606441	0.761176
0.574709	0.758516
0.618329	0.833339
0.580954	0.799581
0.562594	0.788608
0.606618	0.784890
0.578962	0.765801
0.611512	0.807876
0.655874	0.755661
0.599526	0.772441
0.525007	0.774002
0.500736	0.773815
0.609428	0.778933
0.518288	0.779905
0.544767	0.777780
0.550766	0.811006
0.613457	0.810933
0.572303	0.767150
0.611064	0.750318
