#EntrezID	Name	Score	Degree
3122	HLA-DRA	0.101488	179
3127	HLA-DRB5	0.101261	94
87	ACTN1	0.100745	793
3678	ITGA5	0.100545	608
3371	TNC	0.100408	352
1282	COL4A1	0.100224	642
3133	HLA-E	0.099972	723
3912	LAMB1	0.099937	612
1284	COL4A2	0.099925	914
5829	PXN	0.099732	804
4267	CD99	0.099591	612
7057	THBS1	0.099533	778
2335	FN1	0.099431	484
10398	MYL9	0.099166	280
3673	ITGA2	0.098973	457
6237	RRAS	0.098864	396
4313	MMP2	0.098817	710
4323	MMP14	0.098736	1125
7082	TJP1	0.098624	847
858	CAV2	0.098612	621
389	RHOC	0.098549	181
4233	MET	0.098535	804
55742	PARVA	0.098526	429
3675	ITGA3	0.098456	403
390	RND3	0.098421	659
2247	FGF2	0.098373	437
3109	HLA-DMB	0.098352	87
1398	CRK	0.098349	331
5578	PRKCA	0.098285	717
1026	CDKN1A	0.098279	501
5159	PDGFRB	0.098211	185
3909	LAMA3	0.098198	190
3383	ICAM1	0.098183	555
5154	PDGFA	0.098136	579
7058	THBS2	0.098009	159
7424	VEGFC	0.098000	340
3914	LAMB3	0.097981	303
5792	PTPRF	0.097921	553
3693	ITGB5	0.097903	723
1793	DOCK1	0.097879	474
50855	PARD6A	0.097858	212
3690	ITGB3	0.097772	604
2260	FGFR1	0.097706	1660
1000	CDH2	0.097705	1003
1072	CFL1	0.097688	400
1288	COL4A6	0.097572	619
5819	NECTIN2	0.097571	710
5228	PGF	0.097463	907
56034	PDGFC	0.097433	1096
5329	PLAUR	0.097401	732
3910	LAMA4	0.097382	1404
3655	ITGA6	0.097360	673
1435	CSF1	0.097339	790
3915	LAMC1	0.097321	1622
8826	IQGAP1	0.097309	1234
4897	NRCAM	0.097270	865
947	CD34	0.097268	335
1839	HBEGF	0.097227	406
3791	KDR	0.097182	84
7040	TGFB1	0.097090	1042
396	ARHGDIA	0.097043	1387
7422	VEGFA	0.097028	825
23114	NFASC	0.097012	983
9564	BCAR1	0.096985	107
3480	IGF1R	0.096938	1272
7074	TIAM1	0.096938	707
2017	CTTN	0.096929	330
4684	NCAM1	0.096924	1083
27	ABL2	0.096908	278
7408	VASP	0.096888	265
5335	PLCG1	0.096874	239
2065	ERBB3	0.096867	1510
23705	CADM1	0.096849	626
55970	GNG12	0.096846	481
7456	WIPF1	0.096841	262
2191	FAP	0.096801	111
3696	ITGB8	0.096801	647
1301	COL11A1	0.096800	129
4638	MYLK	0.096800	446
6714	SRC	0.096741	614
2318	FLNC	0.096737	354
3913	LAMB2	0.096715	1051
3918	LAMC2	0.096696	155
867	CBL	0.096690	300
1364	CLDN4	0.096685	180
3691	ITGB4	0.096673	1320
7431	VIM	0.096662	628
7410	VAV2	0.096645	417
3688	ITGB1	0.096643	564
10000	AKT3	0.096620	1404
3059	HCLS1	0.096611	99
7039	TGFA	0.096595	820
83700	JAM3	0.096585	120
868	CBLB	0.096559	708
1002	CDH4	0.096556	1004
56288	PARD3	0.096539	399
26047	CNTNAP2	0.096495	727
3897	L1CAM	0.096451	777
2734	GLG1	0.096450	879
5923	RASGRF1	0.096424	1026
10109	ARPC2	0.096421	751
9076	CLDN1	0.096379	127
2321	FLT1	0.096372	456
10458	BAIAP2	0.096364	1511
8976	WASL	0.096359	322
214	ALCAM	0.096353	976
25945	NECTIN3	0.096335	333
6840	SVIL	0.096332	631
7791	ZYX	0.096328	1043
4628	MYH10	0.096323	1373
4478	MSN	0.096296	608
5817	PVR	0.096238	487
23396	PIP5K1C	0.096235	641
5728	PTEN	0.096209	946
2149	F2R	0.096205	343
8777	MPDZ	0.096203	559
5217	PFN2	0.096197	810
54434	SSH1	0.096173	830
3479	IGF1	0.096151	377
10152	ABI2	0.096125	723
5580	PRKCD	0.096103	141
9019	MPZL1	0.096096	758
8573	CASK	0.096060	928
3911	LAMA5	0.096045	792
2909	ARHGAP35	0.096026	826
6777	STAT5B	0.096025	400
7077	TIMP2	0.095996	787
4301	AFDN	0.095994	313
965	CD58	0.095956	1093
50509	COL5A3	0.095906	171
324	APC	0.095902	1124
5894	RAF1	0.095877	325
5581	PRKCE	0.095871	1154
7423	VEGFB	0.095858	473
7094	TLN1	0.095849	374
815	CAMK2A	0.095834	1082
6464	SHC1	0.095825	363
816	CAMK2B	0.095817	2851
5595	MAPK3	0.095812	294
9378	NRXN1	0.095762	1156
998	CDC42	0.095748	535
25759	SHC2	0.095745	223
9223	MAGI1	0.095744	693
388	RHOB	0.095727	512
5584	PRKCI	0.095725	795
3725	JUN	0.095722	672
5337	PLD1	0.095700	262
3084	NRG1	0.095684	997
5908	RAP1B	0.095660	1114
5921	RASA1	0.095613	1627
8874	ARHGEF7	0.095605	851
382	ARF6	0.095589	783
8506	CNTNAP1	0.095574	217
2036	EPB41L1	0.095569	464
9369	NRXN3	0.095526	816
9644	SH3PXD2A	0.095515	266
10096	ACTR3	0.095512	1720
8394	PIP5K1A	0.095492	186
3685	ITGAV	0.095492	1039
3082	HGF	0.095484	472
23533	PIK3R5	0.095462	872
394	ARHGAP5	0.095450	1656
10298	PAK4	0.095445	603
54413	NLGN3	0.095439	285
9138	ARHGEF1	0.095437	612
2185	PTK2B	0.095434	316
3680	ITGA9	0.095406	207
5599	MAPK8	0.095397	410
1001	CDH3	0.095384	169
2037	EPB41L2	0.095383	377
7060	THBS4	0.095381	127
10787	NCKAP1	0.095365	911
5605	MAP2K2	0.095357	1052
5516	PPP2CB	0.095338	983
8174	MADCAM1	0.095327	770
22800	RRAS2	0.095310	1022
5520	PPP2R2A	0.095303	849
7114	TMSB4X	0.095289	220
83660	TLN2	0.095269	239
8503	PIK3R3	0.095224	207
1457	CSNK2A1	0.095194	1031
2534	FYN	0.095177	705
5170	PDPK1	0.095172	559
3611	ILK	0.095171	774
10672	GNA13	0.095166	767
4659	PPP1R12A	0.095152	2012
1003	CDH5	0.095134	62
50848	F11R	0.095116	513
2549	GAB1	0.095112	323
55740	ENAH	0.095099	880
8396	PIP4K2B	0.095048	896
5590	PRKCZ	0.095039	413
818	CAMK2G	0.095001	1088
3993	LLGL2	0.094936	273
2889	RAPGEF1	0.094927	197
8515	ITGA10	0.094924	333
1495	CTNNA1	0.094924	1148
10094	ARPC3	0.094915	972
1272	CNTN1	0.094901	429
2002	ELK1	0.094901	549
369	ARAF	0.094895	250
1460	CSNK2B	0.094883	927
3645	INSRR	0.094882	385
596	BCL2	0.094881	724
5500	PPP1CB	0.094875	1316
2885	GRB2	0.094862	524
50649	ARHGEF4	0.094852	1230
5296	PIK3R2	0.094849	878
93408	MYL10	0.094846	303
3123	HLA-DRB1	0.094828	93
22871	NLGN1	0.094825	121
58494	JAM2	0.094810	120
54961	SSH3	0.094809	775
9863	MAGI2	0.094802	482
5601	MAPK9	0.094792	1939
64398	MPP5	0.094771	560
3108	HLA-DMA	0.094767	172
3984	LIMK1	0.094767	541
7059	THBS3	0.094747	252
5649	RELN	0.094709	171
51208	CLDN18	0.094693	793
3985	LIMK2	0.094692	209
9475	ROCK2	0.094680	1063
5797	PTPRM	0.094665	457
5295	PIK3R1	0.094622	747
3106	HLA-B	0.094614	673
2066	ERBB4	0.094573	1450
5879	RAC1	0.094568	798
3107	HLA-C	0.094509	531
3113	HLA-DPA1	0.094467	204
5747	PTK2	0.094451	1321
5880	RAC2	0.094433	535
824	CAPN2	0.094430	295
4318	MMP9	0.094424	124
8936	WASF1	0.094416	191
6655	SOS2	0.094412	909
3135	HLA-G	0.094253	383
4660	PPP1R12B	0.094237	369
7430	EZR	0.094208	289
8531	YBX3	0.094193	185
5594	MAPK1	0.094182	1327
5518	PPP2R1A	0.094172	792
23191	CYFIP1	0.094171	647
3105	HLA-A	0.094151	495
5293	PIK3CD	0.094146	231
10095	ARPC1B	0.094141	871
28964	GIT1	0.094106	439
1366	CLDN7	0.094101	94
207	AKT1	0.094100	800
823	CAPN1	0.094081	791
2932	GSK3B	0.094063	482
9414	TJP2	0.094051	416
3996	LLGL1	0.094048	546
1399	CRKL	0.094038	773
3134	HLA-F	0.094024	449
8395	PIP5K1B	0.094020	481
25	ABL1	0.094013	516
6199	RPS6KB2	0.093999	310
9379	NRXN2	0.093970	792
6093	ROCK1	0.093960	1345
2264	FGFR4	0.093959	389
5609	MAP2K7	0.093937	723
10092	ARPC5	0.093904	1173
5155	PDGFB	0.093880	1747
5522	PPP2R2C	0.093852	429
1499	CTNNB1	0.093829	101
387	RHOA	0.093824	728
27134	TJP3	0.093822	187
1133	CHRM5	0.093816	273
10097	ACTR2	0.093804	1044
5062	PAK2	0.093739	1377
6416	MAP2K4	0.093670	1358
57863	CADM3	0.093664	1010
10451	VAV3	0.093635	147
85301	COL27A1	0.093627	273
5604	MAP2K1	0.093621	1091
7122	CLDN5	0.093619	37
81873	ARPC5L	0.093595	1471
4342	MOS	0.093578	234
4626	MYH8	0.093572	290
6548	SLC9A1	0.093536	157
5216	PFN1	0.093515	1170
5906	RAP1A	0.093506	828
84612	PARD6B	0.093501	99
10297	APC2	0.093491	1490
9071	CLDN10	0.093468	513
1101	CHAD	0.093467	382
22854	NTNG1	0.093443	1092
10093	ARPC4	0.093436	406
60	ACTB	0.093413	350
1365	CLDN3	0.093401	105
29780	PARVB	0.093393	325
4690	NCK1	0.093392	1922
5290	PIK3CA	0.093386	1436
5291	PIK3CB	0.093357	621
26999	CYFIP2	0.093355	560
53358	SHC3	0.093344	259
8516	ITGA8	0.093277	332
1019	CDK4	0.093251	1475
1027	CDKN1B	0.093230	1172
1073	CFL2	0.093230	828
6404	SELPLG	0.093218	251
5175	PECAM1	0.093170	174
4685	NCAM2	0.093141	108
7412	VCAM1	0.093129	104
817	CAMK2D	0.093118	344
80310	PDGFD	0.093113	117
23308	ICOSLG	0.093094	1130
3684	ITGAM	0.093063	192
6198	RPS6KB1	0.093052	1382
257194	NEGR1	0.093034	145
5515	PPP2CA	0.093022	1637
942	CD86	0.093013	127
57144	PAK5	0.092997	218
200576	PIKFYVE	0.092943	950
22989	MYH15	0.092936	194
3115	HLA-DPB1	0.092927	72
10163	WASF2	0.092924	169
10552	ARPC1A	0.092917	1059
3385	ICAM3	0.092871	150
3682	ITGAE	0.092864	788
3125	HLA-DRB3	0.092861	111
23624	CBLC	0.092817	103
572	BAD	0.092802	1145
29119	CTNNA3	0.092777	215
57530	CGN	0.092733	108
5818	NECTIN1	0.092725	2611
1459	CSNK2A2	0.092705	384
3687	ITGAX	0.092704	110
3111	HLA-DOA	0.092653	1744
9080	CLDN9	0.092625	664
933	CD22	0.092621	426
5579	PRKCB	0.092614	135
1013	CDH15	0.092583	636
55845	BRK1	0.092579	357
3694	ITGB6	0.092572	108
6900	CNTN2	0.092554	693
4099	MAG	0.092537	1104
941	CD80	0.092479	764
7143	TNR	0.092473	1083
5058	PAK1	0.092458	95
6693	SPN	0.092408	338
5499	PPP1CA	0.092401	1527
3126	HLA-DRB4	0.092390	86
5305	PIP4K2A	0.092377	98
3265	HRAS	0.092363	1233
6696	SPP1	0.092360	39
923	CD6	0.092302	546
2768	GNA12	0.092259	145
8440	NCK2	0.092186	96
5501	PPP1CC	0.092112	1710
9074	CLDN6	0.092109	325
103910	MYL12B	0.091979	269
85464	SSH2	0.091977	169
9542	NRG2	0.091894	132
4636	MYL5	0.091829	212
958	CD40	0.091739	105
23136	EPB41L3	0.091683	156
6403	SELP	0.091670	173
6614	SIGLEC1	0.091616	185
1129	CHRM2	0.091584	102
284217	LAMA1	0.091461	64
5063	PAK3	0.091440	115
1978	EIF4EBP1	0.091431	610
260425	MAGI3	0.091419	63
5133	PDCD1	0.091390	367
10319	LAMC3	0.091340	80
10627	MYL12A	0.091203	121
929	CD14	0.091173	127
89	ACTN3	0.091123	208
3683	ITGAL	0.091091	31
63923	TNN	0.091091	125
90952	ESAM	0.090991	49
5788	PTPRC	0.090943	152
57555	NLGN2	0.090888	81
10788	IQGAP2	0.090771	119
22798	LAMB4	0.090648	86
5336	PLCG2	0.090527	78
3071	NCKAP1L	0.090464	28
2475	MTOR	0.090441	159
54776	PPP1R12C	0.090372	117
7409	VAV1	0.090350	59
5588	PRKCQ	0.090305	52
79837	PIP4K2C	0.090292	101
920	CD4	0.090189	79
5881	RAC3	0.090049	85
374	AREG	0.090037	23
58498	MYL7	0.090025	181
8735	MYH13	0.089919	102
3384	ICAM2	0.089918	102
51776	MAP3K20	0.089841	180
6402	SELL	0.089803	37
84552	PARD6G	0.089789	16
6776	STAT5A	0.089760	45
22801	ITGA11	0.089657	40
23562	CLDN14	0.089600	37
7448	VTN	0.089587	42
940	CD28	0.089470	72
5010	CLDN11	0.089441	70
623	BDKRB1	0.089226	56
926	CD8B	0.089145	84
3695	ITGB7	0.089136	32
914	CD2	0.088939	47
1803	DPP4	0.088849	34
4620	MYH2	0.088625	34
22808	MRAS	0.088568	44
1131	CHRM3	0.088492	33
2069	EREG	0.088480	36
56924	PAK6	0.088119	45
29895	MYLPF	0.088086	68
81624	DIAPH3	0.087933	67
80380	PDCD1LG2	0.087898	27
959	CD40LG	0.087880	29
3676	ITGA4	0.087854	59
149461	CLDN19	0.087843	51
26285	CLDN17	0.087776	61
624	BDKRB2	0.087622	21
3672	ITGA1	0.087564	12
9459	ARHGEF6	0.087549	33
1496	CTNNA2	0.087359	24
1132	CHRM4	0.087219	28
57689	LRRC4C	0.087113	10
94030	LRRC4B	0.087088	41
925	CD8A	0.087039	23
1493	CTLA4	0.086767	17
3112	HLA-DOB	0.086651	33
128239	IQGAP3	0.086358	36
84628	NTNG2	0.086262	37
92359	CRB3	0.086165	11
3381	IBSP	0.085969	11
2277	VEGFD	0.085954	19
9073	CLDN8	0.085729	6
55844	PPP2R2D	0.085684	6
10718	NRG3	0.085561	9
4622	MYH4	0.085508	6
5294	PIK3CG	0.085426	17
3681	ITGAD	0.085399	19
10666	CD226	0.085309	16
64101	LRRC4	0.085293	14
1950	EGF	0.085269	10
57644	MYH7B	0.085228	4
64098	PARVG	0.085112	11
