#Iter	Time	Change
0	0.03	1.392757e+04
1	0.03	2.126392e+03
2	0.02	1.155096e+03
3	0.02	8.507421e+02
4	0.03	6.995469e+02
5	0.02	5.871727e+02
6	0.03	4.989841e+02
7	0.02	4.266854e+02
8	0.02	3.667676e+02
9	0.02	3.165698e+02
10	0.02	2.742205e+02
11	0.03	2.382683e+02
12	0.03	2.075860e+02
13	0.03	1.812784e+02
14	0.03	1.586289e+02
15	0.03	1.390574e+02
16	0.02	1.220908e+02
17	0.02	1.073402e+02
18	0.02	9.448365e+01
19	0.03	8.325289e+01
20	0.03	7.342303e+01
21	0.02	6.480448e+01
22	0.03	5.723653e+01
23	0.02	5.058234e+01
24	0.03	4.472480e+01
25	0.02	3.956334e+01
26	0.02	3.501125e+01
27	0.02	3.099351e+01
28	0.02	2.744503e+01
29	0.02	2.430918e+01
30	0.02	2.153658e+01
31	0.03	1.908406e+01
32	0.02	1.691385e+01
33	0.03	1.499280e+01
34	0.03	1.329180e+01
35	0.03	1.178526e+01
36	0.03	1.045065e+01
37	0.02	9.268116e+00
38	0.02	8.220138e+00
39	0.02	7.291263e+00
40	0.02	6.467842e+00
41	0.02	5.737811e+00
42	0.03	5.090508e+00
43	0.02	4.516500e+00
44	0.02	4.007441e+00
45	0.02	3.555946e+00
46	0.02	3.155475e+00
47	0.02	2.800237e+00
48	0.03	2.485104e+00
49	0.03	2.205529e+00
50	0.03	1.957489e+00
51	0.02	1.737413e+00
52	0.03	1.542140e+00
53	0.02	1.368866e+00
54	0.03	1.215106e+00
55	0.02	1.078656e+00
56	0.03	9.575621e-01
57	0.02	8.500925e-01
58	0.03	7.547101e-01
59	0.04	6.700525e-01
60	0.03	5.949108e-01
61	0.03	5.282131e-01
62	0.03	4.690083e-01
63	0.03	4.164528e-01
64	0.02	3.697982e-01
65	0.03	3.283807e-01
66	0.04	2.916110e-01
67	0.02	2.589665e-01
68	0.03	2.299835e-01
69	0.03	2.042505e-01
70	0.03	1.814023e-01
71	0.03	1.611148e-01
72	0.05	1.431004e-01
73	0.04	1.271041e-01
74	0.03	1.128992e-01
75	0.03	1.002848e-01
76	0.02	8.908238e-02
77	0.02	7.913366e-02
78	0.02	7.029804e-02
79	0.02	6.245075e-02
80	0.03	5.548103e-02
81	0.03	4.929055e-02
82	0.02	4.379204e-02
83	0.02	3.890799e-02
84	0.02	3.456961e-02
85	0.02	3.071583e-02
86	0.02	2.729242e-02
87	0.02	2.425123e-02
88	0.03	2.154950e-02
89	0.02	1.914928e-02
90	0.02	1.701686e-02
91	0.02	1.512231e-02
92	0.03	1.343904e-02
93	0.02	1.194345e-02
94	0.02	1.061459e-02
95	0.03	9.433818e-03
96	0.02	8.384617e-03
97	0.02	7.452297e-03
98	0.02	6.623816e-03
99	0.03	5.887588e-03
100	0.02	5.233324e-03
101	0.02	4.651882e-03
102	0.03	4.135145e-03
103	0.02	3.675898e-03
104	0.02	3.267736e-03
105	0.02	2.904967e-03
106	0.03	2.582533e-03
107	0.02	2.295943e-03
108	0.03	2.041206e-03
109	0.03	1.814775e-03
110	0.03	1.613501e-03
111	0.02	1.434584e-03
112	0.03	1.275536e-03
113	0.02	1.134147e-03
114	0.02	1.008455e-03
115	0.02	8.967124e-04
