#EntrezID	Name	Score	Degree
40	ASIC2	0.104061	360
2915	GRM5	0.103873	369
2572	GAD2	0.103640	1042
1641	DCX	0.103560	545
1006	CDH8	0.103311	873
1804	DPP6	0.103240	855
4986	OPRK1	0.103101	454
3358	HTR2C	0.103098	684
2925	GRPR	0.103001	605
9378	NRXN1	0.102906	1156
9722	NOS1AP	0.102897	925
4340	MOG	0.102714	337
2917	GRM7	0.102708	950
2904	GRIN2B	0.102700	1266
2103	ESRRB	0.102553	788
4988	OPRM1	0.102536	873
1610	DAO	0.102460	819
4036	LRP2	0.102402	162
1586	CYP17A1	0.102367	580
7101	NR2E1	0.102358	204
2911	GRM1	0.102344	391
1583	CYP11A1	0.102324	350
491	ATP2B2	0.102301	1704
54715	RBFOX1	0.102297	507
4887	NPY2R	0.102184	1182
2899	GRIK3	0.101848	985
778	CACNA1F	0.101834	850
3362	HTR6	0.101832	1569
2918	GRM8	0.101799	414
2562	GABRB3	0.101787	335
7425	VGF	0.101744	518
7299	TYR	0.101732	190
51725	FBXO40	0.101711	458
793	CALB1	0.101611	267
1812	DRD1	0.101550	185
5649	RELN	0.101546	171
9568	GABBR2	0.101535	1180
1813	DRD2	0.101423	2169
6853	SYN1	0.101415	262
4915	NTRK2	0.101379	1164
26280	IL1RAPL2	0.101229	317
2099	ESR1	0.101197	1653
3782	KCNN3	0.101141	393
8912	CACNA1H	0.101025	843
5444	PON1	0.101005	555
6258	RXRG	0.100893	145
2891	GRIA2	0.100890	231
6529	SLC6A1	0.100874	186
2895	GRID2	0.100853	124
54413	NLGN3	0.100805	285
4987	OPRL1	0.100800	1063
816	CAMK2B	0.100758	2851
1815	DRD4	0.100597	313
1133	CHRM5	0.100531	273
6716	SRD5A2	0.100519	226
1740	DLG2	0.100451	130
10814	CPLX2	0.100450	290
4908	NTF3	0.100406	144
186	AGTR2	0.100340	220
80258	EFHC2	0.100263	436
5697	PYY	0.100176	729
5443	POMC	0.100162	254
6000	RGS7	0.100150	428
8448	DOC2A	0.100106	184
3239	HOXD13	0.099959	233
10716	TBR1	0.099918	278
5864	RAB3A	0.099918	315
6616	SNAP25	0.099895	649
2571	GAD1	0.099843	378
3084	NRG1	0.099729	997
15	AANAT	0.099662	251
54538	ROBO4	0.099652	440
2892	GRIA3	0.099604	492
2554	GABRA1	0.099590	631
3382	ICA1	0.099541	619
8828	NRP2	0.099511	1427
2555	GABRA2	0.099501	228
4914	NTRK1	0.099482	203
2903	GRIN2A	0.099472	933
1268	CNR1	0.099464	1299
4974	OMG	0.099452	408
2558	GABRA5	0.099438	569
3077	HFE	0.099384	1660
2557	GABRA4	0.099184	747
4137	MAPT	0.099163	820
3354	HTR1E	0.099158	255
5071	PRKN	0.099108	394
2898	GRIK2	0.099108	516
635	BHMT	0.099107	131
3778	KCNMA1	0.099052	1273
11141	IL1RAPL1	0.098998	339
50834	TAS2R1	0.098990	196
321	APBA2	0.098975	271
23026	MYO16	0.098965	551
3356	HTR2A	0.098944	1168
