#Iter	Time	Change
0	0.03	1.388078e+04
1	0.02	2.102712e+03
2	0.04	1.128945e+03
3	0.02	8.275697e+02
4	0.02	6.777586e+02
5	0.03	5.678131e+02
6	0.02	4.820086e+02
7	0.03	4.120985e+02
8	0.02	3.543805e+02
9	0.04	3.061558e+02
10	0.03	2.655274e+02
11	0.03	2.310503e+02
12	0.02	2.016142e+02
13	0.02	1.763486e+02
14	0.03	1.545627e+02
15	0.03	1.357025e+02
16	0.03	1.193188e+02
17	0.02	1.050441e+02
18	0.02	9.257508e+01
19	0.03	8.165951e+01
20	0.02	7.208591e+01
21	0.02	6.367584e+01
22	0.02	5.627781e+01
23	0.02	4.976247e+01
24	0.03	4.401883e+01
25	0.02	3.895124e+01
26	0.02	3.447693e+01
27	0.02	3.052406e+01
28	0.02	2.703007e+01
29	0.03	2.394033e+01
30	0.03	2.120705e+01
31	0.02	1.878836e+01
32	0.02	1.664745e+01
33	0.02	1.475200e+01
34	0.03	1.307352e+01
35	0.02	1.158693e+01
36	0.02	1.027010e+01
37	0.02	9.103492e+00
38	0.02	8.069856e+00
39	0.02	7.153946e+00
40	0.02	6.342285e+00
41	0.02	5.622954e+00
42	0.02	4.985407e+00
43	0.02	4.420312e+00
44	0.02	3.919407e+00
45	0.03	3.475379e+00
46	0.03	3.081753e+00
47	0.02	2.732792e+00
48	0.02	2.423416e+00
49	0.03	2.149125e+00
50	0.02	1.905931e+00
51	0.02	1.690303e+00
52	0.02	1.499108e+00
53	0.02	1.329575e+00
54	0.02	1.179243e+00
55	0.02	1.045935e+00
56	0.02	9.277197e-01
57	0.03	8.228854e-01
58	0.02	7.299151e-01
59	0.03	6.474640e-01
60	0.03	5.743401e-01
61	0.02	5.094866e-01
62	0.02	4.519668e-01
63	0.03	4.009501e-01
64	0.02	3.557001e-01
65	0.03	3.155641e-01
66	0.03	2.799632e-01
67	0.02	2.483843e-01
68	0.02	2.203724e-01
69	0.02	1.955239e-01
70	0.03	1.734811e-01
71	0.02	1.539267e-01
72	0.02	1.365795e-01
73	0.02	1.211899e-01
74	0.02	1.075368e-01
75	0.02	9.542386e-02
76	0.02	8.467717e-02
77	0.02	7.514239e-02
78	0.03	6.668268e-02
79	0.02	5.917665e-02
80	0.03	5.251665e-02
81	0.03	4.660717e-02
82	0.02	4.136354e-02
83	0.02	3.671063e-02
84	0.02	3.258179e-02
85	0.02	2.891793e-02
86	0.02	2.566661e-02
87	0.02	2.278131e-02
88	0.02	2.022078e-02
89	0.02	1.794841e-02
90	0.02	1.593172e-02
91	0.02	1.414192e-02
92	0.03	1.255345e-02
93	0.02	1.114362e-02
94	0.03	9.892319e-03
95	0.03	8.781702e-03
96	0.02	7.795929e-03
97	0.02	6.920949e-03
98	0.02	6.144293e-03
99	0.02	5.454898e-03
100	0.02	4.842949e-03
101	0.02	4.299733e-03
102	0.02	3.817521e-03
103	0.02	3.389454e-03
104	0.02	3.009445e-03
105	0.03	2.672091e-03
106	0.02	2.372598e-03
107	0.02	2.106713e-03
108	0.03	1.870659e-03
109	0.03	1.661086e-03
110	0.02	1.475018e-03
111	0.02	1.309817e-03
112	0.03	1.163140e-03
113	0.02	1.032907e-03
114	0.03	9.172724e-04
