#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
9378	NRXN1	Positive	0.988901	Positive	0.943580	0.933107	NO	1155
816	CAMK2B	Positive	0.968259	Positive	0.944121	0.914154	NO	2850
54413	NLGN3	Positive	0.968711	Positive	0.940397	0.910972	NO	284
5649	RELN	Positive	0.975831	Positive	0.933204	0.910650	NO	170
4897	NRCAM	Positive	0.944187	Positive	0.958438	0.904945	NO	864
3084	NRG1	Positive	0.958371	Positive	0.942811	0.903562	NO	996
4233	MET	Positive	0.927254	Positive	0.970903	0.900274	NO	803
26047	CNTNAP2	Positive	0.944196	Positive	0.950802	0.897744	NO	726
3479	IGF1	Positive	0.943543	Positive	0.947413	0.893924	NO	376
1133	CHRM5	Positive	0.966078	Positive	0.924405	0.893047	NO	272
3690	ITGB3	Positive	0.926793	Positive	0.963385	0.892858	NO	603
3912	LAMB1	Positive	0.904546	Positive	0.984717	0.890723	NO	611
3791	KDR	Positive	0.928071	Positive	0.957571	0.888694	NO	83
23705	CADM1	Positive	0.926303	Positive	0.954290	0.883962	NO	625
2321	FLT1	Positive	0.926899	Positive	0.949590	0.880174	NO	455
2066	ERBB4	Positive	0.944263	Positive	0.931864	0.879925	NO	1449
22871	NLGN1	Positive	0.938104	Positive	0.934347	0.876514	NO	120
7422	VEGFA	Positive	0.915819	Positive	0.956054	0.875572	NO	824
22854	NTNG1	Positive	0.948530	Positive	0.920730	0.873340	NO	1091
3082	HGF	Positive	0.925659	Positive	0.940840	0.870897	NO	471
10458	BAIAP2	Positive	0.916443	Positive	0.949511	0.870173	NO	1510
5728	PTEN	Positive	0.915905	Positive	0.947984	0.868263	NO	945
7040	TGFB1	Positive	0.907497	Positive	0.956665	0.868170	NO	1041
8573	CASK	Positive	0.914598	Positive	0.946516	0.865682	NO	927
9379	NRXN2	Positive	0.933933	Positive	0.925922	0.864749	NO	791
1301	COL11A1	Positive	0.904691	Positive	0.953807	0.862900	NO	128
596	BCL2	Positive	0.919480	Positive	0.934899	0.859621	NO	723
324	APC	Positive	0.902461	Positive	0.944959	0.852789	NO	1123
5747	PTK2	Positive	0.914089	Positive	0.930662	0.850708	NO	1320
29119	CTNNA3	Positive	0.929916	Positive	0.914167	0.850099	NO	214
5595	MAPK3	Positive	0.900289	Positive	0.944072	0.849938	NO	293
5894	RAF1	Positive	0.899357	Positive	0.944713	0.849634	NO	324
207	AKT1	Positive	0.908861	Positive	0.927203	0.842699	NO	799
5295	PIK3R1	Positive	0.903316	Positive	0.932347	0.842204	NO	746
4478	MSN	Positive	0.886576	Positive	0.948841	0.841220	NO	607
3106	HLA-B	Positive	0.902182	Positive	0.932268	0.841076	NO	672
5605	MAP2K2	Positive	0.895110	Positive	0.939589	0.841035	NO	1051
5604	MAP2K1	Positive	0.911571	Positive	0.922483	0.840909	NO	1090
5290	PIK3CA	Positive	0.887902	Positive	0.920168	0.817019	NO	1435
3105	HLA-A	Positive	0.877553	Positive	0.927706	0.814111	NO	494
3265	HRAS	Positive	0.886672	Positive	0.910088	0.806950	NO	1232
5579	PRKCB	Positive	0.879772	Positive	0.912561	0.802846	NO	134
1499	CTNNB1	Positive	0.864993	Positive	0.924533	0.799714	NO	100
3123	HLA-DRB1	Positive	0.850741	Positive	0.934376	0.794913	NO	92
