#EntrezID	Name	Score	Degree
4897	NRCAM	0.166667	865
3479	IGF1	0.166667	377
26047	CNTNAP2	0.166667	727
1499	CTNNB1	0.166667	101
5605	MAP2K2	0.166667	1052
57502	NLGN4X	0.166667	5
23705	CADM1	0.166667	626
3084	NRG1	0.166667	997
3676	ITGA4	0.166667	59
22798	LAMB4	0.166667	86
10458	BAIAP2	0.166667	1511
5604	MAP2K1	0.166667	1091
3690	ITGB3	0.166667	604
5747	PTK2	0.166667	1321
324	APC	0.166667	1124
3106	HLA-B	0.166667	673
207	AKT1	0.166667	800
29119	CTNNA3	0.166667	215
40	ASIC2	0.111559	360
1641	DCX	0.111321	545
2915	GRM5	0.111076	369
1006	CDH8	0.110964	873
2572	GAD2	0.110944	1042
5923	RASGRF1	0.110917	1026
1804	DPP6	0.110661	855
815	CAMK2A	0.110460	1082
3358	HTR2C	0.110371	684
9722	NOS1AP	0.110331	925
9378	NRXN1	0.110331	1156
7425	VGF	0.110179	518
491	ATP2B2	0.110102	1704
4340	MOG	0.110095	337
2562	GABRB3	0.109902	335
4684	NCAM1	0.109902	1083
2917	GRM7	0.109878	950
2103	ESRRB	0.109863	788
8174	MADCAM1	0.109818	770
1002	CDH4	0.109817	1004
9568	GABBR2	0.109761	1180
1610	DAO	0.109672	819
2925	GRPR	0.109639	605
1288	COL4A6	0.109583	619
4986	OPRK1	0.109524	454
778	CACNA1F	0.109512	850
5581	PRKCE	0.109459	1154
4323	MMP14	0.109395	1125
3362	HTR6	0.109351	1569
1583	CYP11A1	0.109350	350
4915	NTRK2	0.109321	1164
1586	CYP17A1	0.109284	580
2904	GRIN2B	0.109282	1266
2911	GRM1	0.109245	391
51208	CLDN18	0.109222	793
54715	RBFOX1	0.109186	507
8828	NRP2	0.109181	1427
4988	OPRM1	0.109152	873
4987	OPRL1	0.109114	1063
3782	KCNN3	0.109025	393
4887	NPY2R	0.109020	1182
6853	SYN1	0.108947	262
23114	NFASC	0.108917	983
9223	MAGI1	0.108860	693
2899	GRIK3	0.108857	985
1813	DRD2	0.108783	2169
816	CAMK2B	0.108653	2851
8912	CACNA1H	0.108648	843
2918	GRM8	0.108602	414
51725	FBXO40	0.108582	458
793	CALB1	0.108569	267
2099	ESR1	0.108488	1653
23533	PIK3R5	0.108406	872
2571	GAD1	0.108358	378
