#Iter	Time	Change
0	0.03	1.359966e+04
1	0.02	1.878477e+03
2	0.02	9.311635e+02
3	0.02	6.542018e+02
4	0.02	5.243130e+02
5	0.02	4.319416e+02
6	0.02	3.613981e+02
7	0.02	3.048572e+02
8	0.02	2.588514e+02
9	0.02	2.209168e+02
10	0.03	1.893494e+02
11	0.02	1.628716e+02
12	0.02	1.405161e+02
13	0.02	1.215339e+02
14	0.02	1.053377e+02
15	0.02	9.146151e+01
16	0.03	7.953093e+01
17	0.02	6.924244e+01
18	0.02	6.034751e+01
19	0.02	5.264091e+01
20	0.02	4.595181e+01
21	0.02	4.013707e+01
22	0.02	3.507594e+01
23	0.02	3.066605e+01
24	0.02	2.682016e+01
25	0.03	2.346363e+01
26	0.02	2.053234e+01
27	0.02	1.797108e+01
28	0.02	1.573216e+01
29	0.03	1.377427e+01
30	0.03	1.206162e+01
31	0.02	1.056310e+01
32	0.03	9.251640e+00
33	0.03	8.103680e+00
34	0.02	7.098677e+00
35	0.02	6.218710e+00
36	0.02	5.448133e+00
37	0.02	4.773282e+00
38	0.02	4.182213e+00
39	0.03	3.664486e+00
40	0.02	3.210972e+00
41	0.02	2.813682e+00
42	0.02	2.465629e+00
43	0.02	2.160695e+00
44	0.02	1.893529e+00
45	0.02	1.659443e+00
46	0.02	1.454334e+00
47	0.03	1.274609e+00
48	0.02	1.117121e+00
49	0.02	9.791162e-01
50	0.02	8.581796e-01
51	0.02	7.521978e-01
52	0.02	6.593191e-01
53	0.02	5.779215e-01
54	0.02	5.065840e-01
55	0.02	4.440619e-01
56	0.02	3.892645e-01
57	0.02	3.412363e-01
58	0.02	2.991401e-01
59	0.03	2.622426e-01
60	0.02	2.299010e-01
61	0.03	2.015520e-01
62	0.03	1.767024e-01
63	0.02	1.549197e-01
64	0.02	1.358250e-01
65	0.02	1.190861e-01
66	0.02	1.044123e-01
67	0.02	9.154838e-02
68	0.02	8.027095e-02
69	0.02	7.038412e-02
70	0.02	6.171625e-02
71	0.02	5.411691e-02
72	0.02	4.745423e-02
73	0.02	4.161265e-02
74	0.02	3.649087e-02
75	0.02	3.200012e-02
76	0.02	2.806256e-02
77	0.03	2.460998e-02
78	0.02	2.158260e-02
79	0.02	1.892799e-02
80	0.02	1.660020e-02
81	0.02	1.455897e-02
82	0.02	1.276898e-02
83	0.02	1.119927e-02
84	0.02	9.822713e-03
85	0.02	8.615517e-03
86	0.02	7.556825e-03
87	0.02	6.628350e-03
88	0.02	5.814060e-03
89	0.02	5.099900e-03
90	0.02	4.473544e-03
91	0.02	3.924187e-03
92	0.03	3.442355e-03
93	0.02	3.019739e-03
94	0.02	2.649056e-03
95	0.02	2.323917e-03
96	0.02	2.038721e-03
97	0.02	1.788557e-03
98	0.02	1.569118e-03
99	0.02	1.376626e-03
100	0.02	1.207769e-03
101	0.02	1.059643e-03
102	0.03	9.297001e-04
