#EntrezID	Name	Score	Degree
3127	HLA-DRB5	0.101838	94
1284	COL4A2	0.100220	914
3371	TNC	0.099908	352
7431	VIM	0.099845	628
3678	ITGA5	0.099787	608
1289	COL5A1	0.099697	600
1282	COL4A1	0.099694	642
7057	THBS1	0.099341	778
3113	HLA-DPA1	0.099310	204
3791	KDR	0.099276	84
3912	LAMB1	0.099255	612
2335	FN1	0.099229	484
6464	SHC1	0.098840	363
4313	MMP2	0.098767	710
5159	PDGFRB	0.098711	185
3673	ITGA2	0.098661	457
7424	VEGFC	0.098535	340
4478	MSN	0.098484	608
5154	PDGFA	0.098473	579
4233	MET	0.098395	804
3105	HLA-A	0.098368	495
858	CAV2	0.098280	621
390	RND3	0.098215	659
5329	PLAUR	0.098205	732
1793	DOCK1	0.098081	474
87	ACTN1	0.098080	793
3107	HLA-C	0.098069	531
2318	FLNC	0.097993	354
3915	LAMC1	0.097924	1622
10398	MYL9	0.097922	280
4638	MYLK	0.097903	446
50509	COL5A3	0.097871	171
3693	ITGB5	0.097856	723
7058	THBS2	0.097785	159
27	ABL2	0.097677	278
7408	VASP	0.097664	265
1000	CDH2	0.097620	1003
5175	PECAM1	0.097604	174
55742	PARVA	0.097579	429
5578	PRKCA	0.097480	717
4323	MMP14	0.097462	1125
7082	TJP1	0.097453	847
3914	LAMB3	0.097428	303
5829	PXN	0.097425	804
3688	ITGB1	0.097412	564
2191	FAP	0.097333	111
7040	TGFB1	0.097235	1042
6237	RRAS	0.097234	396
2247	FGF2	0.097220	437
2260	FGFR1	0.097200	1660
5817	PVR	0.097179	487
1288	COL4A6	0.097154	619
3123	HLA-DRB1	0.097152	93
4267	CD99	0.097147	612
3897	L1CAM	0.097114	777
7077	TIMP2	0.097084	787
2534	FYN	0.097081	705
9564	BCAR1	0.097066	107
5228	PGF	0.097023	907
1435	CSF1	0.097021	790
60	ACTB	0.097012	350
25945	NECTIN3	0.096998	333
3909	LAMA3	0.096994	190
8503	PIK3R3	0.096968	207
3675	ITGA3	0.096936	403
2321	FLT1	0.096893	456
389	RHOC	0.096886	181
23705	CADM1	0.096883	626
3106	HLA-B	0.096880	673
10000	AKT3	0.096839	1404
947	CD34	0.096837	335
1026	CDKN1A	0.096831	501
3383	ICAM1	0.096823	555
2185	PTK2B	0.096820	316
3135	HLA-G	0.096819	383
3910	LAMA4	0.096782	1404
7074	TIAM1	0.096726	707
3082	HGF	0.096716	472
83660	TLN2	0.096673	239
5880	RAC2	0.096650	535
3611	ILK	0.096617	774
7456	WIPF1	0.096604	262
867	CBL	0.096603	300
8777	MPDZ	0.096595	559
3134	HLA-F	0.096585	449
3480	IGF1R	0.096519	1272
3696	ITGB8	0.096453	647
56034	PDGFC	0.096448	1096
7791	ZYX	0.096443	1043
10095	ARPC1B	0.096440	871
2149	F2R	0.096407	343
3479	IGF1	0.096368	377
5594	MAPK1	0.096356	1327
8394	PIP5K1A	0.096310	186
7422	VEGFA	0.096292	825
3133	HLA-E	0.096282	723
5792	PTPRF	0.096276	553
4628	MYH10	0.096275	1373
3691	ITGB4	0.096265	1320
9369	NRXN3	0.096258	816
1839	HBEGF	0.096253	406
2885	GRB2	0.096252	524
3725	JUN	0.096244	672
1001	CDH3	0.096224	169
6714	SRC	0.096216	614
10152	ABI2	0.096205	723
2002	ELK1	0.096197	549
396	ARHGDIA	0.096186	1387
23114	NFASC	0.096175	983
83700	JAM3	0.096172	120
9644	SH3PXD2A	0.096159	266
6840	SVIL	0.096150	631
2909	ARHGAP35	0.096140	826
7060	THBS4	0.096090	127
388	RHOB	0.096054	512
3655	ITGA6	0.096047	673
5819	NECTIN2	0.096034	710
4897	NRCAM	0.096028	865
3913	LAMB2	0.096022	1051
