#Iter	Time	Change
0	0.03	1.392159e+04
1	0.02	2.121935e+03
2	0.02	1.154015e+03
3	0.03	8.515308e+02
4	0.02	7.016326e+02
5	0.02	5.899999e+02
6	0.02	5.022157e+02
7	0.02	4.300886e+02
8	0.02	3.701943e+02
9	0.02	3.199246e+02
10	0.02	2.774442e+02
11	0.02	2.413257e+02
12	0.03	2.104577e+02
13	0.02	1.839561e+02
14	0.02	1.611114e+02
15	0.02	1.413484e+02
16	0.02	1.241971e+02
17	0.03	1.092705e+02
18	0.02	9.624784e+01
19	0.02	8.486135e+01
20	0.02	7.488635e+01
21	0.02	6.613316e+01
22	0.02	5.844079e+01
23	0.02	5.167199e+01
24	0.02	4.570919e+01
25	0.02	4.045131e+01
26	0.02	3.581109e+01
27	0.02	3.171297e+01
28	0.02	2.809131e+01
29	0.02	2.488896e+01
30	0.02	2.205604e+01
31	0.03	1.954889e+01
32	0.03	1.732927e+01
33	0.02	1.536361e+01
34	0.02	1.362239e+01
35	0.02	1.207963e+01
36	0.02	1.071245e+01
37	0.02	9.500665e+00
38	0.02	8.426453e+00
39	0.02	7.474080e+00
40	0.02	6.629636e+00
41	0.02	5.880820e+00
42	0.03	5.216751e+00
43	0.03	4.627799e+00
44	0.02	4.105434e+00
45	0.03	3.642107e+00
46	0.02	3.231126e+00
47	0.02	2.866564e+00
48	0.02	2.543168e+00
49	0.02	2.256281e+00
50	0.02	2.001777e+00
51	0.02	1.775995e+00
52	0.04	1.575690e+00
53	0.02	1.397985e+00
54	0.02	1.240328e+00
55	0.02	1.100455e+00
56	0.02	9.763603e-01
57	0.02	8.662619e-01
58	0.02	7.685808e-01
59	0.02	6.819161e-01
60	0.02	6.050249e-01
61	0.02	5.368047e-01
62	0.03	4.762776e-01
63	0.02	4.225757e-01
64	0.02	3.749293e-01
65	0.02	3.326555e-01
66	0.02	2.951483e-01
67	0.02	2.618704e-01
68	0.02	2.323446e-01
69	0.02	2.061480e-01
70	0.02	1.829051e-01
71	0.02	1.622829e-01
72	0.04	1.439859e-01
73	0.02	1.277518e-01
74	0.02	1.133481e-01
75	0.02	1.005685e-01
76	0.02	8.922967e-02
77	0.02	7.916932e-02
78	0.02	7.024324e-02
79	0.02	6.232356e-02
80	0.02	5.529680e-02
81	0.02	4.906229e-02
82	0.03	4.353070e-02
83	0.02	3.862278e-02
84	0.02	3.426822e-02
85	0.02	3.040461e-02
86	0.02	2.697661e-02
87	0.02	2.393511e-02
88	0.02	2.123652e-02
89	0.02	1.884219e-02
90	0.02	1.671782e-02
91	0.02	1.483295e-02
92	0.03	1.316060e-02
93	0.02	1.167680e-02
94	0.02	1.036029e-02
95	0.02	9.192212e-03
96	0.02	8.155831e-03
97	0.02	7.236296e-03
98	0.02	6.420436e-03
99	0.02	5.696560e-03
100	0.03	5.054298e-03
101	0.02	4.484449e-03
102	0.03	3.978847e-03
103	0.02	3.530250e-03
104	0.02	3.132231e-03
105	0.03	2.779086e-03
106	0.03	2.465757e-03
107	0.03	2.187754e-03
108	0.02	1.941095e-03
109	0.02	1.722245e-03
110	0.02	1.528070e-03
111	0.02	1.355787e-03
112	0.02	1.202929e-03
113	0.02	1.067304e-03
114	0.02	9.469705e-04
