#EntrezID	Name	Score	Degree
64795	RMND5A	0.098904	1029
4154	MBNL1	0.098894	1587
54778	RNF111	0.098756	820
57532	NUFIP2	0.098711	1231
54665	RSBN1	0.098689	1520
23049	SMG1	0.098677	890
167227	DCP2	0.098636	1379
140890	SREK1	0.098594	1079
23429	RYBP	0.098592	1501
26019	UPF2	0.098566	1048
51024	FIS1	0.098561	920
56929	FEM1C	0.098541	663
7803	PTP4A1	0.098509	1268
200576	PIKFYVE	0.098509	950
10285	SMNDC1	0.098504	1591
8087	FXR1	0.098502	1804
8036	SHOC2	0.098469	1642
22862	FNDC3A	0.098449	1402
5494	PPM1A	0.098447	784
23411	SIRT1	0.098438	1588
25824	PRDX5	0.098428	712
22908	SACM1L	0.098414	1276
11231	SEC63	0.098407	1732
7514	XPO1	0.098403	1899
9877	ZC3H11A	0.098400	1283
9991	PTBP3	0.098378	1107
152006	RNF38	0.098333	1360
26973	CHORDC1	0.098330	979
23369	PUM2	0.098291	2436
113251	LARP4	0.098268	1566
2647	BLOC1S1	0.098258	812
11260	XPOT	0.098250	1753
23200	ATP11B	0.098249	1060
80155	NAA15	0.098243	1006
57472	CNOT6	0.098228	828
4289	MKLN1	0.098201	455
54542	RC3H2	0.098188	1020
3189	HNRNPH3	0.098178	1668
7110	TMF1	0.098175	1473
8650	NUMB	0.098174	1040
9874	TLK1	0.098162	1249
10914	PAPOLA	0.098157	2962
23394	ADNP	0.098135	1871
9646	CTR9	0.098091	1522
9320	TRIP12	0.098089	1383
9559	VPS26A	0.098070	1462
10097	ACTR2	0.098063	1044
23002	DAAM1	0.098019	663
7073	TIAL1	0.098016	850
54726	OTUD4	0.097954	874
57708	MIER1	0.097944	646
64854	USP46	0.097882	1540
3181	HNRNPA2B1	0.097879	1749
1739	DLG1	0.097855	1346
8545	CGGBP1	0.097823	813
3320	HSP90AA1	0.097765	1462
9931	HELZ	0.097764	959
2673	GFPT1	0.097731	1373
5927	KDM5A	0.097728	696
3192	HNRNPU	0.097724	1683
4673	NAP1L1	0.097711	1683
10808	HSPH1	0.097666	1339
51141	INSIG2	0.097650	1030
23760	PITPNB	0.097643	969
2058	EPRS	0.097642	1348
10424	PGRMC2	0.097626	1272
3837	KPNB1	0.097552	1924
57403	RAB22A	0.097540	1438
10087	COL4A3BP	0.097524	293
25940	FAM98A	0.097514	979
79095	C9orf16	0.097498	1152
57142	RTN4	0.097494	887
8539	API5	0.097486	1849
10116	FEM1B	0.097430	228
153222	CREBRF	0.097423	327
84681	HINT2	0.097422	388
10146	G3BP1	0.097414	1663
293	SLC25A6	0.097304	872
128240	NAXE	0.097302	555
6881	TAF10	0.097297	612
64116	SLC39A8	0.097267	481
84919	PPP1R15B	0.097264	403
27125	AFF4	0.097260	655
10228	STX6	0.097259	814
11052	CPSF6	0.097198	1463
6120	RPE	0.097188	1518
80351	TNKS2	0.097163	286
738	VPS51	0.097161	715
64398	MPP5	0.097156	560
57128	LYRM4	0.097125	774
80306	MED28	0.097111	673
51762	RAB8B	0.097103	450
9878	TOX4	0.097075	478
55279	ZNF654	0.097037	275
23603	CORO1C	0.097036	996
79139	DERL1	0.097016	1344
5033	P4HA1	0.096994	727
10884	MRPS30	0.096980	1086
10445	MCRS1	0.096967	591
22824	HSPA4L	0.096945	201
92597	MOB1B	0.096937	386
11316	COPE	0.096937	766
79006	METRN	0.096936	483
7965	AIMP2	0.096919	1778
6526	SLC5A3	0.096882	353
147339	C18orf25	0.096878	810
10400	PEMT	0.096873	392
85465	SELENOI	0.096855	573
9317	PTER	0.096853	543
56647	BCCIP	0.096844	1858
26268	FBXO9	0.096835	766
56987	BBX	0.096814	408
29086	BABAM1	0.096734	803
160760	PPTC7	0.096709	214
6400	SEL1L	0.096707	804
5605	MAP2K2	0.096665	1052
2987	GUK1	0.096664	746
10746	MAP3K2	0.096629	326
5201	PFDN1	0.096616	170
5127	CDK16	0.096614	910
51257	MARCH2	0.096576	167
2879	GPX4	0.096474	630
170463	SSBP4	0.096394	538
57182	ANKRD50	0.096378	478
149041	RC3H1	0.096363	187
56986	DTWD1	0.096339	412
80142	PTGES2	0.096338	525
328	APEX1	0.096306	1534
572	BAD	0.096269	1145
283464	GXYLT1	0.096235	248
10522	DEAF1	0.096221	560
9377	COX5A	0.096215	1455
25906	ANAPC15	0.096214	619
50650	ARHGEF3	0.096206	490
79071	ELOVL6	0.096205	723
64743	WDR13	0.096179	660
28974	C19orf53	0.096176	785
121536	AEBP2	0.096169	365
1351	COX8A	0.096138	1040
7264	TSTA3	0.096138	1261
116150	NUS1	0.096078	426
23039	XPO7	0.096071	677
8704	B4GALT2	0.096030	415
57223	PPP4R3B	0.096011	244
11331	PHB2	0.095985	1525
79590	MRPL24	0.095958	1091
10120	ACTR1B	0.095952	695
25864	ABHD14A	0.095944	949
51693	TRAPPC2L	0.095934	849
6944	VPS72	0.095905	545
8525	DGKZ	0.095871	894
159090	FAM122B	0.095838	628
56904	SH3GLB2	0.095827	612
84817	TXNDC17	0.095822	1004
246175	CNOT6L	0.095818	290
84458	LCOR	0.095811	188
27089	UQCRQ	0.095808	1149
80775	TMEM177	0.095806	393
57570	TRMT5	0.095784	925
221895	JAZF1	0.095713	486
84304	NUDT22	0.095709	606
56954	NIT2	0.095606	938
10460	TACC3	0.095599	1100
7923	HSD17B8	0.095574	378
25896	INTS7	0.095552	618
54681	P4HTM	0.095551	397
8976	WASL	0.095538	322
126792	B3GALT6	0.095513	424
6415	SELENOW	0.095503	523
1808	DPYSL2	0.095502	743
55004	LAMTOR1	0.095487	432
55152	DALRD3	0.095484	453
127253	TYW3	0.095484	446
84275	SLC25A33	0.095482	258
604	BCL6	0.095438	465
54461	FBXW5	0.095404	513
23543	RBFOX2	0.095385	979
5144	PDE4D	0.095314	503
283742	FAM98B	0.095310	283
84993	UBL7	0.095294	189
133746	JMY	0.095287	231
3658	IREB2	0.095283	193
11152	WDR45	0.095250	951
6988	TCTA	0.095249	264
2356	FPGS	0.095239	196
114926	SMIM19	0.095211	430
80055	PGAP1	0.095195	440
92305	TMEM129	0.095177	514
64376	IKZF5	0.095139	172
1468	SLC25A10	0.095129	623
80347	COASY	0.095106	457
636	BICD1	0.095082	610
63941	NECAB3	0.095062	584
56829	ZC3HAV1	0.095034	308
10622	POLR3G	0.095023	343
91404	SESTD1	0.094948	232
2149	F2R	0.094943	343
5878	RAB5C	0.094943	312
27077	B9D1	0.094941	448
23770	FKBP8	0.094907	1047
23210	JMJD6	0.094900	365
9088	PKMYT1	0.094887	549
63905	MANBAL	0.094805	204
818	CAMK2G	0.094793	1088
6624	FSCN1	0.094788	515
84572	GNPTG	0.094786	289
23089	PEG10	0.094749	515
55588	MED29	0.094722	311
64236	PDLIM2	0.094699	461
9069	CLDN12	0.094692	222
115209	OMA1	0.094642	321
347734	SLC35B2	0.094632	321
55257	MRGBP	0.094580	294
8835	SOCS2	0.094544	227
51706	CYB5R1	0.094514	420
79180	EFHD2	0.094469	419
8986	RPS6KA4	0.094460	555
7436	VLDLR	0.094408	490
138162	C9orf116	0.094391	407
80223	RAB11FIP1	0.094361	185
162427	RETREG3	0.094345	356
8303	SNN	0.094313	549
1397	CRIP2	0.094295	573
29882	ANAPC2	0.094284	418
23034	SAMD4A	0.094244	433
144402	CPNE8	0.094244	229
84279	PRADC1	0.094241	231
80014	WWC2	0.094235	303
1869	E2F1	0.094213	904
28988	DBNL	0.094212	285
8476	CDC42BPA	0.094161	358
55787	TXLNG	0.094136	216
23761	PISD	0.094089	327
51162	EGFL7	0.094084	350
92	ACVR2A	0.094077	312
1774	DNASE1L1	0.094077	181
29801	ZDHHC8	0.094053	301
55652	SLC48A1	0.094045	199
83444	INO80B	0.094030	240
1465	CSRP1	0.094030	486
10999	SLC27A4	0.094011	265
64282	PAPD5	0.094004	109
9905	SGSM2	0.093970	807
1827	RCAN1	0.093900	257
688	KLF5	0.093890	467
90990	KIFC2	0.093883	365
22847	ZNF507	0.093875	584
54587	MXRA8	0.093855	739
65263	PYCR3	0.093851	103
2954	GSTZ1	0.093839	207
7077	TIMP2	0.093791	787
63826	SRR	0.093780	309
50649	ARHGEF4	0.093777	1230
115708	TRMT61A	0.093776	479
