#Iter	Time	Change
0	0.03	1.389507e+04
1	0.02	2.116284e+03
2	0.02	1.149691e+03
3	0.02	8.440685e+02
4	0.03	6.910255e+02
5	0.03	5.768745e+02
6	0.02	4.872708e+02
7	0.02	4.139256e+02
8	0.02	3.533050e+02
9	0.02	3.027032e+02
10	0.02	2.602023e+02
11	0.02	2.243069e+02
12	0.02	1.938488e+02
13	0.02	1.678974e+02
14	0.02	1.457046e+02
15	0.02	1.266637e+02
16	0.02	1.102791e+02
17	0.02	9.614324e+01
18	0.02	8.391886e+01
19	0.03	7.332535e+01
20	0.02	6.412803e+01
21	0.02	5.612966e+01
22	0.02	4.916375e+01
23	0.02	4.308912e+01
24	0.03	3.778566e+01
25	0.02	3.315077e+01
26	0.02	2.909657e+01
27	0.02	2.554750e+01
28	0.02	2.243850e+01
29	0.02	1.971335e+01
30	0.02	1.732338e+01
31	0.02	1.522641e+01
32	0.03	1.338576e+01
33	0.02	1.176952e+01
34	0.02	1.034990e+01
35	0.02	9.102635e+00
36	0.02	8.006540e+00
37	0.02	7.043094e+00
38	0.02	6.196091e+00
39	0.02	5.451339e+00
40	0.03	4.796405e+00
41	0.02	4.220386e+00
42	0.02	3.713721e+00
43	0.02	3.268020e+00
44	0.02	2.875914e+00
45	0.02	2.530935e+00
46	0.02	2.227400e+00
47	0.02	1.960317e+00
48	0.02	1.725297e+00
49	0.02	1.518481e+00
50	0.02	1.336480e+00
51	0.02	1.176310e+00
52	0.02	1.035349e+00
53	0.02	9.112906e-01
54	0.02	8.021054e-01
55	0.05	7.060085e-01
56	0.03	6.214296e-01
57	0.03	5.469871e-01
58	0.02	4.814654e-01
59	0.03	4.237948e-01
60	0.02	3.730341e-01
61	0.02	3.283549e-01
62	0.03	2.890282e-01
63	0.03	2.544127e-01
64	0.02	2.239438e-01
65	0.02	1.971245e-01
66	0.02	1.735177e-01
67	0.02	1.527383e-01
68	0.02	1.344477e-01
69	0.02	1.183478e-01
70	0.03	1.041760e-01
71	0.03	9.170151e-02
72	0.03	8.072092e-02
73	0.02	7.105533e-02
74	0.03	6.254723e-02
75	0.04	5.505799e-02
76	0.02	4.846559e-02
77	0.04	4.266261e-02
78	0.02	3.755451e-02
79	0.02	3.305807e-02
80	0.02	2.910005e-02
81	0.02	2.561596e-02
82	0.02	2.254905e-02
83	0.02	1.984937e-02
84	0.02	1.747293e-02
85	0.02	1.538103e-02
86	0.02	1.353960e-02
87	0.02	1.191865e-02
88	0.02	1.049177e-02
89	0.02	9.235728e-03
90	0.02	8.130069e-03
91	0.03	7.156785e-03
92	0.02	6.300026e-03
93	0.02	5.545841e-03
94	0.02	4.881947e-03
95	0.02	4.297535e-03
96	0.02	3.783087e-03
97	0.02	3.330228e-03
98	0.02	2.931583e-03
99	0.02	2.580662e-03
100	0.02	2.271750e-03
101	0.02	1.999819e-03
102	0.02	1.760441e-03
103	0.02	1.549719e-03
104	0.02	1.364222e-03
105	0.03	1.200930e-03
106	0.02	1.057185e-03
107	0.02	9.306464e-04
