#EntrezID	Name	Score	Degree
5605	MAP2K2	0.166667	1052
50509	COL5A3	0.166667	171
8976	WASL	0.166667	322
200576	PIKFYVE	0.166667	950
64398	MPP5	0.166667	560
2066	ERBB4	0.166667	1450
6404	SELPLG	0.166667	251
27	ABL2	0.166667	278
4636	MYL5	0.166667	212
85464	SSH2	0.166667	169
3084	NRG1	0.166667	997
2149	F2R	0.166667	343
1284	COL4A2	0.107601	914
5594	MAPK1	0.107328	1327
9475	ROCK2	0.107236	1063
4154	MBNL1	0.107200	1587
9991	PTBP3	0.107199	1107
5908	RAP1B	0.107158	1114
7082	TJP1	0.107119	847
56929	FEM1C	0.107021	663
5290	PIK3CA	0.106887	1436
3915	LAMC1	0.106883	1622
64795	RMND5A	0.106882	1029
4478	MSN	0.106868	608
7431	VIM	0.106852	628
390	RND3	0.106840	659
4659	PPP1R12A	0.106760	2012
5584	PRKCI	0.106680	795
5747	PTK2	0.106642	1321
3688	ITGB1	0.106642	564
8036	SHOC2	0.106637	1642
1289	COL5A1	0.106596	600
10787	NCKAP1	0.106593	911
394	ARHGAP5	0.106555	1656
54726	OTUD4	0.106550	874
3678	ITGA5	0.106543	608
23429	RYBP	0.106500	1501
7057	THBS1	0.106479	778
54665	RSBN1	0.106471	1520
1282	COL4A1	0.106469	642
51762	RAB8B	0.106452	450
858	CAV2	0.106417	621
1739	DLG1	0.106412	1346
5154	PDGFA	0.106406	579
22800	RRAS2	0.106403	1022
3912	LAMB1	0.106385	612
6416	MAP2K4	0.106363	1358
3655	ITGA6	0.106333	673
10000	AKT3	0.106316	1404
23543	RBFOX2	0.106312	979
6464	SHC1	0.106303	363
23002	DAAM1	0.106256	663
54778	RNF111	0.106245	820
23411	SIRT1	0.106236	1588
11231	SEC63	0.106223	1732
54542	RC3H2	0.106222	1020
2673	GFPT1	0.106207	1373
9877	ZC3H11A	0.106187	1283
2335	FN1	0.106145	484
214	ALCAM	0.106123	976
6655	SOS2	0.106091	909
5728	PTEN	0.106091	946
87	ACTN1	0.106087	793
396	ARHGDIA	0.106041	1387
56034	PDGFC	0.106019	1096
8826	IQGAP1	0.106013	1234
5906	RAP1A	0.106002	828
57708	MIER1	0.105989	646
4233	MET	0.105981	804
57403	RAB22A	0.105962	1438
5604	MAP2K1	0.105936	1091
3685	ITGAV	0.105933	1039
23200	ATP11B	0.105914	1060
6624	FSCN1	0.105905	515
22862	FNDC3A	0.105900	1402
6093	ROCK1	0.105892	1345
7514	XPO1	0.105886	1899
64854	USP46	0.105841	1540
10914	PAPOLA	0.105839	2962
26019	UPF2	0.105835	1048
5494	PPM1A	0.105826	784
27125	AFF4	0.105818	655
8650	NUMB	0.105813	1040
9559	VPS26A	0.105808	1462
7110	TMF1	0.105802	1473
5033	P4HA1	0.105796	727
51141	INSIG2	0.105788	1030
4015	LOX	0.105776	330
2534	FYN	0.105736	705
1398	CRK	0.105734	331
152006	RNF38	0.105728	1360
3371	TNC	0.105704	352
57142	RTN4	0.105656	887
823	CAPN1	0.105637	791
5921	RASA1	0.105633	1627
1027	CDKN1B	0.105632	1172
5500	PPP1CB	0.105626	1316
1495	CTNNA1	0.105616	1148
7803	PTP4A1	0.105614	1268
8874	ARHGEF7	0.105609	851
3673	ITGA2	0.105578	457
868	CBLB	0.105568	708
8573	CASK	0.105553	928
5062	PAK2	0.105522	1377
6654	SOS1	0.105522	798
965	CD58	0.105514	1093
5295	PIK3R1	0.105485	747
3725	JUN	0.105473	672
4289	MKLN1	0.105471	455
4313	MMP2	0.105461	710
79095	C9orf16	0.105451	1152
6237	RRAS	0.105445	396
57532	NUFIP2	0.105444	1231
5518	PPP2R1A	0.105442	792
1000	CDH2	0.105423	1003
5927	KDM5A	0.105411	696
23049	SMG1	0.105389	890
6400	SEL1L	0.105357	804
1793	DOCK1	0.105342	474
60	ACTB	0.105338	350
2885	GRB2	0.105327	524
5601	MAPK9	0.105313	1939
324	APC	0.105307	1124
8545	CGGBP1	0.105297	813
8777	MPDZ	0.105295	559
55740	ENAH	0.105294	880
4690	NCK1	0.105274	1922
5127	CDK16	0.105264	910
867	CBL	0.105261	300
1399	CRKL	0.105258	773
23369	PUM2	0.105218	2436
3480	IGF1R	0.105215	1272
3105	HLA-A	0.105211	495
25945	NECTIN3	0.105197	333
7040	TGFB1	0.105181	1042
10552	ARPC1A	0.105147	1059
4267	CD99	0.105141	612
10097	ACTR2	0.105134	1044
5578	PRKCA	0.105133	717
998	CDC42	0.105133	535
10424	PGRMC2	0.105128	1272
147339	C18orf25	0.105106	810
3611	ILK	0.105102	774
3320	HSP90AA1	0.105101	1462
636	BICD1	0.105086	610
3693	ITGB5	0.105083	723
4673	NAP1L1	0.105082	1683
9931	HELZ	0.105077	959
3181	HNRNPA2B1	0.105069	1749
7422	VEGFA	0.105066	825
10096	ACTR3	0.105060	1720
387	RHOA	0.105059	728
9874	TLK1	0.105042	1249
5329	PLAUR	0.105041	732
23191	CYFIP1	0.105033	647
140890	SREK1	0.105021	1079
167227	DCP2	0.105018	1379
7074	TIAM1	0.105010	707
10092	ARPC5	0.104989	1173
5829	PXN	0.104978	804
2247	FGF2	0.104971	437
6840	SVIL	0.104968	631
80155	NAA15	0.104966	1006
2734	GLG1	0.104963	879
5217	PFN2	0.104962	810
6198	RPS6KB1	0.104939	1382
8087	FXR1	0.104937	1804
9320	TRIP12	0.104929	1383
