#Iter	Time	Change
0	0.03	1.359848e+04
1	0.02	1.876268e+03
2	0.02	9.352451e+02
3	0.02	6.549172e+02
4	0.02	5.228070e+02
5	0.02	4.276407e+02
6	0.02	3.548164e+02
7	0.02	2.964165e+02
8	0.02	2.490508e+02
9	0.02	2.102009e+02
10	0.02	1.781074e+02
11	0.03	1.514243e+02
12	0.03	1.291193e+02
13	0.02	1.103841e+02
14	0.02	9.458041e+01
15	0.02	8.119901e+01
16	0.02	6.983063e+01
17	0.02	6.014374e+01
18	0.02	5.186799e+01
19	0.02	4.478146e+01
20	0.02	3.870096e+01
21	0.02	3.347439e+01
22	0.02	2.897486e+01
23	0.02	2.509599e+01
24	0.02	2.174823e+01
25	0.02	1.885592e+01
26	0.02	1.635487e+01
27	0.02	1.419050e+01
28	0.02	1.231624e+01
29	0.02	1.069229e+01
30	0.02	9.284523e+00
31	0.02	8.063636e+00
32	0.02	7.004436e+00
33	0.02	6.085220e+00
34	0.02	5.287273e+00
35	0.02	4.594435e+00
36	0.02	3.992739e+00
37	0.02	3.470107e+00
38	0.02	3.016081e+00
39	0.02	2.621607e+00
40	0.02	2.278836e+00
41	0.03	1.980963e+00
42	0.03	1.722086e+00
43	0.03	1.497086e+00
44	0.02	1.301517e+00
45	0.02	1.131521e+00
46	0.02	9.837475e-01
47	0.03	8.552869e-01
48	0.02	7.436115e-01
49	0.02	6.465254e-01
50	0.02	5.621207e-01
51	0.03	4.887395e-01
52	0.02	4.249410e-01
53	0.03	3.694729e-01
54	0.03	3.212470e-01
55	0.02	2.793171e-01
56	0.02	2.428610e-01
57	0.02	2.111639e-01
58	0.03	1.836043e-01
59	0.03	1.596420e-01
60	0.03	1.388073e-01
61	0.03	1.206920e-01
62	0.02	1.049410e-01
63	0.02	9.124573e-02
64	0.02	7.933786e-02
65	0.02	6.898408e-02
66	0.02	5.998154e-02
67	0.02	5.215389e-02
68	0.02	4.534779e-02
69	0.02	3.942991e-02
70	0.02	3.428432e-02
71	0.02	2.981025e-02
72	0.03	2.592005e-02
73	0.02	2.253752e-02
74	0.03	1.959641e-02
75	0.03	1.703912e-02
76	0.02	1.481555e-02
77	0.02	1.288215e-02
78	0.02	1.120106e-02
79	0.02	9.739351e-03
80	0.02	8.468390e-03
81	0.02	7.363288e-03
82	0.02	6.402399e-03
83	0.02	5.566904e-03
84	0.02	4.840439e-03
85	0.02	4.208776e-03
86	0.02	3.659543e-03
87	0.03	3.181983e-03
88	0.02	2.766744e-03
89	0.03	2.405693e-03
90	0.02	2.091757e-03
91	0.02	1.818789e-03
92	0.03	1.581443e-03
93	0.02	1.375070e-03
94	0.02	1.195627e-03
95	0.02	1.039602e-03
96	0.02	9.039371e-04
