#DiseaseAUCs	BiologicalProcessAUCs
0.592374	0.769148
0.599590	0.760390
0.607675	0.795340
0.607305	0.792884
0.584240	0.793762
0.613830	0.819060
0.620679	0.786472
0.623843	0.790180
0.600006	0.786486
0.660017	0.778683
0.621891	0.804391
0.603155	0.797608
0.610824	0.772656
0.603213	0.780894
0.616777	0.814221
0.627388	0.777476
0.593288	0.816930
0.598785	0.809594
0.588930	0.807716
0.633011	0.797508
0.602011	0.811927
0.625248	0.778332
0.602387	0.781736
0.644553	0.800362
0.632089	0.765879
0.598967	0.775488
0.626886	0.808164
0.638915	0.798319
0.593952	0.776434
0.601624	0.773898
0.643253	0.819149
0.600205	0.774727
0.618575	0.786236
0.630084	0.779390
0.599434	0.821758
0.621967	0.776666
0.617729	0.807967
0.652810	0.781185
0.621879	0.777002
0.613146	0.799290
0.666326	0.758130
0.584396	0.793617
0.599113	0.775915
0.647952	0.790183
0.595821	0.822112
0.595652	0.812389
0.586962	0.818205
0.618783	0.754108
0.639388	0.782335
0.581168	0.821775
