#DiseaseAUCs	BiologicalProcessAUCs
0.630543	0.754156
0.594102	0.780824
0.593141	0.761720
0.589517	0.742138
0.571212	0.721302
0.608786	0.765296
0.569404	0.760179
0.576705	0.712627
0.603680	0.742400
0.592318	0.726836
0.593880	0.732611
0.614204	0.748058
0.574277	0.715854
0.575344	0.760621
0.599608	0.738286
0.585510	0.759396
0.606789	0.791472
0.540850	0.771667
0.567713	0.736815
0.574471	0.756058
0.578701	0.726854
0.624448	0.776539
0.599742	0.744183
0.568275	0.684461
0.550292	0.716709
0.586127	0.753115
0.601899	0.722453
0.590071	0.750995
0.611473	0.780436
0.603322	0.701870
0.612537	0.734769
0.575517	0.747508
0.511054	0.711672
0.619002	0.762710
0.578449	0.727151
0.598475	0.748783
0.548746	0.722225
0.598928	0.786818
0.584074	0.789091
0.563195	0.707177
0.613802	0.766503
0.598778	0.718291
0.565160	0.739281
0.582714	0.763097
0.546078	0.749948
0.580502	0.779655
0.557598	0.690317
0.536412	0.693308
0.610731	0.722832
0.561964	0.743623
