#DiseaseAUCs	BiologicalProcessAUCs
0.567595	0.741422
0.579286	0.751307
0.567582	0.767346
0.577463	0.769250
0.558396	0.760477
0.616488	0.746706
0.585726	0.737829
0.597853	0.769251
0.610634	0.743081
0.557102	0.746925
0.624868	0.735596
0.551072	0.715870
0.607380	0.736924
0.586983	0.755963
0.605205	0.764827
0.561481	0.727524
0.605815	0.778633
0.594826	0.737971
0.622596	0.711884
0.608496	0.749861
0.599327	0.774881
0.603688	0.738699
0.620907	0.753218
0.597914	0.732467
0.556591	0.769245
0.613879	0.791157
0.565070	0.764142
0.576427	0.757933
0.553802	0.723284
0.557746	0.778621
0.608902	0.779342
0.604632	0.744672
0.575432	0.701417
0.587435	0.733266
0.552431	0.768800
0.565162	0.777637
0.582833	0.744584
0.586314	0.731898
0.591836	0.728723
0.593973	0.750984
0.598582	0.744508
0.553125	0.743693
0.560401	0.716808
0.568072	0.755975
0.563121	0.714921
0.574333	0.731219
0.550911	0.774428
0.533099	0.768897
0.580367	0.717353
0.591540	0.747179
