#DiseaseAUCs	BiologicalProcessAUCs
0.850288	0.893992
0.808708	0.920408
0.796646	0.919926
0.790523	0.915149
0.798697	0.912466
0.842719	0.911580
0.834930	0.889409
0.816409	0.895516
0.815184	0.876948
0.828447	0.887868
0.816045	0.892941
0.846085	0.892664
0.843308	0.919878
0.849456	0.916518
0.821568	0.884703
0.809484	0.909606
0.846148	0.908733
0.877274	0.914514
0.820748	0.887809
0.778759	0.932110
0.828499	0.915042
0.800998	0.888555
0.822967	0.917355
0.807665	0.903140
0.799301	0.917102
0.840280	0.896137
0.826834	0.916309
0.808959	0.896360
0.822468	0.914517
0.788696	0.882554
0.798733	0.905706
0.858323	0.895946
0.844209	0.870438
0.837649	0.905385
0.780028	0.847459
0.777440	0.919333
0.818498	0.919206
0.794292	0.863124
0.801696	0.928455
0.808001	0.921665
0.792418	0.904576
0.855845	0.860091
0.822803	0.892297
0.832110	0.912431
0.818483	0.921229
0.792357	0.872811
0.767055	0.901586
0.778404	0.900549
0.879896	0.918386
0.831896	0.902062
