#DiseaseAUCs	BiologicalProcessAUCs
0.845947	0.918987
0.801131	0.870664
0.840375	0.884929
0.852919	0.884262
0.818596	0.905231
0.828894	0.847257
0.794095	0.858679
0.828163	0.907083
0.830942	0.855011
0.801887	0.872519
0.789124	0.892167
0.827487	0.891688
0.807328	0.896455
0.822809	0.877401
0.829238	0.902658
0.800767	0.907149
0.829452	0.911914
0.823059	0.867524
0.805046	0.862617
0.786249	0.895548
0.790650	0.896274
0.742181	0.925044
0.812533	0.913690
0.821367	0.890385
0.781260	0.889977
0.809461	0.907751
0.829780	0.856607
0.796907	0.891413
0.848813	0.881857
0.764325	0.905578
0.815335	0.865693
0.808380	0.876374
0.811284	0.912266
0.832830	0.845198
0.831053	0.893786
0.806264	0.878333
0.824506	0.885592
0.766766	0.902280
0.845966	0.887841
0.799140	0.901176
0.809377	0.899670
0.837987	0.886418
0.812523	0.883937
0.834981	0.902816
0.836952	0.904693
0.804989	0.906061
0.814162	0.883711
0.812063	0.903787
0.820505	0.870196
0.811149	0.900711
