#DiseaseAUCs	BiologicalProcessAUCs
0.854933	0.913331
0.836725	0.906101
0.832407	0.879590
0.854692	0.912968
0.814791	0.896404
0.822236	0.871392
0.842853	0.884894
0.840757	0.913644
0.841445	0.898621
0.851137	0.902678
0.821727	0.910021
0.837246	0.895520
0.829020	0.912106
0.817002	0.910212
0.826093	0.909736
0.828901	0.898313
0.843447	0.900062
0.827335	0.907754
0.829245	0.891243
0.853733	0.923841
0.867340	0.922353
0.840063	0.883003
0.836003	0.905450
0.845504	0.902515
0.855225	0.899411
0.833044	0.910185
0.846502	0.876184
0.866942	0.891114
0.834684	0.901229
0.841894	0.918924
0.843602	0.899806
0.813788	0.897653
0.807119	0.923035
0.853452	0.888696
0.847635	0.909370
0.854846	0.886407
0.849973	0.910482
0.816164	0.897668
0.846086	0.905425
0.836770	0.888930
0.841162	0.893040
0.824377	0.897516
0.832876	0.891389
0.841610	0.911786
0.845450	0.891124
0.829565	0.903278
0.813923	0.903232
0.815713	0.915761
0.833099	0.917470
0.817010	0.912311
