#DiseaseAUCs	BiologicalProcessAUCs
0.525776	0.633556
0.525146	0.588319
0.481125	0.641353
0.513701	0.645856
0.544555	0.641725
0.525031	0.676454
0.530981	0.631034
0.586437	0.674073
0.582004	0.616532
0.526285	0.701620
0.544631	0.622526
0.482462	0.715830
0.509103	0.710082
0.469046	0.672525
0.520323	0.691473
0.508490	0.647395
0.555461	0.688042
0.610471	0.593144
0.485179	0.661222
0.462561	0.590162
0.482445	0.649395
0.501189	0.664938
0.487778	0.696021
0.595365	0.643380
0.572887	0.613052
0.512715	0.615636
0.565514	0.656303
0.562529	0.659508
0.544940	0.681394
0.555755	0.667933
0.499657	0.679140
0.548281	0.653869
0.581918	0.665102
0.549687	0.645023
0.520058	0.623002
0.537496	0.667346
0.475692	0.668278
0.472659	0.693430
0.558914	0.727108
0.530040	0.652783
0.564441	0.716806
0.592600	0.680878
0.533561	0.688621
0.495468	0.599851
0.492104	0.706172
0.471640	0.681291
0.539778	0.664506
0.535315	0.659791
0.557517	0.757742
0.532336	0.691105
