#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.565026	0.682752	0.741161
0.579096	0.684700	0.772441
0.602650	0.714112	0.777670
0.596805	0.679775	0.735938
0.625136	0.734148	0.754959
0.632408	0.659423	0.759012
0.568439	0.643590	0.789514
0.610722	0.699513	0.735943
0.596425	0.704226	0.740585
0.601184	0.690997	0.760730
0.637871	0.666927	0.770426
0.583066	0.698626	0.776045
0.604739	0.694142	0.725770
0.648921	0.679098	0.775337
0.603809	0.661855	0.759352
0.594425	0.695480	0.794417
0.634713	0.707093	0.758355
0.576699	0.708414	0.733130
0.595386	0.674605	0.773978
0.630090	0.730125	0.750353
0.632354	0.698686	0.740961
0.644463	0.684291	0.710860
0.593369	0.663375	0.752730
0.627237	0.705025	0.780505
0.576544	0.733228	0.755283
0.598175	0.701513	0.767962
0.587106	0.669955	0.751006
0.613903	0.711036	0.732325
0.600733	0.697545	0.765221
0.626212	0.700298	0.760968
0.564226	0.704002	0.752871
0.615325	0.690906	0.735100
0.639240	0.689867	0.781179
0.585350	0.720476	0.752906
0.632439	0.671078	0.746564
0.631223	0.686456	0.759693
0.629416	0.721365	0.763351
0.576753	0.691947	0.737288
0.586232	0.683027	0.729304
0.587137	0.703088	0.778842
0.608023	0.703509	0.767713
0.599554	0.690449	0.764208
0.622992	0.709247	0.745188
0.637758	0.658255	0.765914
0.612278	0.713668	0.762930
0.604249	0.686887	0.739079
0.585114	0.690339	0.773456
0.570274	0.705059	0.767047
0.606089	0.691206	0.721475
0.577422	0.697279	0.731374
