#Iter	Time	Change
0	0.01	4.037513e+02
1	0.01	3.488046e+02
2	0.04	3.360593e+02
3	0.01	3.220744e+02
4	0.01	3.082636e+02
5	0.01	2.947167e+02
6	0.01	2.818007e+02
7	0.01	2.694259e+02
8	0.01	2.576650e+02
9	0.01	2.464228e+02
10	0.01	2.357392e+02
11	0.01	2.255250e+02
12	0.01	2.158117e+02
13	0.01	2.065154e+02
14	0.01	1.976647e+02
15	0.01	1.891863e+02
16	0.01	1.811122e+02
17	0.01	1.733742e+02
18	0.01	1.660020e+02
19	0.01	1.589320e+02
20	0.01	1.521932e+02
21	0.01	1.457277e+02
22	0.02	1.395638e+02
23	0.02	1.336477e+02
24	0.01	1.280065e+02
25	0.01	1.225907e+02
26	0.01	1.174255e+02
27	0.01	1.124655e+02
28	0.01	1.077343e+02
29	0.01	1.031903e+02
30	0.01	9.885512e+01
31	0.01	9.469082e+01
32	0.01	9.071744e+01
33	0.01	8.690013e+01
34	0.01	8.325739e+01
35	0.01	7.975735e+01
36	0.01	7.641701e+01
37	0.01	7.320722e+01
38	0.01	7.014359e+01
39	0.01	6.719945e+01
40	0.01	6.438914e+01
41	0.01	6.168825e+01
42	0.01	5.910994e+01
43	0.01	5.663188e+01
44	0.01	5.426611e+01
45	0.01	5.199222e+01
46	0.01	4.982123e+01
47	0.01	4.773448e+01
48	0.01	4.574205e+01
49	0.01	4.382687e+01
50	0.01	4.199815e+01
51	0.01	4.024029e+01
52	0.01	3.856172e+01
53	0.03	3.694815e+01
54	0.01	3.540730e+01
55	0.01	3.392609e+01
56	0.01	3.251158e+01
57	0.01	3.115181e+01
58	0.02	2.985322e+01
59	0.01	2.860486e+01
60	0.01	2.741264e+01
61	0.01	2.626654e+01
62	0.01	2.517193e+01
63	0.01	2.411966e+01
64	0.01	2.311465e+01
65	0.01	2.214851e+01
66	0.01	2.122573e+01
67	0.01	2.033864e+01
68	0.01	1.949135e+01
69	0.01	1.867683e+01
70	0.01	1.789883e+01
71	0.01	1.715092e+01
72	0.01	1.643654e+01
73	0.01	1.574979e+01
74	0.01	1.509381e+01
75	0.01	1.446320e+01
76	0.01	1.386084e+01
77	0.01	1.328178e+01
78	0.01	1.272865e+01
79	0.01	1.219692e+01
80	0.01	1.168899e+01
81	0.01	1.120071e+01
82	0.01	1.073428e+01
83	0.01	1.028591e+01
84	0.01	9.857588e+00
85	0.01	9.445851e+00
86	0.01	9.052521e+00
87	0.01	8.674424e+00
88	0.01	8.313225e+00
89	0.01	7.966018e+00
90	0.01	7.634323e+00
91	0.01	7.315480e+00
92	0.02	7.010878e+00
93	0.02	6.718082e+00
94	0.01	6.438358e+00
95	0.01	6.169479e+00
96	0.01	5.912601e+00
97	0.01	5.665684e+00
98	0.01	5.429785e+00
99	0.01	5.203036e+00
100	0.01	4.986403e+00
101	0.01	4.778174e+00
102	0.01	4.579232e+00
103	0.01	4.388010e+00
104	0.01	4.205314e+00
105	0.01	4.029709e+00
106	0.01	3.861932e+00
107	0.01	3.700669e+00
108	0.01	3.546592e+00
109	0.01	3.398500e+00
110	0.01	3.257004e+00
111	0.01	3.121006e+00
112	0.01	2.991065e+00
113	0.01	2.866173e+00
114	0.01	2.746842e+00
115	0.01	2.632149e+00
116	0.01	2.522562e+00
117	0.01	2.417235e+00
118	0.01	2.316596e+00
119	0.01	2.219870e+00
120	0.01	2.127449e+00
121	0.01	2.038622e+00
122	0.01	1.953746e+00
123	0.01	1.872173e+00
124	0.01	1.794228e+00
125	0.01	1.719316e+00
126	0.01	1.647735e+00
127	0.01	1.578940e+00
128	0.01	1.513203e+00
129	0.01	1.450026e+00
130	0.01	1.389657e+00
131	0.01	1.331638e+00
132	0.01	1.276198e+00
133	0.01	1.222917e+00
134	0.01	1.172003e+00
135	0.01	1.123073e+00
136	0.01	1.076316e+00
137	0.01	1.031381e+00
138	0.01	9.884419e-01
139	0.01	9.471764e-01
140	0.01	9.077426e-01
141	0.01	8.698466e-01
142	0.01	8.336323e-01
143	0.01	7.988307e-01
144	0.01	7.655731e-01
145	0.01	7.336131e-01
146	0.01	7.030707e-01
147	0.01	6.737203e-01
148	0.01	6.456716e-01
149	0.01	6.187177e-01
150	0.01	5.929589e-01
151	0.01	5.682058e-01
152	0.01	5.445500e-01
153	0.01	5.218180e-01
154	0.01	5.000935e-01
155	0.01	4.792175e-01
156	0.01	4.592666e-01
157	0.01	4.400952e-01
158	0.01	4.217731e-01
159	0.01	4.041670e-01
160	0.01	3.873407e-01
161	0.01	3.711722e-01
162	0.01	3.557195e-01
163	0.02	3.408711e-01
164	0.01	3.266800e-01
165	0.01	3.130439e-01
166	0.01	3.000114e-01
167	0.01	2.874886e-01
168	0.01	2.755200e-01
169	0.01	2.640197e-01
170	0.01	2.530282e-01
171	0.01	2.424668e-01
172	0.01	2.323727e-01
173	0.02	2.226736e-01
174	0.01	2.134034e-01
175	0.01	2.044962e-01
176	0.01	1.959829e-01
177	0.01	1.878029e-01
178	0.01	1.799845e-01
179	0.01	1.724724e-01
180	0.01	1.652922e-01
181	0.01	1.583934e-01
182	0.01	1.517994e-01
183	0.01	1.454639e-01
184	0.01	1.394082e-01
185	0.01	1.335898e-01
186	0.01	1.280285e-01
187	0.01	1.226852e-01
188	0.01	1.175778e-01
189	0.01	1.126707e-01
190	0.01	1.079803e-01
191	0.01	1.034738e-01
192	0.01	9.916629e-02
193	0.01	9.502772e-02
194	0.01	9.107180e-02
195	0.01	8.727110e-02
196	0.01	8.363811e-02
197	0.01	8.014769e-02
198	0.01	7.681126e-02
199	0.01	7.360579e-02
200	0.01	7.054171e-02
201	0.01	6.759793e-02
202	0.01	6.478396e-02
203	0.01	6.208050e-02
204	0.01	5.949623e-02
205	0.01	5.701346e-02
206	0.01	5.464014e-02
207	0.01	5.236005e-02
208	0.01	5.018046e-02
209	0.01	4.808651e-02
210	0.01	4.608482e-02
211	0.01	4.416180e-02
212	0.01	4.232351e-02
213	0.01	4.055747e-02
214	0.01	3.886923e-02
215	0.01	3.724735e-02
216	0.01	3.569691e-02
217	0.01	3.420743e-02
218	0.01	3.278354e-02
219	0.01	3.141565e-02
220	0.01	3.010797e-02
221	0.01	2.885174e-02
222	0.01	2.765080e-02
223	0.01	2.649712e-02
224	0.01	2.539420e-02
225	0.01	2.433469e-02
226	0.01	2.332179e-02
227	0.01	2.234876e-02
228	0.01	2.141854e-02
229	0.01	2.052493e-02
230	0.01	1.967063e-02
231	0.01	1.884996e-02
232	0.01	1.806539e-02
233	0.01	1.731171e-02
234	0.01	1.659117e-02
235	0.01	1.589901e-02
236	0.01	1.523727e-02
237	0.01	1.460161e-02
238	0.01	1.399388e-02
239	0.01	1.341010e-02
240	0.01	1.285197e-02
241	0.01	1.231583e-02
242	0.01	1.180326e-02
243	0.01	1.131088e-02
244	0.01	1.084014e-02
245	0.01	1.038795e-02
246	0.01	9.955620e-03
247	0.01	9.540338e-03
248	0.01	9.143292e-03
249	0.01	8.761904e-03
250	0.01	8.397260e-03
251	0.01	8.046998e-03
252	0.01	7.712112e-03
253	0.01	7.390437e-03
254	0.01	7.082880e-03
255	0.01	6.787457e-03
256	0.01	6.504998e-03
257	0.01	6.233685e-03
258	0.01	5.974276e-03
259	0.01	5.725105e-03
260	0.01	5.486864e-03
261	0.01	5.258027e-03
262	0.01	5.039227e-03
263	0.01	4.829065e-03
264	0.01	4.628119e-03
265	0.01	4.435108e-03
266	0.01	4.250559e-03
267	0.01	4.073298e-03
268	0.01	3.903808e-03
269	0.01	3.741012e-03
270	0.01	3.585351e-03
271	0.01	3.435840e-03
272	0.01	3.292881e-03
273	0.01	3.155570e-03
274	0.01	3.024275e-03
275	0.01	2.898168e-03
276	0.01	2.777586e-03
277	0.01	2.661769e-03
278	0.01	2.551025e-03
279	0.01	2.444658e-03
280	0.01	2.342950e-03
281	0.01	2.245262e-03
282	0.01	2.151852e-03
283	0.01	2.062135e-03
284	0.01	1.976345e-03
285	0.01	1.893948e-03
286	0.01	1.815157e-03
287	0.01	1.739483e-03
288	0.01	1.667121e-03
289	0.01	1.597620e-03
290	0.01	1.531161e-03
291	0.01	1.467331e-03
292	0.01	1.406294e-03
293	0.01	1.347671e-03
294	0.01	1.291613e-03
295	0.01	1.237773e-03
296	0.01	1.186287e-03
297	0.01	1.136840e-03
298	0.01	1.089554e-03
299	0.01	1.044140e-03
300	0.01	1.000712e-03
301	0.01	9.590026e-04
