#Iter	Time	Change
0	0.01	4.256195e+02
1	0.01	2.476852e+02
2	0.01	2.149765e+02
3	0.01	1.881795e+02
4	0.01	1.644690e+02
5	0.01	1.438210e+02
6	0.01	1.258510e+02
7	0.01	1.102976e+02
8	0.01	9.679515e+01
9	0.01	8.507860e+01
10	0.01	7.488768e+01
11	0.01	6.600951e+01
12	0.01	5.826365e+01
13	0.01	5.148921e+01
14	0.01	4.555922e+01
15	0.01	4.035442e+01
16	0.01	3.578378e+01
17	0.01	3.175929e+01
18	0.01	2.821462e+01
19	0.01	2.508475e+01
20	0.01	2.232061e+01
21	0.01	1.987395e+01
22	0.01	1.770806e+01
23	0.01	1.578687e+01
24	0.01	1.408262e+01
25	0.01	1.256817e+01
26	0.01	1.122232e+01
27	0.01	1.002451e+01
28	0.01	8.958424e+00
29	0.01	8.008349e+00
30	0.01	7.161666e+00
31	0.01	6.406276e+00
32	0.01	5.732355e+00
33	0.01	5.130533e+00
34	0.01	4.593125e+00
35	0.01	4.112830e+00
36	0.01	3.683611e+00
37	0.01	3.299750e+00
38	0.01	2.956488e+00
39	0.01	2.649326e+00
40	0.01	2.374503e+00
41	0.01	2.128463e+00
42	0.01	1.908227e+00
43	0.01	1.710976e+00
44	0.01	1.534345e+00
45	0.01	1.376090e+00
46	0.01	1.234333e+00
47	0.01	1.107285e+00
48	0.01	9.934497e-01
49	0.01	8.913977e-01
50	0.01	7.999373e-01
51	0.01	7.179236e-01
52	0.02	6.444066e-01
53	0.01	5.784675e-01
54	0.01	5.193490e-01
55	0.01	4.663127e-01
56	0.01	4.187544e-01
57	0.01	3.760800e-01
58	0.02	3.378075e-01
59	0.01	3.034582e-01
60	0.01	2.726475e-01
61	0.01	2.449894e-01
62	0.01	2.201771e-01
63	0.01	1.978988e-01
64	0.01	1.779100e-01
65	0.01	1.599587e-01
66	0.01	1.438498e-01
67	0.01	1.293795e-01
68	0.01	1.163925e-01
69	0.01	1.047235e-01
70	0.01	9.424905e-02
71	0.01	8.483513e-02
72	0.02	7.638344e-02
73	0.01	6.878525e-02
74	0.01	6.196247e-02
75	0.01	5.582674e-02
76	0.01	5.031607e-02
77	0.01	4.535860e-02
78	0.01	4.090519e-02
79	0.01	3.689730e-02
80	0.01	3.329606e-02
81	0.01	3.005373e-02
82	0.01	2.713959e-02
83	0.01	2.451468e-02
84	0.01	2.215477e-02
85	0.01	2.002800e-02
86	0.01	1.811531e-02
87	0.01	1.639062e-02
88	0.01	1.483897e-02
89	0.01	1.343898e-02
90	0.01	1.217894e-02
91	0.01	1.104130e-02
92	0.01	1.001692e-02
93	0.01	9.091371e-03
94	0.01	8.257555e-03
95	0.01	7.503574e-03
96	0.01	6.823951e-03
97	0.01	6.208861e-03
98	0.01	5.654096e-03
99	0.01	5.151528e-03
100	0.01	4.697947e-03
101	0.01	4.286617e-03
102	0.01	3.915109e-03
103	0.01	3.577830e-03
104	0.01	3.272960e-03
105	0.01	2.995843e-03
106	0.01	2.745136e-03
107	0.01	2.516954e-03
108	0.01	2.310324e-03
109	0.01	2.121997e-03
110	0.01	1.951283e-03
111	0.01	1.795459e-03
112	0.01	1.654052e-03
113	0.04	1.524775e-03
114	0.02	1.407321e-03
115	0.01	1.299764e-03
116	0.01	1.201920e-03
117	0.01	1.112165e-03
118	0.01	1.030405e-03
119	0.01	9.552678e-04
