#Iter	Time	Change
0	0.02	3.102397e+03
1	0.01	2.936459e+02
2	0.01	2.411673e+02
3	0.01	1.799943e+02
4	0.03	1.548685e+02
5	0.02	1.326146e+02
6	0.02	1.155879e+02
7	0.01	1.011842e+02
8	0.01	8.907683e+01
9	0.01	7.872363e+01
10	0.01	6.982069e+01
11	0.02	6.211088e+01
12	0.01	5.539865e+01
13	0.01	4.952602e+01
14	0.01	4.436565e+01
15	0.02	3.981344e+01
16	0.01	3.578373e+01
17	0.01	3.220544e+01
18	0.01	2.901921e+01
19	0.01	2.617509e+01
20	0.01	2.363084e+01
21	0.01	2.135046e+01
22	0.01	1.930315e+01
23	0.01	1.746235e+01
24	0.01	1.580509e+01
25	0.01	1.431137e+01
26	0.01	1.296373e+01
27	0.02	1.174683e+01
28	0.01	1.064717e+01
29	0.03	9.652804e+00
30	0.02	8.753146e+00
31	0.01	7.938778e+00
32	0.01	7.201303e+00
33	0.01	6.533217e+00
34	0.01	5.927801e+00
35	0.01	5.379026e+00
36	0.01	4.881475e+00
37	0.01	4.430276e+00
38	0.01	4.021040e+00
39	0.01	3.649806e+00
40	0.02	3.313004e+00
41	0.02	3.007404e+00
42	0.01	2.730089e+00
43	0.01	2.478421e+00
44	0.01	2.250011e+00
45	0.01	2.042697e+00
46	0.01	1.854520e+00
47	0.01	1.683707e+00
48	0.01	1.528648e+00
49	0.01	1.387887e+00
50	0.01	1.260100e+00
51	0.01	1.144090e+00
52	0.01	1.038768e+00
53	0.01	9.431478e-01
54	0.01	8.563349e-01
55	0.01	7.775166e-01
56	0.01	7.059558e-01
57	0.01	6.409838e-01
58	0.01	5.819932e-01
59	0.01	5.284331e-01
60	0.01	4.798031e-01
61	0.01	4.356493e-01
62	0.01	3.955595e-01
63	0.01	3.591593e-01
64	0.01	3.261093e-01
65	0.01	2.961008e-01
66	0.01	2.688539e-01
67	0.01	2.441145e-01
68	0.01	2.216517e-01
69	0.01	2.012560e-01
70	0.01	1.827372e-01
71	0.01	1.659224e-01
72	0.01	1.506550e-01
73	0.01	1.367924e-01
74	0.01	1.242054e-01
75	0.01	1.127767e-01
76	0.01	1.023996e-01
77	0.01	9.297734e-02
78	0.01	8.442209e-02
79	0.01	7.665405e-02
80	0.01	6.960080e-02
81	0.01	6.319655e-02
82	0.01	5.738158e-02
83	0.01	5.210168e-02
84	0.01	4.730761e-02
85	0.01	4.295466e-02
86	0.01	3.900224e-02
87	0.01	3.541350e-02
88	0.01	3.215497e-02
89	0.01	2.919628e-02
90	0.02	2.650982e-02
91	0.01	2.407056e-02
92	0.01	2.185574e-02
93	0.01	1.984471e-02
94	0.01	1.801873e-02
95	0.01	1.636077e-02
96	0.01	1.485535e-02
97	0.01	1.348846e-02
98	0.01	1.224734e-02
99	0.01	1.112042e-02
100	0.01	1.009719e-02
101	0.01	9.168112e-03
102	0.01	8.324522e-03
103	0.01	7.558554e-03
104	0.01	6.863065e-03
105	0.01	6.231571e-03
106	0.01	5.658182e-03
107	0.01	5.137553e-03
108	0.01	4.664829e-03
109	0.01	4.235602e-03
110	0.01	3.845869e-03
111	0.01	3.491998e-03
112	0.01	3.170687e-03
113	0.01	2.878941e-03
114	0.01	2.614040e-03
115	0.01	2.373513e-03
116	0.01	2.155118e-03
117	0.01	1.956818e-03
118	0.01	1.776764e-03
119	0.02	1.613278e-03
120	0.01	1.464835e-03
121	0.01	1.330050e-03
122	0.01	1.207668e-03
123	0.01	1.096546e-03
124	0.01	9.956489e-04
