#Iter	Time	Change
0	0.02	3.097253e+03
1	0.01	3.012696e+02
2	0.01	2.466384e+02
3	0.01	1.798163e+02
4	0.01	1.512137e+02
5	0.01	1.262814e+02
6	0.01	1.074438e+02
7	0.01	9.179951e+01
8	0.01	7.889302e+01
9	0.01	6.806708e+01
10	0.01	5.894064e+01
11	0.01	5.119731e+01
12	0.01	4.459669e+01
13	0.01	3.894559e+01
14	0.01	3.408886e+01
15	0.01	2.990018e+01
16	0.01	2.627606e+01
17	0.01	2.313115e+01
18	0.01	2.039464e+01
19	0.01	1.800751e+01
20	0.01	1.592036e+01
21	0.01	1.409159e+01
22	0.01	1.248608e+01
23	0.01	1.107407e+01
24	0.01	9.830194e+00
25	0.01	8.732796e+00
26	0.01	7.763314e+00
27	0.01	6.905779e+00
28	0.01	6.146417e+00
29	0.01	5.473307e+00
30	0.01	4.876108e+00
31	0.01	4.345821e+00
32	0.01	3.874601e+00
33	0.01	3.455587e+00
34	0.01	3.082774e+00
35	0.01	2.750888e+00
36	0.01	2.455295e+00
37	0.01	2.191911e+00
38	0.01	1.957137e+00
39	0.01	1.747793e+00
40	0.01	1.561066e+00
41	0.01	1.394468e+00
42	0.01	1.245792e+00
43	0.01	1.113081e+00
44	0.01	9.945971e-01
45	0.01	8.887973e-01
46	0.01	7.943088e-01
47	0.01	7.099108e-01
48	0.01	6.345163e-01
49	0.01	5.671575e-01
50	0.01	5.069722e-01
51	0.01	4.531916e-01
52	0.01	4.051305e-01
53	0.01	3.621777e-01
54	0.01	3.237879e-01
55	0.01	2.894746e-01
56	0.01	2.588033e-01
57	0.01	2.313863e-01
58	0.01	2.068774e-01
59	0.01	1.849675e-01
60	0.01	1.653802e-01
61	0.01	1.478690e-01
62	0.01	1.322134e-01
63	0.01	1.182164e-01
64	0.01	1.057022e-01
65	0.01	9.451344e-02
66	0.01	8.450960e-02
67	0.01	7.556507e-02
68	0.01	6.756761e-02
69	0.01	6.041684e-02
70	0.01	5.402308e-02
71	0.01	4.830613e-02
72	0.01	4.319432e-02
73	0.01	3.862357e-02
74	0.01	3.453657e-02
75	0.01	3.088211e-02
76	0.01	2.761441e-02
77	0.01	2.469252e-02
78	0.01	2.207982e-02
79	0.01	1.974361e-02
80	0.01	1.765460e-02
81	0.01	1.578665e-02
82	0.01	1.411635e-02
83	0.01	1.262278e-02
84	0.01	1.128725e-02
85	0.01	1.009303e-02
86	0.01	9.025172e-03
87	0.01	8.070296e-03
88	0.01	7.216451e-03
89	0.01	6.452947e-03
90	0.01	5.770224e-03
91	0.01	5.159735e-03
92	0.01	4.613837e-03
93	0.01	4.125696e-03
94	0.01	3.689201e-03
95	0.01	3.298887e-03
96	0.01	2.949869e-03
97	0.01	2.637777e-03
98	0.01	2.358704e-03
99	0.01	2.109157e-03
100	0.01	1.886012e-03
101	0.01	1.686476e-03
102	0.01	1.508050e-03
103	0.01	1.348501e-03
104	0.01	1.205832e-03
105	0.01	1.078258e-03
106	0.01	9.641807e-04
