#EntrezID	Name	Score	Degree
9075	CLDN2	0.900801	2
57644	MYH7B	0.880011	4
85477	SCIN	0.863348	3
10686	CLDN16	0.862238	3
29126	CD274	0.859358	3
137075	CLDN23	0.835942	8
255631	COL24A1	0.833108	4
91807	MYLK3	0.827925	4
9073	CLDN8	0.826731	6
57502	NLGN4X	0.817668	5
89846	FGD3	0.811666	5
3672	ITGA1	0.793851	12
4622	MYH4	0.792129	6
64098	PARVG	0.788565	11
9087	TMSB4Y	0.777611	7
55844	PPP2R2D	0.776627	6
10718	NRG3	0.772061	9
92359	CRB3	0.771027	11
84552	PARD6G	0.768396	16
374	AREG	0.758169	23
1493	CTLA4	0.753424	17
24146	CLDN15	0.752831	9
57689	LRRC4C	0.751773	10
1128	CHRM1	0.748530	9
6401	SELE	0.747978	7
3071	NCKAP1L	0.745987	28
3123	HLA-DRB1	0.745606	93
3127	HLA-DRB5	0.745252	94
3115	HLA-DPB1	0.744207	72
1950	EGF	0.743884	10
3683	ITGAL	0.738999	31
5294	PIK3CG	0.738877	17
22801	ITGA11	0.737282	40
925	CD8A	0.736281	23
3109	HLA-DMB	0.735385	87
3381	IBSP	0.735200	11
624	BDKRB2	0.733354	21
3695	ITGB7	0.733056	32
7409	VAV1	0.729293	59
3791	KDR	0.728946	84
3125	HLA-DRB3	0.728110	111
3059	HCLS1	0.727021	99
4620	MYH2	0.726649	34
3681	ITGAD	0.726240	19
80380	PDCD1LG2	0.725416	27
64101	LRRC4	0.723371	14
83700	JAM3	0.722910	120
6696	SPP1	0.722487	39
3126	HLA-DRB4	0.722292	86
1131	CHRM3	0.722063	33
3122	HLA-DRA	0.720940	179
5588	PRKCQ	0.720474	52
5175	PECAM1	0.718220	174
1803	DPP4	0.717744	34
6402	SELL	0.716282	37
2191	FAP	0.716174	111
3108	HLA-DMA	0.714730	172
1003	CDH5	0.713118	62
56924	PAK6	0.712890	45
1001	CDH3	0.712437	169
2069	EREG	0.712370	36
2277	VEGFD	0.712197	19
3371	TNC	0.711785	352
9564	BCAR1	0.710490	107
1301	COL11A1	0.710066	129
5336	PLCG2	0.708980	78
260425	MAGI3	0.708782	63
3113	HLA-DPA1	0.708692	204
3687	ITGAX	0.708073	110
22808	MRAS	0.708056	44
7058	THBS2	0.708029	159
914	CD2	0.707839	47
9076	CLDN1	0.707738	127
1496	CTNNA2	0.707626	24
50509	COL5A3	0.707148	171
10398	MYL9	0.706642	280
90952	ESAM	0.705936	49
942	CD86	0.705600	127
3918	LAMC2	0.705422	155
5159	PDGFRB	0.705380	185
929	CD14	0.704968	127
389	RHOC	0.704774	181
6776	STAT5A	0.704610	45
245932	DEFB119	0.704130	3
22871	NLGN1	0.703906	121
10666	CD226	0.703809	16
7412	VCAM1	0.703233	104
1132	CHRM4	0.702148	28
3909	LAMA3	0.702065	190
4318	MMP9	0.702053	124
3914	LAMB3	0.701881	303
7122	CLDN5	0.701721	37
58494	JAM2	0.701301	120
84612	PARD6B	0.701184	99
4313	MMP2	0.700957	710
926	CD8B	0.700889	84
80310	PDGFD	0.700658	117
27	ABL2	0.700656	278
2335	FN1	0.700551	484
3684	ITGAM	0.700325	192
7448	VTN	0.700198	42
7408	VASP	0.700079	265
149461	CLDN19	0.699956	51
959	CD40LG	0.699611	29
940	CD28	0.698759	72
57555	NLGN2	0.698395	81
3675	ITGA3	0.698354	403
5058	PAK1	0.698349	95
57530	CGN	0.698043	108
10319	LAMC3	0.697880	80
3673	ITGA2	0.697792	457
83660	TLN2	0.697394	239
1366	CLDN7	0.697352	94
7424	VEGFC	0.696952	340
5010	CLDN11	0.696645	70
84628	NTNG2	0.696562	37
5788	PTPRC	0.696476	152
5329	PLAUR	0.696021	732
5880	RAC2	0.695896	535
3112	HLA-DOB	0.695838	33
23624	CBLC	0.695348	103
6404	SELPLG	0.695106	251
4638	MYLK	0.694307	446
3135	HLA-G	0.694209	383
3694	ITGB6	0.693853	108
1839	HBEGF	0.693777	406
5580	PRKCD	0.693745	141
3383	ICAM1	0.693619	555
7057	THBS1	0.693243	778
2017	CTTN	0.693002	330
5335	PLCG1	0.692781	239
3384	ICAM2	0.692633	102
3678	ITGA5	0.692575	608
1282	COL4A1	0.692423	642
87	ACTN1	0.692403	793
5063	PAK3	0.692283	115
5881	RAC3	0.692226	85
7094	TLN1	0.692184	374
9644	SH3PXD2A	0.691865	266
623	BDKRB1	0.691849	56
2534	FYN	0.691747	705
1284	COL4A2	0.691739	914
2885	GRB2	0.691728	524
3106	HLA-B	0.691653	673
3912	LAMB1	0.691627	612
55742	PARVA	0.691565	429
3134	HLA-F	0.691555	449
5154	PDGFA	0.691412	579
5649	RELN	0.690986	171
8735	MYH13	0.690970	102
57144	PAK5	0.690821	218
3993	LLGL2	0.690710	273
947	CD34	0.690678	335
7082	TJP1	0.690561	847
1793	DOCK1	0.690556	474
5829	PXN	0.690505	804
6714	SRC	0.690488	614
1000	CDH2	0.690446	1003
56288	PARD3	0.690217	399
1365	CLDN3	0.689915	105
5792	PTPRF	0.689841	553
9459	ARHGEF6	0.689635	33
7060	THBS4	0.689397	127
3897	L1CAM	0.689351	777
9542	NRG2	0.689348	132
3696	ITGB8	0.689345	647
284217	LAMA1	0.689224	64
25945	NECTIN3	0.689224	333
94030	LRRC4B	0.689170	41
8506	CNTNAP1	0.688906	217
2247	FGF2	0.688658	437
3688	ITGB1	0.688597	564
2260	FGFR1	0.688592	1660
6237	RRAS	0.688139	396
5819	NECTIN2	0.688086	710
128239	IQGAP3	0.688067	36
5578	PRKCA	0.688066	717
1026	CDKN1A	0.687762	501
8777	MPDZ	0.687681	559
2185	PTK2B	0.687664	316
10163	WASF2	0.687598	169
3479	IGF1	0.687576	377
4233	MET	0.687464	804
7077	TIMP2	0.687414	787
8936	WASF1	0.687387	191
3133	HLA-E	0.687244	723
6464	SHC1	0.687201	363
867	CBL	0.687165	300
23136	EPB41L3	0.687026	156
390	RND3	0.686994	659
6840	SVIL	0.686929	631
5579	PRKCB	0.686886	135
3691	ITGB4	0.686878	1320
4685	NCAM2	0.686846	108
23562	CLDN14	0.686659	37
388	RHOB	0.686637	512
1499	CTNNB1	0.686594	101
1288	COL4A6	0.686550	619
4478	MSN	0.686549	608
23705	CADM1	0.686345	626
2321	FLT1	0.686216	456
7791	ZYX	0.686115	1043
3480	IGF1R	0.686108	1272
6614	SIGLEC1	0.686018	185
958	CD40	0.685838	105
3107	HLA-C	0.685778	531
4323	MMP14	0.685756	1125
7040	TGFB1	0.685747	1042
3984	LIMK1	0.685633	541
3676	ITGA4	0.685589	59
4301	AFDN	0.685553	313
5293	PIK3CD	0.685376	231
3910	LAMA4	0.685195	1404
7039	TGFA	0.685086	820
8440	NCK2	0.685034	96
3084	NRG1	0.685010	997
2036	EPB41L1	0.684614	464
5817	PVR	0.684606	487
1398	CRK	0.684548	331
5305	PIP4K2A	0.684491	98
7431	VIM	0.684488	628
50855	PARD6A	0.684453	212
7410	VAV2	0.684422	417
1364	CLDN4	0.684319	180
6548	SLC9A1	0.684281	157
25759	SHC2	0.684279	223
22798	LAMB4	0.684160	86
5228	PGF	0.684105	907
1129	CHRM2	0.684040	102
3693	ITGB5	0.683772	723
85464	SSH2	0.683724	169
2889	RAPGEF1	0.683568	197
858	CAV2	0.683498	621
9863	MAGI2	0.683480	482
3985	LIMK2	0.683355	209
53358	SHC3	0.683321	259
2768	GNA12	0.683172	145
3105	HLA-A	0.683167	495
3690	ITGB3	0.683051	604
3725	JUN	0.682697	672
7456	WIPF1	0.682618	262
85301	COL27A1	0.682596	273
4897	NRCAM	0.682496	865
8976	WASL	0.682486	322
3082	HGF	0.682352	472
2318	FLNC	0.682345	354
54776	PPP1R12C	0.682323	117
1272	CNTN1	0.682258	429
50649	ARHGEF4	0.681927	1230
54434	SSH1	0.681927	830
2065	ERBB3	0.681920	1510
7422	VEGFA	0.681911	825
9369	NRXN3	0.681881	816
10451	VAV3	0.681875	147
257194	NEGR1	0.681771	145
4684	NCAM1	0.681741	1083
3680	ITGA9	0.681055	207
8503	PIK3R3	0.680965	207
5337	PLD1	0.680882	262
23114	NFASC	0.680703	983
5599	MAPK8	0.680670	410
1435	CSF1	0.680557	790
2264	FGFR4	0.680441	389
3996	LLGL1	0.680263	546
26047	CNTNAP2	0.680249	727
23396	PIP5K1C	0.680119	641
5590	PRKCZ	0.680073	413
5170	PDPK1	0.679943	559
8516	ITGA8	0.679759	332
3911	LAMA5	0.679474	792
10458	BAIAP2	0.679464	1511
4660	PPP1R12B	0.679229	369
3655	ITGA6	0.679214	673
63923	TNN	0.679184	125
3915	LAMC1	0.678762	1622
5295	PIK3R1	0.678713	747
2909	ARHGAP35	0.678706	826
2261	FGFR3	0.678644	1006
2549	GAB1	0.678637	323
7074	TIAM1	0.678465	707
6403	SELP	0.678430	173
923	CD6	0.678416	546
10095	ARPC1B	0.678296	871
5296	PIK3R2	0.678281	878
5522	PPP2R2C	0.678247	429
8395	PIP5K1B	0.678212	481
369	ARAF	0.678066	250
9223	MAGI1	0.678044	693
596	BCL2	0.678030	724
817	CAMK2D	0.677941	344
2002	ELK1	0.677835	549
28964	GIT1	0.677820	439
27134	TJP3	0.677681	187
9378	NRXN1	0.677603	1156
9379	NRXN2	0.677580	792
50848	F11R	0.677222	513
57863	CADM3	0.676941	1010
10000	AKT3	0.676819	1404
5581	PRKCE	0.676764	1154
5923	RASGRF1	0.676548	1026
8394	PIP5K1A	0.676540	186
10298	PAK4	0.676455	603
5217	PFN2	0.676394	810
2149	F2R	0.676357	343
83747	83747	0.676289	9
26285	CLDN17	0.676231	61
93408	MYL10	0.676158	303
3611	ILK	0.676043	774
7430	EZR	0.676029	289
1495	CTNNA1	0.675922	1148
10152	ABI2	0.675871	723
1002	CDH4	0.675838	1004
2066	ERBB4	0.675636	1450
10297	APC2	0.675570	1490
3913	LAMB2	0.675454	1051
868	CBLB	0.675127	708
816	CAMK2B	0.675110	2851
818	CAMK2G	0.675104	1088
5133	PDCD1	0.675084	367
9071	CLDN10	0.674955	513
214	ALCAM	0.674907	976
1101	CHAD	0.674804	382
9019	MPZL1	0.674674	758
5609	MAP2K7	0.674578	723
4628	MYH10	0.674478	1373
23191	CYFIP1	0.674245	647
7059	THBS3	0.674075	252
9138	ARHGEF1	0.673979	612
29780	PARVB	0.673975	325
396	ARHGDIA	0.673954	1387
4099	MAG	0.673848	1104
23533	PIK3R5	0.673752	872
399716	LOC399716	0.673613	2
2734	GLG1	0.673428	879
8826	IQGAP1	0.673239	1234
29895	MYLPF	0.673123	68
4267	CD99	0.672960	612
10627	MYL12A	0.672954	121
5155	PDGFB	0.672821	1747
79837	PIP4K2C	0.672777	101
54961	SSH3	0.672651	775
824	CAPN2	0.672583	295
920	CD4	0.672419	79
941	CD80	0.672285	764
54413	NLGN3	0.672269	285
3266	ERAS	0.672246	3
324	APC	0.672237	1124
3111	HLA-DOA	0.672209	1744
51208	CLDN18	0.672180	793
5595	MAPK3	0.671994	294
4342	MOS	0.671992	234
8515	ITGA10	0.671865	333
10672	GNA13	0.671851	767
4626	MYH8	0.671849	290
55970	GNG12	0.671849	481
2037	EPB41L2	0.671741	377
8396	PIP4K2B	0.671735	896
56034	PDGFC	0.671699	1096
9475	ROCK2	0.671679	1063
25	ABL1	0.671617	516
2932	GSK3B	0.671435	482
5797	PTPRM	0.671421	457
1399	CRKL	0.671226	773
815	CAMK2A	0.671078	1082
29119	CTNNA3	0.670864	215
1013	CDH15	0.670814	636
5879	RAC1	0.670735	798
1133	CHRM5	0.670705	273
22854	NTNG1	0.670565	1092
55740	ENAH	0.670488	880
3645	INSRR	0.670458	385
22989	MYH15	0.670253	194
998	CDC42	0.670234	535
9074	CLDN6	0.670140	325
23308	ICOSLG	0.669619	1130
933	CD22	0.669398	426
2475	MTOR	0.669274	159
6777	STAT5B	0.669149	400
9080	CLDN9	0.669041	664
1072	CFL1	0.668955	400
89	ACTN3	0.668931	208
5605	MAP2K2	0.668695	1052
6693	SPN	0.668265	338
5818	NECTIN1	0.668216	2611
6199	RPS6KB2	0.668213	310
1073	CFL2	0.668149	828
60	ACTB	0.668030	350
64398	MPP5	0.668020	560
10093	ARPC4	0.667910	406
26999	CYFIP2	0.667877	560
8174	MADCAM1	0.667711	770
965	CD58	0.667680	1093
10097	ACTR2	0.667516	1044
207	AKT1	0.667474	800
6900	CNTN2	0.667409	693
5062	PAK2	0.667125	1377
3685	ITGAV	0.667084	1039
10788	IQGAP2	0.666865	119
823	CAPN1	0.666478	791
10787	NCKAP1	0.666315	911
5908	RAP1B	0.666165	1114
6416	MAP2K4	0.666048	1358
6093	ROCK1	0.665966	1345
103910	MYL12B	0.665808	269
3957	LGALS2	0.665796	2
8573	CASK	0.665648	928
8874	ARHGEF7	0.665328	851
6655	SOS2	0.665132	909
5518	PPP2R1A	0.665122	792
7114	TMSB4X	0.665036	220
1027	CDKN1B	0.665033	1172
7143	TNR	0.664972	1083
8531	YBX3	0.664826	185
5894	RAF1	0.664813	325
3385	ICAM3	0.664801	150
7423	VEGFB	0.664528	473
4636	MYL5	0.664151	212
