#Iter	Time	Change
0	0.04	5.774444e+02
1	0.03	5.422499e+02
2	0.03	5.257189e+02
3	0.02	5.127060e+02
4	0.02	4.968445e+02
5	0.03	4.823688e+02
6	0.03	4.676598e+02
7	0.02	4.546035e+02
8	0.02	4.413363e+02
9	0.02	4.296369e+02
10	0.03	4.176680e+02
11	0.03	4.070647e+02
12	0.03	3.961535e+02
13	0.02	3.864569e+02
14	0.02	3.764533e+02
15	0.02	3.675231e+02
16	0.03	3.583104e+02
17	0.03	3.500431e+02
18	0.02	3.415283e+02
19	0.02	3.338423e+02
20	0.03	3.259462e+02
21	0.03	3.187782e+02
22	0.03	3.114345e+02
23	0.02	3.047305e+02
24	0.02	2.978829e+02
25	0.02	2.915969e+02
26	0.03	2.851946e+02
27	0.02	2.792864e+02
28	0.02	2.732849e+02
29	0.02	2.677192e+02
30	0.02	2.620791e+02
31	0.03	2.568244e+02
32	0.02	2.515119e+02
33	0.03	2.465399e+02
34	0.02	2.415249e+02
35	0.02	2.368108e+02
36	0.02	2.320663e+02
37	0.02	2.275885e+02
38	0.02	2.230909e+02
39	0.02	2.188304e+02
40	0.02	2.145594e+02
41	0.02	2.104994e+02
42	0.02	2.064368e+02
43	0.02	2.025626e+02
44	0.02	1.986921e+02
45	0.02	1.949911e+02
46	0.02	1.912994e+02
47	0.03	1.877594e+02
48	0.03	1.842332e+02
49	0.03	1.808436e+02
50	0.03	1.774714e+02
51	0.03	1.742228e+02
52	0.03	1.709946e+02
53	0.03	1.678788e+02
54	0.03	1.647857e+02
55	0.03	1.617953e+02
56	0.02	1.588290e+02
57	0.02	1.559573e+02
58	0.02	1.531106e+02
59	0.02	1.503513e+02
60	0.03	1.476176e+02
61	0.03	1.449649e+02
62	0.02	1.423383e+02
63	0.02	1.397870e+02
64	0.03	1.372623e+02
65	0.03	1.348073e+02
66	0.02	1.323796e+02
67	0.03	1.300165e+02
68	0.02	1.276811e+02
69	0.02	1.254056e+02
70	0.02	1.231582e+02
71	0.02	1.209665e+02
72	0.02	1.188031e+02
73	0.02	1.166918e+02
74	0.03	1.146086e+02
75	0.06	1.125742e+02
76	0.05	1.105679e+02
77	0.03	1.086072e+02
78	0.03	1.066745e+02
79	0.03	1.047846e+02
80	0.02	1.029224e+02
81	0.03	1.011007e+02
82	0.02	9.930609e+01
83	0.02	9.754972e+01
84	0.02	9.582004e+01
85	0.02	9.412652e+01
86	0.02	9.245917e+01
87	0.02	9.082609e+01
88	0.02	8.921865e+01
89	0.02	8.764373e+01
90	0.02	8.609387e+01
91	0.02	8.457491e+01
92	0.02	8.308045e+01
93	0.02	8.161537e+01
94	0.02	8.017424e+01
95	0.02	7.876102e+01
96	0.03	7.737125e+01
97	0.02	7.600796e+01
98	0.02	7.466761e+01
99	0.02	7.335249e+01
100	0.02	7.205968e+01
101	0.02	7.079097e+01
102	0.02	6.954395e+01
103	0.02	6.831994e+01
104	0.02	6.711702e+01
105	0.02	6.593610e+01
106	0.02	6.477567e+01
107	0.02	6.363629e+01
108	0.02	6.251681e+01
109	0.02	6.141756e+01
110	0.02	6.033750e+01
111	0.02	5.927699e+01
112	0.02	5.823488e+01
113	0.02	5.721167e+01
114	0.02	5.620629e+01
115	0.02	5.521898e+01
116	0.02	5.424897e+01
117	0.02	5.329627e+01
118	0.02	5.236035e+01
119	0.02	5.144103e+01
120	0.02	5.053798e+01
121	0.02	4.965084e+01
122	0.02	4.877949e+01
123	0.02	4.792340e+01
124	0.03	4.708262e+01
125	0.03	4.625648e+01
126	0.03	4.544518e+01
127	0.02	4.464793e+01
128	0.02	4.386506e+01
129	0.02	4.309568e+01
130	0.03	4.234024e+01
131	0.03	4.159774e+01
132	0.02	4.086875e+01
133	0.02	4.015219e+01
134	0.02	3.944872e+01
135	0.02	3.875718e+01
136	0.02	3.807833e+01
137	0.02	3.741093e+01
138	0.02	3.675582e+01
139	0.02	3.611172e+01
140	0.02	3.547951e+01
141	0.02	3.485788e+01
142	0.02	3.424778e+01
143	0.02	3.364783e+01
144	0.03	3.305904e+01
145	0.02	3.248001e+01
146	0.02	3.191180e+01
147	0.02	3.135295e+01
148	0.02	3.080458e+01
149	0.02	3.026522e+01
150	0.03	2.973599e+01
151	0.02	2.921542e+01
152	0.02	2.870467e+01
153	0.02	2.820223e+01
154	0.02	2.770931e+01
155	0.02	2.722436e+01
156	0.02	2.674864e+01
157	0.02	2.628058e+01
158	0.02	2.582145e+01
159	0.02	2.536969e+01
160	0.02	2.492657e+01
161	0.02	2.449053e+01
162	0.02	2.406286e+01
163	0.02	2.364199e+01
164	0.02	2.322923e+01
165	0.02	2.282300e+01
166	0.02	2.242463e+01
167	0.02	2.203253e+01
168	0.02	2.164804e+01
169	0.02	2.126957e+01
170	0.03	2.089848e+01
171	0.02	2.053317e+01
172	0.02	2.017500e+01
173	0.02	1.982239e+01
174	0.02	1.947670e+01
175	0.02	1.913634e+01
176	0.02	1.880268e+01
177	0.02	1.847415e+01
178	0.02	1.815211e+01
179	0.02	1.783499e+01
180	0.02	1.752416e+01
181	0.02	1.721805e+01
182	0.02	1.691804e+01
183	0.03	1.662256e+01
184	0.02	1.633299e+01
185	0.02	1.604777e+01
186	0.03	1.576827e+01
187	0.02	1.549296e+01
188	0.02	1.522318e+01
189	0.02	1.495742e+01
190	0.03	1.469702e+01
191	0.02	1.444048e+01
192	0.02	1.418914e+01
193	0.02	1.394150e+01
194	0.02	1.369890e+01
195	0.02	1.345985e+01
196	0.02	1.322568e+01
197	0.02	1.299492e+01
198	0.03	1.276889e+01
199	0.03	1.254613e+01
200	0.03	1.232796e+01
201	0.03	1.211292e+01
202	0.02	1.190233e+01
203	0.02	1.169475e+01
204	0.02	1.149147e+01
205	0.02	1.129108e+01
206	0.02	1.109487e+01
207	0.02	1.090142e+01
208	0.02	1.071202e+01
209	0.03	1.052528e+01
210	0.02	1.034246e+01
211	0.02	1.016218e+01
212	0.02	9.985707e+00
213	0.02	9.811673e+00
214	0.02	9.641328e+00
215	0.02	9.473320e+00
216	0.02	9.308888e+00
217	0.03	9.146696e+00
218	0.03	8.987972e+00
219	0.03	8.831394e+00
220	0.03	8.678179e+00
221	0.03	8.527019e+00
222	0.02	8.379121e+00
223	0.02	8.233192e+00
224	0.02	8.090425e+00
225	0.02	7.949544e+00
226	0.02	7.811731e+00
227	0.02	7.675722e+00
228	0.03	7.542690e+00
229	0.02	7.411385e+00
230	0.02	7.282966e+00
231	0.02	7.156201e+00
232	0.02	7.032237e+00
233	0.02	6.909854e+00
234	0.02	6.790188e+00
235	0.02	6.672035e+00
236	0.02	6.556519e+00
237	0.03	6.442449e+00
238	0.02	6.330938e+00
239	0.02	6.220809e+00
240	0.02	6.113163e+00
241	0.02	6.006839e+00
242	0.02	5.902925e+00
243	0.02	5.800272e+00
244	0.02	5.699960e+00
245	0.02	5.600852e+00
246	0.02	5.504016e+00
247	0.02	5.408330e+00
248	0.02	5.314849e+00
249	0.02	5.222467e+00
250	0.02	5.132225e+00
251	0.02	5.043031e+00
252	0.02	4.955915e+00
253	0.02	4.869799e+00
254	0.02	4.785701e+00
255	0.02	4.702556e+00
256	0.02	4.621370e+00
257	0.03	4.541093e+00
258	0.02	4.462720e+00
259	0.02	4.385211e+00
260	0.03	4.309552e+00
261	0.03	4.234716e+00
262	0.03	4.161676e+00
263	0.02	4.089421e+00
264	0.02	4.018910e+00
265	0.02	3.949144e+00
266	0.02	3.881075e+00
267	0.02	3.813714e+00
268	0.03	3.748000e+00
269	0.02	3.682960e+00
270	0.03	3.619521e+00
271	0.04	3.556721e+00
272	0.03	3.495477e+00
273	0.03	3.434841e+00
274	0.03	3.375717e+00
275	0.02	3.317168e+00
276	0.02	3.260090e+00
277	0.03	3.203557e+00
278	0.02	3.148453e+00
279	0.02	3.093866e+00
280	0.02	3.040669e+00
281	0.03	2.987960e+00
282	0.02	2.936603e+00
283	0.02	2.885708e+00
284	0.02	2.836127e+00
285	0.03	2.786983e+00
286	0.03	2.739117e+00
287	0.02	2.691663e+00
288	0.02	2.645452e+00
289	0.02	2.599630e+00
290	0.02	2.555017e+00
291	0.02	2.510770e+00
292	0.04	2.467700e+00
293	0.03	2.424974e+00
294	0.03	2.383392e+00
295	0.02	2.342134e+00
296	0.03	2.301990e+00
297	0.03	2.262150e+00
298	0.03	2.223393e+00
299	0.02	2.184921e+00
300	0.02	2.147504e+00
301	0.03	2.110353e+00
302	0.02	2.074229e+00
303	0.04	2.038353e+00
304	0.05	2.003478e+00
305	0.04	1.968833e+00
306	0.03	1.935163e+00
307	0.03	1.901707e+00
308	0.03	1.869200e+00
309	0.03	1.836892e+00
310	0.03	1.805507e+00
311	0.03	1.774308e+00
312	0.03	1.744007e+00
313	0.03	1.713878e+00
314	0.03	1.684624e+00
315	0.03	1.655527e+00
316	0.03	1.627283e+00
317	0.03	1.599183e+00
318	0.03	1.571915e+00
319	0.03	1.544778e+00
320	0.03	1.518451e+00
321	0.03	1.492244e+00
322	0.03	1.466826e+00
323	0.03	1.441516e+00
324	0.03	1.416975e+00
325	0.03	1.392532e+00
326	0.03	1.368838e+00
327	0.03	1.345232e+00
328	0.03	1.322356e+00
329	0.03	1.299557e+00
330	0.03	1.277470e+00
331	0.03	1.255451e+00
332	0.03	1.234127e+00
333	0.03	1.212861e+00
334	0.03	1.192272e+00
335	0.03	1.171733e+00
336	0.03	1.151855e+00
337	0.03	1.132018e+00
338	0.03	1.112825e+00
339	0.03	1.093666e+00
340	0.03	1.075135e+00
341	0.03	1.056630e+00
342	0.03	1.038739e+00
343	0.03	1.020866e+00
344	0.03	1.003591e+00
345	0.03	9.863283e-01
346	0.03	9.696493e-01
347	0.03	9.529754e-01
348	0.03	9.368715e-01
349	0.03	9.207663e-01
350	0.03	9.052175e-01
351	0.03	8.896615e-01
352	0.03	8.746487e-01
353	0.03	8.596230e-01
354	0.03	8.451276e-01
355	0.03	8.306139e-01
356	0.03	8.166180e-01
357	0.03	8.025987e-01
358	0.03	7.890851e-01
359	0.03	7.755432e-01
360	0.03	7.624951e-01
361	0.03	7.494142e-01
362	0.03	7.368156e-01
363	0.03	7.241798e-01
364	0.03	7.120152e-01
365	0.03	6.998091e-01
366	0.03	6.880634e-01
367	0.03	6.762724e-01
368	0.03	6.649312e-01
369	0.03	6.535409e-01
370	0.03	6.425902e-01
