#EntrezID	Name	Score	Degree
56929	FEM1C	0.991316	663
22908	SACM1L	0.991305	1276
6049	RNF6	0.991297	1097
200576	PIKFYVE	0.991291	950
167227	DCP2	0.991290	1379
113251	LARP4	0.991286	1566
26019	UPF2	0.991285	1048
64795	RMND5A	0.991280	1029
7514	XPO1	0.991276	1899
54665	RSBN1	0.991274	1520
55279	ZNF654	0.991273	275
11231	SEC63	0.991272	1732
9320	TRIP12	0.991271	1383
9559	VPS26A	0.991268	1462
3189	HNRNPH3	0.991266	1668
8087	FXR1	0.991266	1804
10097	ACTR2	0.991265	1044
10914	PAPOLA	0.991250	2962
3320	HSP90AA1	0.991246	1462
51141	INSIG2	0.991245	1030
25940	FAM98A	0.991245	979
4673	NAP1L1	0.991244	1683
8539	API5	0.991244	1849
10116	FEM1B	0.991244	228
10884	MRPS30	0.991241	1086
7073	TIAL1	0.991240	850
8898	MTMR2	0.991239	1029
54542	RC3H2	0.991222	1020
57532	NUFIP2	0.991214	1231
2673	GFPT1	0.991211	1373
3837	KPNB1	0.991204	1924
1739	DLG1	0.991198	1346
152006	RNF38	0.991197	1360
57128	LYRM4	0.991186	774
57570	TRMT5	0.991185	925
9991	PTBP3	0.991183	1107
9317	PTER	0.991183	543
57142	RTN4	0.991178	887
27089	UQCRQ	0.991178	1149
79590	MRPL24	0.991177	1091
5033	P4HA1	0.991169	727
85465	SELENOI	0.991159	573
51024	FIS1	0.991154	920
56986	DTWD1	0.991150	412
9878	TOX4	0.991144	478
2033	EP300	0.991139	520
84919	PPP1R15B	0.991133	403
2647	BLOC1S1	0.991112	812
26268	FBXO9	0.991110	766
26973	CHORDC1	0.991110	979
84275	SLC25A33	0.991108	258
51693	TRAPPC2L	0.991108	849
80351	TNKS2	0.991101	286
140890	SREK1	0.991101	1079
57223	PPP4R3B	0.991101	244
84681	HINT2	0.991099	388
10285	SMNDC1	0.991099	1591
160760	PPTC7	0.991098	214
9646	CTR9	0.991098	1522
11260	XPOT	0.991094	1753
4154	MBNL1	0.991086	1587
8036	SHOC2	0.991085	1642
6415	SELENOW	0.991084	523
54726	OTUD4	0.991078	874
54778	RNF111	0.991078	820
10746	MAP3K2	0.991077	326
50650	ARHGEF3	0.991076	490
84817	TXNDC17	0.991076	1004
23039	XPO7	0.991072	677
115209	OMA1	0.991072	321
5264	PHYH	0.991071	625
2058	EPRS	0.991070	1348
10808	HSPH1	0.991069	1339
2067	ERCC1	0.991067	882
23200	ATP11B	0.991067	1060
55004	LAMTOR1	0.991066	432
3418	IDH2	0.991065	821
84279	PRADC1	0.991064	231
7803	PTP4A1	0.991063	1268
23411	SIRT1	0.991062	1588
3192	HNRNPU	0.991062	1683
25906	ANAPC15	0.991060	619
3181	HNRNPA2B1	0.991056	1749
57472	CNOT6	0.991056	828
23394	ADNP	0.991056	1871
9877	ZC3H11A	0.991054	1283
11316	COPE	0.991054	766
9069	CLDN12	0.991052	222
10146	G3BP1	0.991048	1663
10460	TACC3	0.991044	1100
80155	NAA15	0.991042	1006
