#Iter	Time	Change
0	0.25	5.414881e+02
1	0.03	4.782422e+02
2	0.03	4.715385e+02
3	0.03	4.682868e+02
4	0.02	4.634892e+02
5	0.02	4.586005e+02
6	0.02	4.519796e+02
7	0.02	4.462093e+02
8	0.02	4.392704e+02
9	0.02	4.327479e+02
10	0.02	4.253682e+02
11	0.02	4.184779e+02
12	0.02	4.109192e+02
13	0.02	4.038914e+02
14	0.02	3.963308e+02
15	0.02	3.892849e+02
16	0.02	3.818148e+02
17	0.02	3.748397e+02
18	0.02	3.675215e+02
19	0.02	3.606683e+02
20	0.02	3.535388e+02
21	0.02	3.468410e+02
22	0.02	3.399200e+02
23	0.02	3.333984e+02
24	0.02	3.267008e+02
25	0.02	3.203679e+02
26	0.02	3.138975e+02
27	0.02	3.077616e+02
28	0.02	3.015200e+02
29	0.02	2.955848e+02
30	0.02	2.895719e+02
31	0.02	2.838374e+02
32	0.02	2.780495e+02
33	0.02	2.725149e+02
34	0.02	2.669469e+02
35	0.02	2.616096e+02
36	0.02	2.562558e+02
37	0.02	2.511128e+02
38	0.02	2.459668e+02
39	0.02	2.410143e+02
40	0.02	2.360706e+02
41	0.02	2.313043e+02
42	0.02	2.265562e+02
43	0.02	2.219704e+02
44	0.02	2.174107e+02
45	0.02	2.130005e+02
46	0.02	2.086221e+02
47	0.02	2.043819e+02
48	0.02	2.001788e+02
49	0.02	1.961032e+02
50	0.02	1.920685e+02
51	0.02	1.881521e+02
52	0.02	1.842795e+02
53	0.02	1.805168e+02
54	0.02	1.768001e+02
55	0.02	1.731858e+02
56	0.02	1.696191e+02
57	0.03	1.661482e+02
58	0.02	1.627254e+02
59	0.02	1.593930e+02
60	0.02	1.561084e+02
61	0.02	1.529091e+02
62	0.02	1.497574e+02
63	0.02	1.466862e+02
64	0.02	1.436623e+02
65	0.02	1.407142e+02
66	0.02	1.378132e+02
67	0.02	1.349835e+02
68	0.02	1.322003e+02
69	0.02	1.294844e+02
70	0.02	1.268144e+02
71	0.02	1.242079e+02
72	0.02	1.216465e+02
73	0.02	1.191452e+02
74	0.02	1.166881e+02
75	0.02	1.142878e+02
76	0.02	1.119308e+02
77	0.02	1.096276e+02
78	0.02	1.073666e+02
79	0.02	1.051567e+02
80	0.02	1.029879e+02
81	0.02	1.008676e+02
82	0.02	9.878721e+01
83	0.02	9.675289e+01
84	0.02	9.475739e+01
85	0.02	9.280566e+01
86	0.02	9.089158e+01
87	0.03	8.901914e+01
88	0.03	8.718319e+01
89	0.02	8.538687e+01
90	0.02	8.362588e+01
91	0.02	8.190261e+01
92	0.02	8.021364e+01
93	0.02	7.856044e+01
94	0.02	7.694049e+01
95	0.02	7.535459e+01
96	0.02	7.380084e+01
97	0.02	7.227956e+01
98	0.03	7.078928e+01
99	0.02	6.932997e+01
100	0.02	6.790059e+01
101	0.02	6.650075e+01
102	0.03	6.512977e+01
103	0.04	6.378699e+01
104	0.03	6.247203e+01
105	0.04	6.118404e+01
106	0.04	5.992280e+01
107	0.02	5.868751e+01
108	0.02	5.747773e+01
109	0.02	5.629292e+01
110	0.02	5.513256e+01
111	0.02	5.399614e+01
112	0.02	5.288328e+01
113	0.02	5.179322e+01
114	0.02	5.072585e+01
115	0.02	4.968026e+01
116	0.02	4.865653e+01
117	0.02	4.765361e+01
118	0.03	4.667172e+01
119	0.05	4.570973e+01
120	0.02	4.476799e+01
121	0.02	4.384525e+01
122	0.02	4.294202e+01
123	0.02	4.205694e+01
124	0.02	4.119063e+01
125	0.02	4.034169e+01
126	0.02	3.951080e+01
127	0.02	3.869650e+01
128	0.02	3.789958e+01
129	0.02	3.711852e+01
130	0.02	3.635419e+01
131	0.02	3.560501e+01
132	0.02	3.487193e+01
133	0.02	3.415333e+01
134	0.02	3.345022e+01
135	0.02	3.276096e+01
136	0.02	3.208660e+01
137	0.02	3.142547e+01
138	0.02	3.077868e+01
139	0.03	3.014454e+01
140	0.03	2.952419e+01
141	0.03	2.891594e+01
142	0.03	2.832095e+01
143	0.03	2.773753e+01
144	0.03	2.716687e+01
145	0.03	2.660726e+01
146	0.02	2.605993e+01
147	0.02	2.552316e+01
148	0.02	2.499821e+01
149	0.02	2.448334e+01
150	0.02	2.397985e+01
151	0.02	2.348600e+01
152	0.02	2.300310e+01
153	0.02	2.252940e+01
154	0.02	2.206624e+01
155	0.02	2.161187e+01
156	0.02	2.116764e+01
157	0.02	2.073182e+01
158	0.02	2.030575e+01
159	0.02	1.988771e+01
160	0.02	1.947906e+01
161	0.02	1.907807e+01
162	0.02	1.868613e+01
163	0.02	1.830150e+01
164	0.02	1.792558e+01
165	0.02	1.755665e+01
166	0.02	1.719609e+01
167	0.02	1.684221e+01
168	0.02	1.649639e+01
169	0.03	1.615694e+01
170	0.02	1.582525e+01
171	0.02	1.549965e+01
172	0.02	1.518152e+01
173	0.04	1.486920e+01
174	0.03	1.456407e+01
175	0.02	1.426449e+01
176	0.03	1.397183e+01
177	0.03	1.368446e+01
178	0.02	1.340377e+01
179	0.02	1.312812e+01
180	0.02	1.285889e+01
181	0.02	1.259448e+01
182	0.03	1.233626e+01
183	0.02	1.208263e+01
184	0.02	1.183496e+01
185	0.02	1.159166e+01
186	0.02	1.135411e+01
187	0.02	1.112074e+01
188	0.02	1.089289e+01
189	0.02	1.066903e+01
190	0.02	1.045049e+01
191	0.02	1.023575e+01
192	0.02	1.002615e+01
193	0.02	9.820156e+00
194	0.02	9.619115e+00
195	0.02	9.421515e+00
196	0.02	9.228688e+00
197	0.02	9.039139e+00
198	0.02	8.854189e+00
199	0.02	8.672360e+00
200	0.02	8.494966e+00
201	0.02	8.320543e+00
202	0.02	8.150396e+00
203	0.02	7.983076e+00
204	0.02	7.819879e+00
205	0.02	7.659372e+00
206	0.02	7.502840e+00
207	0.03	7.348869e+00
208	0.03	7.198731e+00
209	0.02	7.051027e+00
210	0.02	6.907021e+00
211	0.02	6.765329e+00
212	0.02	6.627204e+00
213	0.02	6.491278e+00
214	0.02	6.358794e+00
215	0.02	6.228400e+00
216	0.02	6.101326e+00
217	0.02	5.976236e+00
218	0.02	5.854351e+00
219	0.02	5.734350e+00
220	0.02	5.617442e+00
221	0.02	5.502322e+00
222	0.02	5.390187e+00
223	0.02	5.279748e+00
224	0.02	5.172192e+00
225	0.02	5.066243e+00
226	0.02	4.963078e+00
227	0.03	4.861437e+00
228	0.03	4.762483e+00
229	0.03	4.664972e+00
230	0.02	4.570058e+00
231	0.02	4.476510e+00
232	0.02	4.385470e+00
233	0.02	4.295724e+00
234	0.02	4.208399e+00
235	0.02	4.122298e+00
236	0.02	4.038538e+00
237	0.03	3.955934e+00
238	0.02	3.875592e+00
239	0.02	3.796342e+00
240	0.03	3.719279e+00
241	0.03	3.643247e+00
242	0.02	3.569328e+00
243	0.02	3.496382e+00
244	0.02	3.425479e+00
245	0.02	3.355494e+00
246	0.03	3.287484e+00
247	0.03	3.220338e+00
248	0.03	3.155102e+00
249	0.03	3.090680e+00
250	0.02	3.028106e+00
251	0.03	2.966296e+00
252	0.03	2.906274e+00
253	0.03	2.846970e+00
254	0.03	2.789397e+00
255	0.03	2.732497e+00
256	0.03	2.677271e+00
257	0.03	2.622677e+00
258	0.03	2.569704e+00
259	0.03	2.517322e+00
260	0.03	2.466509e+00
261	0.02	2.416248e+00
262	0.02	2.367507e+00
263	0.02	2.319282e+00
264	0.02	2.272528e+00
265	0.02	2.226254e+00
266	0.02	2.181406e+00
267	0.02	2.137006e+00
268	0.02	2.093986e+00
269	0.02	2.051382e+00
270	0.02	2.010116e+00
271	0.03	1.969235e+00
272	0.02	1.929650e+00
273	0.02	1.890422e+00
274	0.02	1.852451e+00
275	0.02	1.814808e+00
276	0.02	1.778384e+00
277	0.02	1.742263e+00
278	0.02	1.707323e+00
279	0.02	1.672661e+00
280	0.02	1.639144e+00
281	0.02	1.605881e+00
282	0.02	1.573730e+00
283	0.02	1.541810e+00
284	0.02	1.510969e+00
285	0.02	1.480337e+00
286	0.02	1.450751e+00
287	0.02	1.421355e+00
288	0.02	1.392974e+00
289	0.02	1.364763e+00
290	0.02	1.337538e+00
291	0.02	1.310463e+00
292	0.03	1.284347e+00
293	0.02	1.258363e+00
294	0.02	1.233310e+00
295	0.02	1.208373e+00
296	0.02	1.184339e+00
297	0.03	1.160406e+00
298	0.03	1.137350e+00
299	0.02	1.114380e+00
300	0.02	1.092262e+00
301	0.02	1.070216e+00
302	0.02	1.048998e+00
303	0.02	1.027838e+00
304	0.02	1.007484e+00
305	0.02	9.871735e-01
306	0.02	9.676471e-01
307	0.02	9.481528e-01
308	0.02	9.294205e-01
309	0.03	9.107087e-01
310	0.02	8.927381e-01
311	0.02	8.747770e-01
312	0.06	8.575371e-01
313	0.03	8.402963e-01
314	0.02	8.237571e-01
315	0.03	8.072073e-01
316	0.03	7.913404e-01
317	0.02	7.754535e-01
318	0.02	7.602314e-01
319	0.02	7.449804e-01
320	0.02	7.303768e-01
321	0.02	7.157361e-01
322	0.02	7.017258e-01
323	0.02	6.876704e-01
324	0.02	6.742292e-01
325	0.02	6.607355e-01
326	0.02	6.478401e-01
327	0.02	6.348853e-01
328	0.02	6.225135e-01
329	0.02	6.100757e-01
330	0.02	5.982061e-01
331	0.02	5.862644e-01
332	0.02	5.748766e-01
333	0.02	5.634108e-01
334	0.02	5.524851e-01
335	0.03	5.414760e-01
336	0.02	5.309935e-01
337	0.02	5.204225e-01
338	0.02	5.103652e-01
339	0.02	5.002147e-01
340	0.03	4.905653e-01
341	0.02	4.808181e-01
342	0.02	4.715599e-01
343	0.02	4.621998e-01
344	0.02	4.533169e-01
345	0.02	4.443282e-01
346	0.02	4.358052e-01
347	0.02	4.271729e-01
348	0.02	4.189953e-01
349	0.02	4.107048e-01
350	0.02	4.028585e-01
351	0.02	3.948962e-01
352	0.02	3.873675e-01
353	0.02	3.797201e-01
354	0.02	3.724962e-01
355	0.02	3.651509e-01
356	0.02	3.582195e-01
357	0.03	3.511640e-01
358	0.02	3.445131e-01
359	0.02	3.377359e-01
360	0.03	3.313539e-01
361	0.02	3.248437e-01
362	0.02	3.187199e-01
363	0.02	3.124658e-01
364	0.02	3.065896e-01
365	0.02	3.005814e-01
366	0.02	2.949427e-01
367	0.02	2.891704e-01
368	0.02	2.837595e-01
369	0.02	2.782137e-01
370	0.02	2.730214e-01
371	0.02	2.676929e-01
372	0.02	2.627102e-01
373	0.02	2.575903e-01
374	0.02	2.528087e-01
375	0.02	2.478890e-01
376	0.02	2.433004e-01
377	0.02	2.385727e-01
378	0.02	2.341692e-01
379	0.03	2.296259e-01
380	0.02	2.254000e-01
381	0.02	2.210336e-01
382	0.02	2.169780e-01
383	0.02	2.127815e-01
384	0.02	2.088893e-01
385	0.03	2.048559e-01
386	0.03	2.011205e-01
387	0.02	1.972435e-01
388	0.02	1.936585e-01
389	0.02	1.899317e-01
390	0.02	1.864909e-01
391	0.02	1.829083e-01
392	0.02	1.796060e-01
393	0.02	1.761617e-01
394	0.02	1.729922e-01
395	0.02	1.696808e-01
396	0.02	1.666387e-01
397	0.02	1.634548e-01
398	0.02	1.605349e-01
399	0.02	1.574735e-01
400	0.02	1.546708e-01
401	0.02	1.517269e-01
402	0.02	1.490367e-01
403	0.02	1.462056e-01
404	0.02	1.436234e-01
405	0.02	1.409006e-01
406	0.02	1.384219e-01
407	0.02	1.358031e-01
408	0.02	1.334238e-01
409	0.02	1.309048e-01
410	0.02	1.286208e-01
411	0.02	1.261977e-01
412	0.02	1.240051e-01
413	0.02	1.216740e-01
414	0.02	1.195692e-01
415	0.02	1.173265e-01
416	0.02	1.153058e-01
417	0.02	1.131479e-01
418	0.02	1.112080e-01
419	0.02	1.091317e-01
420	0.02	1.072693e-01
421	0.02	1.052711e-01
422	0.06	1.034831e-01
423	0.03	1.015601e-01
424	0.03	9.984333e-02
425	0.03	9.799248e-02
426	0.02	9.634420e-02
427	0.03	9.456264e-02
428	0.02	9.298004e-02
429	0.02	9.126503e-02
430	0.02	8.974545e-02
431	0.02	8.809435e-02
432	0.02	8.663523e-02
433	0.02	8.504552e-02
434	0.02	8.364442e-02
435	0.02	8.211367e-02
436	0.02	8.076823e-02
437	0.02	7.929412e-02
438	0.02	7.800211e-02
439	0.02	7.658240e-02
440	0.03	7.534164e-02
441	0.02	7.397419e-02
442	0.02	7.278261e-02
443	0.02	7.146536e-02
444	0.02	7.032099e-02
445	0.02	6.905197e-02
446	0.02	6.795288e-02
447	0.02	6.673020e-02
448	0.02	6.567457e-02
449	0.02	6.449641e-02
450	0.02	6.348249e-02
451	0.02	6.234709e-02
452	0.02	6.137320e-02
453	0.02	6.027890e-02
454	0.02	5.934342e-02
455	0.02	5.828861e-02
456	0.02	5.738999e-02
457	0.02	5.637313e-02
458	0.02	5.550988e-02
459	0.02	5.452949e-02
460	0.02	5.370019e-02
461	0.02	5.275485e-02
462	0.03	5.195812e-02
463	0.02	5.104647e-02
464	0.02	5.028101e-02
465	0.02	4.940174e-02
466	0.02	4.866629e-02
467	0.02	4.781813e-02
468	0.02	4.711148e-02
469	0.02	4.629324e-02
470	0.02	4.561423e-02
471	0.02	4.482475e-02
472	0.02	4.417227e-02
473	0.03	4.341044e-02
474	0.02	4.278342e-02
475	0.02	4.204817e-02
476	0.02	4.144560e-02
477	0.02	4.073589e-02
478	0.02	4.015678e-02
479	0.02	3.947166e-02
480	0.02	3.891506e-02
481	0.03	3.825356e-02
482	0.02	3.771859e-02
483	0.02	3.707981e-02
484	0.02	3.656558e-02
485	0.02	3.594866e-02
486	0.02	3.545435e-02
487	0.02	3.485845e-02
488	0.02	3.438325e-02
489	0.02	3.380757e-02
490	0.02	3.335073e-02
491	0.02	3.279450e-02
492	0.02	3.235528e-02
493	0.02	3.181775e-02
494	0.02	3.139544e-02
495	0.02	3.087592e-02
496	0.02	3.046985e-02
497	0.02	2.996764e-02
498	0.02	2.957716e-02
499	0.02	2.909162e-02
