#Iter	Time	Change
0	0.22	7.812116e+02
1	0.03	4.299364e+02
2	0.03	3.791128e+02
3	0.02	3.540370e+02
4	0.02	3.420097e+02
5	0.03	3.244639e+02
6	0.02	3.127609e+02
7	0.02	2.963820e+02
8	0.02	2.844399e+02
9	0.02	2.692274e+02
10	0.02	2.575930e+02
11	0.02	2.437227e+02
12	0.02	2.327972e+02
13	0.02	2.202761e+02
14	0.02	2.101729e+02
15	0.02	1.989312e+02
16	0.02	1.896839e+02
17	0.02	1.796182e+02
18	0.02	1.712103e+02
19	0.03	1.621953e+02
20	0.02	1.545829e+02
21	0.02	1.465021e+02
22	0.02	1.396110e+02
23	0.03	1.323616e+02
24	0.03	1.261261e+02
25	0.02	1.196173e+02
26	0.02	1.139751e+02
27	0.02	1.081270e+02
28	0.02	1.030213e+02
29	0.02	9.776232e+01
30	0.02	9.314155e+01
31	0.02	8.840918e+01
32	0.02	8.422627e+01
33	0.02	7.996465e+01
34	0.02	7.617733e+01
35	0.02	7.233749e+01
36	0.02	6.890750e+01
37	0.02	6.544625e+01
38	0.02	6.233912e+01
39	0.02	5.921754e+01
40	0.02	5.640247e+01
41	0.02	5.358619e+01
42	0.02	5.103543e+01
43	0.03	4.849375e+01
44	0.03	4.618227e+01
45	0.03	4.388779e+01
46	0.03	4.179309e+01
47	0.02	3.972119e+01
48	0.03	3.782311e+01
49	0.03	3.595196e+01
50	0.03	3.423192e+01
51	0.03	3.254157e+01
52	0.03	3.098288e+01
53	0.02	2.945569e+01
54	0.02	2.804319e+01
55	0.02	2.666321e+01
56	0.02	2.538321e+01
57	0.02	2.413599e+01
58	0.03	2.297617e+01
59	0.02	2.184878e+01
60	0.02	2.079787e+01
61	0.02	1.977875e+01
62	0.02	1.882654e+01
63	0.02	1.790517e+01
64	0.02	1.704244e+01
65	0.02	1.620938e+01
66	0.03	1.542784e+01
67	0.03	1.467454e+01
68	0.02	1.396659e+01
69	0.02	1.328539e+01
70	0.02	1.264416e+01
71	0.02	1.202809e+01
72	0.02	1.144731e+01
73	0.02	1.089011e+01
74	0.02	1.036410e+01
75	0.02	9.860117e+00
76	0.02	9.383729e+00
77	0.02	8.927868e+00
78	0.02	8.496423e+00
79	0.02	8.084084e+00
80	0.02	7.693350e+00
81	0.02	7.320376e+00
82	0.02	6.966518e+00
83	0.02	6.629150e+00
84	0.02	6.308693e+00
85	0.02	6.003531e+00
86	0.02	5.713327e+00
87	0.02	5.437296e+00
88	0.02	5.174490e+00
89	0.02	4.924809e+00
90	0.02	4.686816e+00
91	0.02	4.460969e+00
92	0.02	4.245448e+00
93	0.02	4.041159e+00
94	0.02	3.845988e+00
95	0.02	3.661198e+00
96	0.02	3.484455e+00
97	0.02	3.317301e+00
98	0.02	3.157245e+00
99	0.02	3.006043e+00
100	0.02	2.861097e+00
