#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.656840	0.745750	0.801681
0.686627	0.739772	0.835828
0.688423	0.761974	0.780432
0.681641	0.788302	0.796007
0.693713	0.761909	0.811881
0.668998	0.741871	0.775060
0.723903	0.731996	0.788689
0.672686	0.760525	0.830387
0.695140	0.741978	0.806687
0.704830	0.775503	0.789329
0.656203	0.756406	0.823702
0.691008	0.743082	0.785498
0.666877	0.760056	0.808278
0.677266	0.787825	0.777609
0.679198	0.756485	0.809236
0.652699	0.805383	0.792033
0.684182	0.765332	0.803279
0.658411	0.781138	0.802022
0.667579	0.757556	0.784213
0.632368	0.768620	0.820599
0.705491	0.761510	0.799400
0.659006	0.784477	0.798502
0.674071	0.771168	0.824958
0.696645	0.751424	0.831399
0.683606	0.766020	0.799979
0.702291	0.745901	0.812842
0.679054	0.733543	0.800466
0.655099	0.762971	0.807754
0.678214	0.766838	0.799545
0.675493	0.772792	0.791989
0.693543	0.768614	0.829081
0.689438	0.759907	0.783302
0.671154	0.723877	0.809022
0.685914	0.761400	0.798740
0.686916	0.759447	0.843534
0.684387	0.764388	0.826896
0.706359	0.773534	0.793334
0.665863	0.762350	0.804500
0.679628	0.779717	0.816238
0.692433	0.756361	0.812566
0.688668	0.750009	0.814298
0.667187	0.729543	0.774333
0.647319	0.750504	0.804559
0.682701	0.722113	0.808388
0.666257	0.753425	0.765974
0.687585	0.745804	0.834612
0.674202	0.755626	0.792828
0.699169	0.781779	0.775061
0.638556	0.789910	0.811712
0.685740	0.752716	0.804874
