#Iter	Time	Change
0	0.05	1.357376e+04
1	0.02	1.805718e+03
2	0.02	9.108689e+02
3	0.02	6.641754e+02
4	0.02	5.616012e+02
5	0.03	4.862946e+02
6	0.02	4.272180e+02
7	0.02	3.775119e+02
8	0.02	3.352421e+02
9	0.02	2.988073e+02
10	0.03	2.671868e+02
11	0.02	2.395693e+02
12	0.02	2.153254e+02
13	0.02	1.939468e+02
14	0.02	1.750195e+02
15	0.02	1.582025e+02
16	0.02	1.432127e+02
17	0.02	1.298126e+02
18	0.03	1.178027e+02
19	0.03	1.070133e+02
20	0.02	9.730014e+01
21	0.02	8.853929e+01
22	0.03	8.062405e+01
23	0.02	7.346204e+01
24	0.02	6.697286e+01
25	0.02	6.108628e+01
26	0.02	5.574069e+01
27	0.02	5.088179e+01
28	0.02	4.646161e+01
29	0.02	4.243758e+01
30	0.02	3.877181e+01
31	0.02	3.543050e+01
32	0.02	3.238339e+01
33	0.02	2.960336e+01
34	0.03	2.706599e+01
35	0.03	2.474932e+01
36	0.02	2.263352e+01
37	0.02	2.070065e+01
38	0.02	1.893450e+01
39	0.02	1.732035e+01
40	0.02	1.584486e+01
41	0.02	1.449591e+01
42	0.02	1.326248e+01
43	0.02	1.213454e+01
44	0.02	1.110297e+01
45	0.02	1.015943e+01
46	0.02	9.296356e+00
47	0.04	8.506824e+00
48	0.02	7.784523e+00
49	0.02	7.123694e+00
50	0.02	6.519076e+00
51	0.02	5.965866e+00
52	0.02	5.459674e+00
53	0.02	4.996489e+00
54	0.04	4.572647e+00
55	0.03	4.184795e+00
56	0.03	3.829871e+00
57	0.03	3.505073e+00
58	0.03	3.207839e+00
59	0.02	2.935826e+00
60	0.02	2.686891e+00
61	0.02	2.459073e+00
62	0.02	2.250580e+00
63	0.02	2.059770e+00
64	0.02	1.885142e+00
65	0.02	1.725323e+00
66	0.02	1.579057e+00
67	0.02	1.445193e+00
68	0.02	1.322680e+00
69	0.03	1.210554e+00
70	0.02	1.107934e+00
71	0.02	1.014015e+00
72	0.02	9.280576e-01
73	0.02	8.493877e-01
74	0.02	7.773871e-01
75	0.02	7.114903e-01
76	0.02	6.511797e-01
77	0.03	5.959817e-01
78	0.02	5.454628e-01
79	0.02	4.992264e-01
80	0.02	4.569094e-01
81	0.02	4.181795e-01
82	0.02	3.827327e-01
83	0.02	3.502905e-01
84	0.03	3.205984e-01
85	0.02	2.934231e-01
86	0.02	2.685514e-01
87	0.02	2.457879e-01
88	0.02	2.249540e-01
89	0.02	2.058861e-01
90	0.02	1.884344e-01
91	0.02	1.724620e-01
92	0.02	1.578435e-01
93	0.02	1.444642e-01
94	0.02	1.322189e-01
95	0.02	1.210116e-01
96	0.02	1.107542e-01
97	0.02	1.013664e-01
98	0.03	9.277421e-02
99	0.02	8.491037e-02
100	0.02	7.771310e-02
101	0.03	7.112589e-02
102	0.02	6.509704e-02
103	0.03	5.957921e-02
104	0.02	5.452909e-02
105	0.03	4.990704e-02
106	0.03	4.567676e-02
107	0.02	4.180506e-02
108	0.03	3.826154e-02
109	0.02	3.501837e-02
110	0.02	3.205011e-02
111	0.02	2.933345e-02
112	0.02	2.684706e-02
113	0.02	2.457142e-02
114	0.02	2.248867e-02
115	0.03	2.058247e-02
116	0.02	1.883784e-02
117	0.02	1.724109e-02
118	0.02	1.577968e-02
119	0.02	1.444215e-02
120	0.02	1.321799e-02
121	0.02	1.209760e-02
122	0.02	1.107217e-02
123	0.02	1.013366e-02
124	0.03	9.274702e-03
125	0.02	8.488552e-03
126	0.02	7.769038e-03
127	0.02	7.110512e-03
128	0.02	6.507805e-03
129	0.02	5.956185e-03
130	0.02	5.451322e-03
131	0.02	4.989253e-03
132	0.02	4.566350e-03
133	0.02	4.179293e-03
134	0.02	3.825044e-03
135	0.02	3.500823e-03
136	0.02	3.204084e-03
137	0.03	2.932497e-03
138	0.02	2.683930e-03
139	0.02	2.456433e-03
140	0.02	2.248219e-03
141	0.02	2.057654e-03
142	0.02	1.883241e-03
143	0.02	1.723613e-03
144	0.02	1.577515e-03
145	0.02	1.443800e-03
146	0.02	1.321420e-03
147	0.02	1.209413e-03
148	0.03	1.106900e-03
149	0.02	1.013076e-03
150	0.02	9.272049e-04
