#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.714468	0.788565	0.823451
0.701932	0.759813	0.794496
0.696760	0.755487	0.811992
0.689773	0.764055	0.796704
0.693871	0.780024	0.798918
0.701430	0.750978	0.794911
0.693772	0.774715	0.806642
0.684327	0.783678	0.836363
0.701620	0.741639	0.800415
0.695598	0.765884	0.780834
0.708771	0.772677	0.807563
0.684164	0.741313	0.776735
0.664733	0.783864	0.792722
0.675543	0.756012	0.799560
0.702374	0.741806	0.813872
0.698201	0.765473	0.798720
0.703516	0.780332	0.805658
0.679646	0.782634	0.794154
0.702242	0.773104	0.804762
0.715436	0.786732	0.820523
0.683272	0.755833	0.818859
0.677603	0.741601	0.804061
0.697382	0.756617	0.790400
0.683686	0.738791	0.804759
0.676414	0.736297	0.794741
0.717453	0.775805	0.850147
0.718639	0.787012	0.795159
0.742068	0.779278	0.796927
0.696008	0.809621	0.772032
0.713969	0.735418	0.795801
0.710662	0.765652	0.792413
0.703651	0.770738	0.820835
0.710063	0.757735	0.818859
0.673234	0.771396	0.825940
0.696335	0.762609	0.827659
0.682091	0.786405	0.825060
0.689806	0.775973	0.802676
0.677582	0.775495	0.791531
0.687041	0.764101	0.799657
0.684682	0.787030	0.798650
0.717071	0.742702	0.811691
0.661907	0.796312	0.824966
0.718308	0.784945	0.809851
0.685388	0.774583	0.812913
0.687357	0.777346	0.799636
0.723765	0.800091	0.779888
0.664532	0.773928	0.756674
0.707135	0.782069	0.825125
0.694021	0.763928	0.811878
0.666778	0.766114	0.826214
