#EntrezID	Name	Score	Degree
54665	RSBN1	0.020910	1520
4154	MBNL1	0.020901	1587
9877	ZC3H11A	0.020841	1283
64795	RMND5A	0.020838	1029
113251	LARP4	0.020837	1566
57532	NUFIP2	0.020824	1231
167227	DCP2	0.020824	1379
140890	SREK1	0.020818	1079
23429	RYBP	0.020809	1501
200576	PIKFYVE	0.020806	950
10285	SMNDC1	0.020794	1591
9559	VPS26A	0.020785	1462
26973	CHORDC1	0.020779	979
8036	SHOC2	0.020777	1642
7514	XPO1	0.020771	1899
54778	RNF111	0.020762	820
23369	PUM2	0.020761	2436
8087	FXR1	0.020761	1804
23394	ADNP	0.020757	1871
26019	UPF2	0.020756	1048
10097	ACTR2	0.020753	1044
9991	PTBP3	0.020750	1107
23411	SIRT1	0.020748	1588
11260	XPOT	0.020746	1753
3189	HNRNPH3	0.020742	1668
23049	SMG1	0.020742	890
22908	SACM1L	0.020738	1276
3192	HNRNPU	0.020737	1683
11231	SEC63	0.020735	1732
1739	DLG1	0.020728	1346
23200	ATP11B	0.020726	1060
9646	CTR9	0.020725	1522
64854	USP46	0.020718	1540
2673	GFPT1	0.020711	1373
51141	INSIG2	0.020711	1030
152006	RNF38	0.020710	1360
4673	NAP1L1	0.020708	1683
7110	TMF1	0.020707	1473
3181	HNRNPA2B1	0.020707	1749
10914	PAPOLA	0.020705	2962
9874	TLK1	0.020705	1249
7803	PTP4A1	0.020702	1268
22862	FNDC3A	0.020699	1402
2058	EPRS	0.020692	1348
3320	HSP90AA1	0.020689	1462
9320	TRIP12	0.020688	1383
3837	KPNB1	0.020686	1924
572	BAD	0.020680	1145
79095	C9orf16	0.020678	1152
56929	FEM1C	0.020673	663
57403	RAB22A	0.020671	1438
23002	DAAM1	0.020669	663
5494	PPM1A	0.020665	784
57472	CNOT6	0.020664	828
8650	NUMB	0.020634	1040
51024	FIS1	0.020633	920
11052	CPSF6	0.020626	1463
25906	ANAPC15	0.020623	619
7073	TIAL1	0.020614	850
10808	HSPH1	0.020603	1339
6120	RPE	0.020601	1518
8539	API5	0.020591	1849
27089	UQCRQ	0.020588	1149
10146	G3BP1	0.020578	1663
54542	RC3H2	0.020573	1020
5927	KDM5A	0.020572	696
80155	NAA15	0.020565	1006
54726	OTUD4	0.020562	874
23603	CORO1C	0.020561	996
10884	MRPS30	0.020560	1086
147339	C18orf25	0.020559	810
2067	ERCC1	0.020555	882
10424	PGRMC2	0.020554	1272
79006	METRN	0.020554	483
9931	HELZ	0.020553	959
5033	P4HA1	0.020553	727
79590	MRPL24	0.020546	1091
56647	BCCIP	0.020543	1858
29086	BABAM1	0.020538	803
27125	AFF4	0.020524	655
2879	GPX4	0.020523	630
80142	PTGES2	0.020520	525
57708	MIER1	0.020520	646
2647	BLOC1S1	0.020514	812
51693	TRAPPC2L	0.020509	849
23760	PITPNB	0.020505	969
1351	COX8A	0.020502	1040
28974	C19orf53	0.020498	785
80351	TNKS2	0.020472	286
25940	FAM98A	0.020470	979
25824	PRDX5	0.020464	712
7264	TSTA3	0.020461	1261
10522	DEAF1	0.020454	560
25864	ABHD14A	0.020453	949
10228	STX6	0.020445	814
293	SLC25A6	0.020444	872
11331	PHB2	0.020437	1525
8545	CGGBP1	0.020434	813
5605	MAP2K2	0.020428	1052
9377	COX5A	0.020427	1455
6415	SELENOW	0.020423	523
79139	DERL1	0.020420	1344
10120	ACTR1B	0.020418	695
328	APEX1	0.020417	1534
1808	DPYSL2	0.020416	743
6881	TAF10	0.020412	612
92597	MOB1B	0.020405	386
9317	PTER	0.020405	543
738	VPS51	0.020404	715
23770	FKBP8	0.020401	1047
2987	GUK1	0.020383	746
6400	SEL1L	0.020373	804
10746	MAP3K2	0.020371	326
57142	RTN4	0.020369	887
64743	WDR13	0.020358	660
11316	COPE	0.020353	766
7965	AIMP2	0.020344	1778
57182	ANKRD50	0.020343	478
5127	CDK16	0.020332	910
11152	WDR45	0.020331	951
4289	MKLN1	0.020329	455
57128	LYRM4	0.020326	774
56987	BBX	0.020325	408
64398	MPP5	0.020325	560
23039	XPO7	0.020322	677
56954	NIT2	0.020321	938
84817	TXNDC17	0.020310	1004
51762	RAB8B	0.020309	450
6526	SLC5A3	0.020308	353
9878	TOX4	0.020299	478
55152	DALRD3	0.020298	453
1468	SLC25A10	0.020296	623
5144	PDE4D	0.020296	503
56904	SH3GLB2	0.020290	612
57570	TRMT5	0.020290	925
10400	PEMT	0.020289	392
116150	NUS1	0.020286	426
63941	NECAB3	0.020285	584
84919	PPP1R15B	0.020283	403
10445	MCRS1	0.020282	591
26268	FBXO9	0.020269	766
64116	SLC39A8	0.020265	481
10087	COL4A3BP	0.020265	293
170463	SSBP4	0.020262	538
23089	PEG10	0.020253	515
55279	ZNF654	0.020251	275
8525	DGKZ	0.020249	894
80306	MED28	0.020248	673
85465	SELENOI	0.020246	573
22824	HSPA4L	0.020229	201
10460	TACC3	0.020229	1100
7436	VLDLR	0.020216	490
1869	E2F1	0.020213	904
25896	INTS7	0.020212	618
128240	NAXE	0.020205	555
50649	ARHGEF4	0.020195	1230
84304	NUDT22	0.020188	606
818	CAMK2G	0.020188	1088
160760	PPTC7	0.020186	214
138162	C9orf116	0.020181	407
84458	LCOR	0.020178	188
54681	P4HTM	0.020178	397
80055	PGAP1	0.020178	440
56986	DTWD1	0.020177	412
8704	B4GALT2	0.020174	415
3338	DNAJC4	0.020171	2671
2356	FPGS	0.020167	196
79071	ELOVL6	0.020158	723
2066	ERBB4	0.020157	1450
55004	LAMTOR1	0.020155	432
54587	MXRA8	0.020141	739
50650	ARHGEF3	0.020140	490
149041	RC3H1	0.020136	187
57799	RAB40C	0.020135	1162
23543	RBFOX2	0.020134	979
64236	PDLIM2	0.020129	461
4524	MTHFR	0.020128	1162
159090	FAM122B	0.020128	628
6944	VPS72	0.020127	545
54461	FBXW5	0.020122	513
10485	C1orf61	0.020122	1918
221895	JAZF1	0.020121	486
283464	GXYLT1	0.020117	248
1826	DSCAM	0.020115	793
126792	B3GALT6	0.020115	424
1397	CRIP2	0.020113	573
9905	SGSM2	0.020112	807
2149	F2R	0.020112	343
2334	AFF2	0.020112	1728
121536	AEBP2	0.020107	365
29882	ANAPC2	0.020106	418
8986	RPS6KA4	0.020105	555
54858	PGPEP1	0.020102	490
56146	PCDHA2	0.020102	816
1465	CSRP1	0.020095	486
3356	HTR2A	0.020093	1168
389677	RBM12B	0.020092	1128
4185	ADAM11	0.020089	950
604	BCL6	0.020089	465
6540	SLC6A13	0.020084	904
27077	B9D1	0.020083	448
80347	COASY	0.020077	457
7077	TIMP2	0.020076	787
1813	DRD2	0.020075	2169
3084	NRG1	0.020072	997
92305	TMEM129	0.020071	514
4974	OMG	0.020069	408
2558	GABRA5	0.020068	569
8976	WASL	0.020067	322
8303	SNN	0.020066	549
3481	IGF2	0.020063	901
57223	PPP4R3B	0.020061	244
636	BICD1	0.020060	610
51257	MARCH2	0.020059	167
127253	TYW3	0.020049	446
91404	SESTD1	0.020048	232
6988	TCTA	0.020047	264
9127	P2RX6	0.020045	1783
51706	CYB5R1	0.020044	420
8658	TNKS	0.020042	348
10116	FEM1B	0.020042	228
3730	ANOS1	0.020040	418
116	ADCYAP1	0.020039	705
115708	TRMT61A	0.020038	479
8482	SEMA7A	0.020038	932
22847	ZNF507	0.020034	584
51162	EGFL7	0.020033	350
9069	CLDN12	0.020032	222
8912	CACNA1H	0.020030	843
84681	HINT2	0.020026	388
10622	POLR3G	0.020023	343
51308	REEP2	0.020020	322
9088	PKMYT1	0.020017	549
755	C21orf2	0.020017	1482
7923	HSD17B8	0.020016	378
56829	ZC3HAV1	0.020014	308
3658	IREB2	0.020009	193
576	ADGRB2	0.020003	362
83444	INO80B	0.020002	240
347734	SLC35B2	0.019999	321
8646	CHRD	0.019999	1015
55466	DNAJA4	0.019998	645
63905	MANBAL	0.019995	204
2047	EPHB1	0.019994	510
5878	RAB5C	0.019994	312
84279	PRADC1	0.019994	231
114926	SMIM19	0.019993	430
28988	DBNL	0.019992	285
793	CALB1	0.019992	267
688	KLF5	0.019990	467
57188	ADAMTSL3	0.019985	638
144402	CPNE8	0.019984	229
115209	OMA1	0.019983	321
23034	SAMD4A	0.019982	433
92	ACVR2A	0.019978	312
29801	ZDHHC8	0.019973	301
84993	UBL7	0.019972	189
54891	INO80D	0.019970	679
79180	EFHD2	0.019969	419
153222	CREBRF	0.019968	327
55787	TXLNG	0.019967	216
1809	DPYSL3	0.019964	488
3489	IGFBP6	0.019962	420
6624	FSCN1	0.019953	515
340719	NANOS1	0.019952	401
363	AQP6	0.019952	741
57447	NDRG2	0.019950	345
64759	TNS3	0.019948	412
8835	SOCS2	0.019945	227
55588	MED29	0.019943	311
85452	CFAP74	0.019939	763
2788	GNG7	0.019938	361
2155	F7	0.019937	482
3698	ITIH2	0.019935	383
317	APAF1	0.019932	277
84572	GNPTG	0.019930	289
23761	PISD	0.019926	327
5991	RFX3	0.019925	299
1298	COL9A2	0.019921	333
27185	DISC1	0.019919	657
80775	TMEM177	0.019918	393
30815	ST6GALNAC6	0.019918	188
246175	CNOT6L	0.019918	290
10268	RAMP3	0.019916	382
283742	FAM98B	0.019915	283
253982	ASPHD1	0.019915	327
90990	KIFC2	0.019912	365
91252	SLC39A13	0.019911	280
2954	GSTZ1	0.019907	207
8476	CDC42BPA	0.019907	358
23210	JMJD6	0.019906	365
5502	PPP1R1A	0.019903	321
63826	SRR	0.019902	309
55652	SLC48A1	0.019894	199
4147	MATN2	0.019887	432
2562	GABRB3	0.019883	335
1135	CHRNA2	0.019877	327
80014	WWC2	0.019871	303
64419	MTMR14	0.019871	289
84275	SLC25A33	0.019869	258
8991	SELENBP1	0.019869	380
10999	SLC27A4	0.019868	265
5201	PFDN1	0.019868	170
4636	MYL5	0.019867	212
26052	DNM3	0.019867	274
4015	LOX	0.019863	330
51621	KLF13	0.019858	262
22881	ANKRD6	0.019858	257
2702	GJA5	0.019857	341
57795	BRINP2	0.019856	269
162427	RETREG3	0.019852	356
105	ADARB2	0.019847	312
55257	MRGBP	0.019845	294
1238	ACKR2	0.019842	370
25849	PARM1	0.019842	275
65263	PYCR3	0.019837	103
5999	RGS4	0.019828	308
4084	MXD1	0.019825	159
79812	MMRN2	0.019822	295
64376	IKZF5	0.019820	172
133746	JMY	0.019816	231
83450	DRC3	0.019814	332
4582	MUC1	0.019812	475
80223	RAB11FIP1	0.019807	185
26873	OPLAH	0.019805	114
6532	SLC6A4	0.019804	427
10168	ZNF197	0.019798	245
80148	PQLC1	0.019791	163
85378	TUBGCP6	0.019785	252
26220	DGCR5	0.019785	260
3763	KCNJ6	0.019785	153
90485	ZNF835	0.019783	259
64393	ZMAT3	0.019781	96
114294	LACTB	0.019780	187
1827	RCAN1	0.019778	257
3552	IL1A	0.019774	195
85442	KNDC1	0.019769	362
56145	PCDHA3	0.019764	171
27	ABL2	0.019763	278
64282	PAPD5	0.019759	109
89958	SAPCD2	0.019758	246
6035	RNASE1	0.019758	328
79834	PEAK1	0.019751	185
348	APOE	0.019751	393
10814	CPLX2	0.019747	290
5786	PTPRA	0.019746	123
2134	EXTL1	0.019745	155
56245	C21orf62	0.019744	291
80737	VWA7	0.019744	210
85464	SSH2	0.019742	169
7188	TRAF5	0.019741	179
2038	EPB42	0.019741	241
10234	LRRC17	0.019732	306
3479	IGF1	0.019731	377
83482	SCRT1	0.019731	280
8001	GLRA3	0.019723	281
330	BIRC3	0.019717	168
845	CASQ2	0.019716	153
9244	CRLF1	0.019713	222
23457	ABCB9	0.019712	261
6320	CLEC11A	0.019705	164
2561	GABRB2	0.019704	292
162394	SLFN5	0.019702	187
205	AK4	0.019702	155
9750	RIPOR2	0.019701	108
56886	UGGT1	0.019701	116
