#Iter	Time	Change
0	0.40	7.586423e+02
1	0.04	4.229490e+02
2	0.05	3.880660e+02
3	0.05	3.609062e+02
4	0.04	3.563543e+02
5	0.04	3.376164e+02
6	0.04	3.328829e+02
7	0.04	3.160745e+02
8	0.04	3.102601e+02
9	0.04	2.949731e+02
10	0.04	2.885757e+02
11	0.04	2.747205e+02
12	0.04	2.681061e+02
13	0.04	2.555949e+02
14	0.04	2.490230e+02
15	0.04	2.377266e+02
16	0.04	2.313340e+02
17	0.04	2.211085e+02
18	0.04	2.149528e+02
19	0.05	2.056833e+02
20	0.04	1.997991e+02
21	0.04	1.913778e+02
22	0.05	1.857834e+02
23	0.04	1.781150e+02
24	0.05	1.728149e+02
25	0.05	1.658156e+02
26	0.05	1.608045e+02
27	0.05	1.544027e+02
28	0.04	1.496734e+02
29	0.05	1.438068e+02
30	0.05	1.393512e+02
31	0.05	1.339646e+02
32	0.05	1.297742e+02
33	0.04	1.248191e+02
34	0.05	1.208834e+02
35	0.30	1.163168e+02
36	0.05	1.126239e+02
37	0.05	1.084088e+02
38	0.04	1.049463e+02
39	0.05	1.010508e+02
40	0.04	9.780571e+01
41	0.04	9.420183e+01
42	0.05	9.116173e+01
43	0.05	8.782485e+01
44	0.04	8.497790e+01
45	0.06	8.188600e+01
46	0.04	7.922084e+01
47	0.04	7.635409e+01
48	0.04	7.385989e+01
49	0.04	7.120037e+01
50	0.04	6.886683e+01
51	0.04	6.639830e+01
52	0.04	6.421565e+01
53	0.04	6.192333e+01
54	0.04	5.988233e+01
55	0.04	5.775276e+01
56	0.04	5.584464e+01
57	0.05	5.386553e+01
58	0.05	5.208202e+01
59	0.05	5.024212e+01
60	0.04	4.857541e+01
61	0.05	4.686449e+01
62	0.04	4.530716e+01
63	0.04	4.371575e+01
64	0.04	4.226084e+01
65	0.07	4.078023e+01
66	0.04	3.942121e+01
67	0.05	3.804336e+01
68	0.06	3.677411e+01
69	0.05	3.549161e+01
70	0.04	3.430635e+01
71	0.05	3.311240e+01
72	0.05	3.200571e+01
73	0.05	3.089399e+01
74	0.11	2.986078e+01
75	0.04	2.882547e+01
76	0.04	2.786096e+01
77	0.04	2.689667e+01
78	0.05	2.599638e+01
79	0.04	2.509810e+01
80	0.05	2.425784e+01
81	0.04	2.342095e+01
82	0.05	2.263678e+01
83	0.05	2.185700e+01
84	0.04	2.112522e+01
85	0.04	2.039857e+01
86	0.04	1.971573e+01
87	0.04	1.903852e+01
88	0.04	1.840140e+01
89	0.03	1.777020e+01
90	0.05	1.717577e+01
91	0.04	1.658740e+01
92	0.03	1.603282e+01
93	0.05	1.548434e+01
94	0.04	1.496697e+01
95	0.05	1.445561e+01
96	0.05	1.397298e+01
97	0.04	1.349620e+01
98	0.04	1.304599e+01
99	0.05	1.260142e+01
100	0.08	1.218147e+01
101	0.07	1.176689e+01
102	0.05	1.137519e+01
103	0.05	1.098855e+01
104	0.05	1.062320e+01
105	0.05	1.026260e+01
106	0.05	9.921843e+00
107	0.05	9.585496e+00
108	0.05	9.267682e+00
109	0.05	8.953936e+00
110	0.04	8.657530e+00
111	0.04	8.364844e+00
112	0.04	8.088410e+00
113	0.04	7.815351e+00
114	0.04	7.557549e+00
115	0.04	7.302781e+00
116	0.04	7.062360e+00
117	0.04	6.824641e+00
118	0.04	6.600433e+00
119	0.05	6.378605e+00
120	0.04	6.169519e+00
121	0.05	5.962504e+00
122	0.04	5.767525e+00
123	0.04	5.574317e+00
124	0.04	5.392496e+00
125	0.04	5.212160e+00
126	0.04	5.042610e+00
127	0.04	4.874275e+00
128	0.06	4.716171e+00
129	0.04	4.559024e+00
130	0.04	4.411595e+00
131	0.04	4.264880e+00
132	0.04	4.127405e+00
133	0.04	3.990417e+00
134	0.04	3.862227e+00
135	0.04	3.734308e+00
136	0.04	3.614777e+00
137	0.04	3.495315e+00
138	0.04	3.383859e+00
139	0.10	3.272283e+00
140	0.06	3.168357e+00
141	0.05	3.064136e+00
142	0.05	2.967233e+00
143	0.04	2.869871e+00
144	0.05	2.779517e+00
145	0.05	2.688551e+00
146	0.05	2.604304e+00
147	0.06	2.519304e+00
148	0.04	2.440753e+00
149	0.04	2.361317e+00
150	0.04	2.288077e+00
151	0.04	2.213831e+00
152	0.04	2.145543e+00
153	0.05	2.076140e+00
154	0.05	2.012470e+00
155	0.05	1.947582e+00
156	0.04	1.888219e+00
157	0.04	1.827544e+00
158	0.04	1.772197e+00
159	0.05	1.715453e+00
160	0.04	1.663850e+00
161	0.04	1.610772e+00
162	0.04	1.562662e+00
163	0.05	1.513005e+00
164	0.04	1.468151e+00
165	0.05	1.421687e+00
166	0.05	1.379869e+00
167	0.06	1.336383e+00
168	0.04	1.297397e+00
169	0.04	1.256690e+00
170	0.04	1.220344e+00
171	0.04	1.182231e+00
172	0.04	1.148348e+00
173	0.04	1.112654e+00
174	0.04	1.081067e+00
175	0.04	1.047633e+00
176	0.04	1.018186e+00
177	0.04	9.868603e-01
178	0.04	9.594104e-01
179	0.04	9.300521e-01
180	0.05	9.044640e-01
181	0.04	8.769426e-01
182	0.04	8.530906e-01
183	0.04	8.272839e-01
184	0.04	8.050508e-01
185	0.03	7.808449e-01
186	0.03	7.601215e-01
187	0.04	7.374103e-01
188	0.04	7.180946e-01
189	0.04	6.967790e-01
190	0.04	6.787760e-01
191	0.04	6.587636e-01
192	0.04	6.419848e-01
193	0.04	6.231894e-01
194	0.04	6.075522e-01
195	0.04	5.898934e-01
196	0.04	5.753207e-01
197	0.03	5.587236e-01
198	0.04	5.451436e-01
199	0.04	5.295383e-01
200	0.03	5.168840e-01
201	0.03	5.022052e-01
202	0.04	4.904141e-01
203	0.04	4.766011e-01
204	0.03	4.656150e-01
205	0.04	4.526108e-01
206	0.04	4.423754e-01
207	0.04	4.301273e-01
208	0.04	4.205919e-01
209	0.04	4.090504e-01
210	0.03	4.001678e-01
211	0.04	3.892868e-01
212	0.03	3.810129e-01
213	0.03	3.707495e-01
214	0.03	3.630433e-01
215	0.03	3.533573e-01
216	0.03	3.461805e-01
217	0.04	3.370345e-01
218	0.03	3.303514e-01
219	0.03	3.217105e-01
220	0.03	3.154877e-01
221	0.04	3.073193e-01
222	0.04	3.015259e-01
223	0.04	2.937996e-01
224	0.04	2.884064e-01
225	0.04	2.810939e-01
226	0.03	2.760741e-01
227	0.03	2.691488e-01
228	0.03	2.644771e-01
229	0.03	2.579144e-01
230	0.03	2.535673e-01
231	0.03	2.473441e-01
232	0.04	2.432998e-01
233	0.04	2.373945e-01
234	0.03	2.336325e-01
235	0.04	2.280250e-01
236	0.04	2.245263e-01
237	0.04	2.191980e-01
238	0.04	2.159447e-01
239	0.04	2.108780e-01
240	0.04	2.078536e-01
241	0.03	2.030322e-01
242	0.05	2.002213e-01
243	0.04	1.956298e-01
244	0.04	1.930180e-01
245	0.03	1.886422e-01
246	0.03	1.862160e-01
247	0.03	1.820426e-01
248	0.03	1.797895e-01
249	0.03	1.758062e-01
250	0.03	1.737144e-01
251	0.04	1.699094e-01
252	0.04	1.679682e-01
253	0.04	1.643308e-01
254	0.04	1.625298e-01
255	0.04	1.590498e-01
256	0.04	1.573797e-01
257	0.04	1.540477e-01
258	0.04	1.524995e-01
259	0.04	1.493066e-01
260	0.05	1.478721e-01
261	0.04	1.448102e-01
262	0.04	1.434817e-01
263	0.04	1.405429e-01
264	0.04	1.393133e-01
265	0.04	1.364904e-01
266	0.04	1.353529e-01
267	0.04	1.326392e-01
268	0.04	1.315877e-01
269	0.04	1.289769e-01
270	0.04	1.280055e-01
271	0.03	1.254917e-01
272	0.04	1.245949e-01
273	0.04	1.221726e-01
274	0.04	1.213453e-01
275	0.03	1.190094e-01
276	0.03	1.182470e-01
277	0.04	1.159926e-01
278	0.04	1.152907e-01
279	0.03	1.131133e-01
280	0.04	1.124677e-01
281	0.03	1.103631e-01
282	0.03	1.097700e-01
283	0.03	1.077342e-01
284	0.04	1.071900e-01
285	0.04	1.052195e-01
286	0.04	1.047208e-01
287	0.04	1.028120e-01
288	0.04	1.023558e-01
