#EntrezID	Name	Score	Degree
285513	GPRIN3	0.849079	2
10251	SPRY3	0.847784	2
10178	TENM1	0.844663	2
94122	SYTL5	0.844406	2
256130	TMEM196	0.843296	2
122970	ACOT4	0.842853	2
255239	ANKK1	0.841980	2
140767	NRSN1	0.841135	2
159371	SLC35G1	0.836853	2
5067	CNTN3	0.820661	2
27146	FAM184B	0.784255	3
631	BFSP1	0.783631	3
152002	XXYLT1	0.781318	3
8972	MGAM	0.779233	3
255275	MYADML2	0.776898	3
79785	RERGL	0.775952	3
574036	SERTAD4-AS1	0.772490	3
66035	SLC2A11	0.768813	4
25870	SUMF2	0.765893	3
129804	FBLN7	0.763596	3
94160	ABCC12	0.753623	5
65065	NBEAL1	0.750386	4
284076	TTLL6	0.745972	3
56953	NT5M	0.743521	5
161198	CLEC14A	0.725404	4
654429	LRTM2	0.724506	4
151835	CPNE9	0.723796	4
92126	DSEL	0.713532	5
284358	MAMSTR	0.712149	5
92241	RCSD1	0.708706	4
387640	SKIDA1	0.707318	5
116443	GRIN3A	0.706674	5
260434	PYDC1	0.705733	5
51281	ANKMY1	0.705010	8
55714	TENM3	0.702495	5
56961	SHD	0.700986	5
7762	ZNF215	0.699168	5
129450	TYW5	0.697568	6
150383	CDPF1	0.694668	5
8916	HERC3	0.665424	7
388341	LRRC75A	0.664670	8
284370	ZNF615	0.661956	9
92745	SLC38A5	0.659642	7
27152	INTU	0.658479	9
253512	SLC25A30	0.657407	9
10361	NPM2	0.656614	8
284111	SLC13A5	0.655486	7
115827	RAB3C	0.653983	6
192286	HIGD2A	0.652633	15
128439	SNHG11	0.649232	10
89932	PAPLN	0.643430	10
80199	FUZ	0.642303	13
57687	VAT1L	0.641666	9
84152	PPP1R1B	0.638951	7
285636	C5orf51	0.637983	16
79669	C3orf52	0.637059	13
79041	TMEM38A	0.635486	8
285220	EPHA6	0.630720	8
55086	CXorf57	0.629750	13
25989	ULK3	0.627359	24
84276	NICN1	0.626640	17
100128822	LINC01003	0.626303	13
254295	PHYHD1	0.625889	16
347862	GATD1	0.625089	31
7976	FZD3	0.625017	19
285193	DUSP28	0.623292	19
129807	NEU4	0.622609	10
100131067	CKMT2-AS1	0.618685	16
9734	HDAC9	0.616418	36
148641	SLC35F3	0.615749	15
114984	FLYWCH2	0.614958	28
80124	VCPIP1	0.613351	55
84269	CHCHD5	0.612868	26
55532	SLC30A10	0.610002	14
152185	SPICE1	0.609837	34
64320	RNF25	0.609651	27
129787	TMEM18	0.609224	35
149041	RC3H1	0.608198	187
64282	PAPD5	0.607644	109
154007	SNRNP48	0.607502	25
84552	PARD6G	0.607133	16
149345	SHISA4	0.606651	43
3598	IL13RA2	0.606578	12
84458	LCOR	0.606327	188
161357	MDGA2	0.605747	27
474344	GIMAP6	0.605400	16
65988	ZNF747	0.604583	17
