#EntrezID	Name	Score	Degree
3371	TNC	0.988753	352
3123	HLA-DRB1	0.988649	93
1290	COL5A2	0.988603	314
1293	COL6A3	0.988581	131
2335	FN1	0.988573	484
7058	THBS2	0.988556	159
10398	MYL9	0.988555	280
3791	KDR	0.988551	84
1284	COL4A2	0.988543	914
1282	COL4A1	0.988535	642
2191	FAP	0.988535	111
1281	COL3A1	0.988531	395
4478	MSN	0.988526	608
3127	HLA-DRB5	0.988523	94
7057	THBS1	0.988495	778
83700	JAM3	0.988488	120
2317	FLNB	0.988484	487
3678	ITGA5	0.988474	608
5159	PDGFRB	0.988473	185
858	CAV2	0.988472	621
3912	LAMB1	0.988467	612
4313	MMP2	0.988460	710
4627	MYH9	0.988457	391
1289	COL5A1	0.988454	600
7424	VEGFC	0.988437	340
3675	ITGA3	0.988414	403
2247	FGF2	0.988413	437
857	CAV1	0.988411	604
87	ACTN1	0.988408	793
7408	VASP	0.988401	265
3115	HLA-DPB1	0.988397	72
3673	ITGA2	0.988397	457
389	RHOC	0.988394	181
3693	ITGB5	0.988393	723
1278	COL1A2	0.988386	410
3107	HLA-C	0.988368	531
7431	VIM	0.988368	628
390	RND3	0.988362	659
5154	PDGFA	0.988358	579
6464	SHC1	0.988357	363
1277	COL1A1	0.988355	783
2316	FLNA	0.988346	934
5329	PLAUR	0.988345	732
55742	PARVA	0.988344	429
1287	COL4A5	0.988339	517
4267	CD99	0.988337	612
3135	HLA-G	0.988333	383
2318	FLNC	0.988332	354
3915	LAMC1	0.988330	1622
7412	VCAM1	0.988318	104
3914	LAMB3	0.988318	303
5829	PXN	0.988315	804
4233	MET	0.988313	804
1292	COL6A2	0.988311	1093
1301	COL11A1	0.988311	129
1793	DOCK1	0.988309	474
3134	HLA-F	0.988308	449
27	ABL2	0.988304	278
6237	RRAS	0.988304	396
7082	TJP1	0.988302	847
4638	MYLK	0.988300	446
3105	HLA-A	0.988298	495
5578	PRKCA	0.988292	717
7094	TLN1	0.988292	374
25945	NECTIN3	0.988287	333
5792	PTPRF	0.988284	553
3679	ITGA7	0.988282	468
80310	PDGFD	0.988273	117
6840	SVIL	0.988272	631
3106	HLA-B	0.988264	673
2017	CTTN	0.988264	330
5817	PVR	0.988258	487
2037	EPB41L2	0.988254	377
3655	ITGA6	0.988251	673
3688	ITGB1	0.988250	564
8976	WASL	0.988249	322
3108	HLA-DMA	0.988248	172
