#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.535422	0.657076	0.650918
0.560127	0.667514	0.685412
0.482747	0.627821	0.685666
0.572862	0.626526	0.683891
0.530668	0.648695	0.695002
0.571595	0.639463	0.696472
0.567876	0.671170	0.711821
0.574442	0.670728	0.643952
0.523986	0.629448	0.709617
0.530144	0.633224	0.691029
0.531023	0.651692	0.682124
0.565047	0.657969	0.680553
0.521375	0.640902	0.688059
0.555913	0.646112	0.660633
0.528756	0.662174	0.682636
0.556603	0.666818	0.677996
0.524465	0.657090	0.716937
0.565137	0.643757	0.701140
0.575422	0.673664	0.714375
0.547124	0.626734	0.737096
0.529773	0.670224	0.701736
0.535385	0.648107	0.698305
0.588449	0.688141	0.680983
0.507537	0.658288	0.673681
0.515825	0.642372	0.682665
0.546953	0.666229	0.693960
0.562646	0.640407	0.653286
0.589279	0.720213	0.706081
0.597152	0.661606	0.700215
0.578420	0.658487	0.708801
0.560440	0.689887	0.718560
0.562449	0.684540	0.709148
0.500728	0.673008	0.665747
0.561621	0.653433	0.686294
0.554271	0.673487	0.682974
0.572938	0.661072	0.661625
0.529245	0.684233	0.678979
0.542651	0.670826	0.739274
0.537714	0.688299	0.690853
0.538137	0.643513	0.728619
0.550530	0.620438	0.682323
0.510707	0.660190	0.655292
0.553346	0.664712	0.703097
0.544904	0.638107	0.668503
0.522810	0.671825	0.662422
0.546485	0.636468	0.639192
0.541922	0.670052	0.676367
0.558691	0.672039	0.689153
0.582431	0.669138	0.693163
0.568842	0.690044	0.672623
