#EntrezID	Name	Score	Degree
9075	CLDN2	0.847340	2
10686	CLDN16	0.787174	3
29126	CD274	0.779590	3
85477	SCIN	0.778892	3
91807	MYLK3	0.772510	4
245932	DEFB119	0.772510	3
90246	LOC90246	0.772509	2
57644	MYH7B	0.760525	4
57502	NLGN4X	0.733641	5
64098	PARVG	0.729867	11
255631	COL24A1	0.724024	4
4622	MYH4	0.718490	6
9073	CLDN8	0.715765	6
89846	FGD3	0.713326	5
55844	PPP2R2D	0.704178	6
137075	CLDN23	0.690807	8
1950	EGF	0.684676	10
84552	PARD6G	0.682855	16
9087	TMSB4Y	0.669830	7
10718	NRG3	0.665103	9
92359	CRB3	0.656305	11
1493	CTLA4	0.653533	17
6401	SELE	0.649841	7
24146	CLDN15	0.646938	9
1128	CHRM1	0.644067	9
57689	LRRC4C	0.642122	10
374	AREG	0.640495	23
5294	PIK3CG	0.639518	17
3071	NCKAP1L	0.637565	28
3683	ITGAL	0.636697	31
3791	KDR	0.634538	84
925	CD8A	0.634313	23
7122	CLDN5	0.634022	37
3123	HLA-DRB1	0.631213	93
3115	HLA-DPB1	0.630001	72
3672	ITGA1	0.627603	12
3127	HLA-DRB5	0.626616	94
2069	EREG	0.620286	36
3109	HLA-DMB	0.619187	87
624	BDKRB2	0.618919	21
64101	LRRC4	0.618236	14
2191	FAP	0.617873	111
3381	IBSP	0.617026	11
1496	CTNNA2	0.614995	24
3122	HLA-DRA	0.614541	179
5175	PECAM1	0.614214	174
6696	SPP1	0.613756	39
2277	VEGFD	0.613300	19
6402	SELL	0.612361	37
1131	CHRM3	0.611937	33
3126	HLA-DRB4	0.611476	86
7409	VAV1	0.611000	59
3957	LGALS2	0.610271	2
3125	HLA-DRB3	0.610271	111
3695	ITGB7	0.607587	32
3108	HLA-DMA	0.606663	172
1003	CDH5	0.606501	62
22801	ITGA11	0.606023	40
83700	JAM3	0.603942	120
4318	MMP9	0.603942	124
7448	VTN	0.603655	42
942	CD86	0.602941	127
80380	PDCD1LG2	0.602201	27
7058	THBS2	0.601902	159
3266	ERAS	0.601490	3
58494	JAM2	0.600876	120
1366	CLDN7	0.600848	94
5788	PTPRC	0.600627	152
3694	ITGB6	0.600533	108
1803	DPP4	0.599940	34
3059	HCLS1	0.599786	99
55799	CACNA2D3	0.599741	2
5579	PRKCB	0.599741	135
3384	ICAM2	0.599136	102
10398	MYL9	0.597249	280
9564	BCAR1	0.596927	107
3918	LAMC2	0.596769	155
929	CD14	0.596158	127
9076	CLDN1	0.596142	127
6776	STAT5A	0.596118	45
3371	TNC	0.596106	352
5159	PDGFRB	0.595925	185
3687	ITGAX	0.595649	110
4815	NINJ2	0.595334	2
6404	SELPLG	0.595334	251
5336	PLCG2	0.594925	78
959	CD40LG	0.594899	29
3113	HLA-DPA1	0.594466	204
22808	MRAS	0.594157	44
947	CD34	0.593453	335
914	CD2	0.593032	47
940	CD28	0.592504	72
3909	LAMA3	0.592468	190
10666	CD226	0.592157	16
7057	THBS1	0.592051	778
149461	CLDN19	0.591968	51
84628	NTNG2	0.591688	37
399716	LOC399716	0.591635	2
5588	PRKCQ	0.591635	52
3673	ITGA2	0.591539	457
6614	SIGLEC1	0.591511	185
1001	CDH3	0.591502	169
56924	PAK6	0.591410	45
260425	MAGI3	0.591272	63
3914	LAMB3	0.591154	303
22871	NLGN1	0.590956	121
5305	PIP4K2A	0.590717	98
389	RHOC	0.590544	181
57530	CGN	0.590332	108
5010	CLDN11	0.590316	70
7412	VCAM1	0.590312	104
1284	COL4A2	0.589484	914
1289	COL5A1	0.589242	600
5580	PRKCD	0.588776	141
3479	IGF1	0.588406	377
83660	TLN2	0.588300	239
1132	CHRM4	0.587807	28
3678	ITGA5	0.587397	608
3912	LAMB1	0.587332	612
623	BDKRB1	0.587141	56
1288	COL4A6	0.586697	619
5058	PAK1	0.586658	95
1282	COL4A1	0.586619	642
7408	VASP	0.586307	265
3112	HLA-DOB	0.586245	33
9459	ARHGEF6	0.586207	33
50509	COL5A3	0.586158	171
57144	PAK5	0.586008	218
4638	MYLK	0.585475	446
1793	DOCK1	0.585081	474
80310	PDGFD	0.585079	117
1301	COL11A1	0.584973	129
2335	FN1	0.584706	484
1129	CHRM2	0.584501	102
5293	PIK3CD	0.584458	231
284217	LAMA1	0.584431	64
2185	PTK2B	0.584394	316
3696	ITGB8	0.584392	647
55742	PARVA	0.584078	429
1364	CLDN4	0.584028	180
3383	ICAM1	0.583797	555
90952	ESAM	0.583743	49
3684	ITGAM	0.583696	192
3681	ITGAD	0.583476	19
3134	HLA-F	0.583470	449
1435	CSF1	0.583361	790
858	CAV2	0.583203	621
3897	L1CAM	0.583076	777
84612	PARD6B	0.582902	99
5880	RAC2	0.582812	535
1272	CNTN1	0.582796	429
57555	NLGN2	0.582780	81
5578	PRKCA	0.582774	717
1839	HBEGF	0.582574	406
4478	MSN	0.582340	608
4313	MMP2	0.582208	710
5792	PTPRF	0.582177	553
10319	LAMC3	0.582062	80
7039	TGFA	0.581951	820
4685	NCAM2	0.581864	108
3675	ITGA3	0.581856	403
7431	VIM	0.581581	628
4301	AFDN	0.581459	313
27	ABL2	0.581398	278
2264	FGFR4	0.581391	389
9644	SH3PXD2A	0.581371	266
3107	HLA-C	0.581304	531
2017	CTTN	0.581141	330
5329	PLAUR	0.581103	732
1365	CLDN3	0.581000	105
401509	ZNF658B	0.580975	2
6714	SRC	0.580975	614
2318	FLNC	0.580954	354
4897	NRCAM	0.580841	865
4620	MYH2	0.580612	34
23114	NFASC	0.580562	983
128239	IQGAP3	0.580442	36
3135	HLA-G	0.580434	383
390	RND3	0.580397	659
3984	LIMK1	0.580385	541
7094	TLN1	0.580224	374
50855	PARD6A	0.580188	212
7060	THBS4	0.579814	127
5063	PAK3	0.579682	115
63923	TNN	0.579599	125
7424	VEGFC	0.579502	340
257194	NEGR1	0.579459	145
3676	ITGA4	0.579422	59
2247	FGF2	0.579400	437
5154	PDGFA	0.579349	579
2321	FLT1	0.579180	456
926	CD8B	0.578867	84
7410	VAV2	0.578740	417
87	ACTN1	0.578609	793
2889	RAPGEF1	0.578568	197
958	CD40	0.578510	105
8506	CNTNAP1	0.578460	217
50649	ARHGEF4	0.578199	1230
7456	WIPF1	0.578051	262
8394	PIP5K1A	0.577972	186
8503	PIK3R3	0.577893	207
541466	CT45A1	0.577763	2
1000	CDH2	0.577763	1003
1002	CDH4	0.577568	1004
94030	LRRC4B	0.577474	41
6464	SHC1	0.577401	363
1026	CDKN1A	0.577294	501
6403	SELP	0.577202	173
9223	MAGI1	0.577152	693
4233	MET	0.577143	804
5819	NECTIN2	0.577129	710
9378	NRXN1	0.576696	1156
5829	PXN	0.576637	804
3910	LAMA4	0.576636	1404
54413	NLGN3	0.576504	285
3693	ITGB5	0.576363	723
5649	RELN	0.576353	171
3690	ITGB3	0.576308	604
54776	PPP1R12C	0.576219	117
933	CD22	0.576167	426
56288	PARD3	0.576133	399
6693	SPN	0.576119	338
3993	LLGL2	0.576014	273
8440	NCK2	0.575909	96
222008	VSTM2A	0.575852	2
23705	CADM1	0.575852	626
10451	VAV3	0.575631	147
3106	HLA-B	0.575615	673
3688	ITGB1	0.575540	564
5335	PLCG1	0.575502	239
5881	RAC3	0.575475	85
389558	FAM180A	0.575357	2
3915	LAMC1	0.575357	1622
2260	FGFR1	0.575302	1660
7791	ZYX	0.575293	1043
25945	NECTIN3	0.574881	333
3133	HLA-E	0.574866	723
10163	WASF2	0.574849	169
3105	HLA-A	0.574798	495
3480	IGF1R	0.574659	1272
6548	SLC9A1	0.574657	157
7040	TGFB1	0.574561	1042
8395	PIP5K1B	0.574531	481
867	CBL	0.574487	300
2036	EPB41L1	0.574464	464
7077	TIMP2	0.574253	787
3082	HGF	0.574063	472
5817	PVR	0.573972	487
7422	VEGFA	0.573936	825
9542	NRG2	0.573694	132
93408	MYL10	0.573677	303
3680	ITGA9	0.573660	207
85301	COL27A1	0.573542	273
3913	LAMB2	0.573428	1051
8976	WASL	0.573395	322
27134	TJP3	0.573378	187
388	RHOB	0.573223	512
441400	RAB1C	0.573160	2
2885	GRB2	0.573160	524
2768	GNA12	0.573150	145
7074	TIAM1	0.573139	707
5522	PPP2R2C	0.573061	429
9863	MAGI2	0.573035	482
25759	SHC2	0.572994	223
3911	LAMA5	0.572987	792
440097	DBX2	0.572986	3
7059	THBS3	0.572965	252
9080	CLDN9	0.572770	664
10000	AKT3	0.572761	1404
824	CAPN2	0.572716	295
6237	RRAS	0.572682	396
5590	PRKCZ	0.572636	413
816	CAMK2B	0.572498	2851
3691	ITGB4	0.572493	1320
2037	EPB41L2	0.572435	377
5599	MAPK8	0.572235	410
7082	TJP1	0.572134	847
23562	CLDN14	0.572034	37
5228	PGF	0.571790	907
5133	PDCD1	0.571785	367
5337	PLD1	0.571758	262
10152	ABI2	0.571737	723
1398	CRK	0.571638	331
3985	LIMK2	0.571556	209
9369	NRXN3	0.571554	816
4267	CD99	0.571549	612
253935	ANGPTL5	0.571525	4
85293	KRTAP3-3	0.571515	2
340273	ABCB5	0.571501	3
131368	ZPLD1	0.571496	2
3111	HLA-DOA	0.571262	1744
596	BCL2	0.571254	724
1499	CTNNB1	0.571070	101
28964	GIT1	0.571053	439
4323	MMP14	0.571011	1125
50848	F11R	0.570925	513
7449	7449	0.570896	2
3611	ILK	0.570896	774
6840	SVIL	0.570780	631
2065	ERBB3	0.570777	1510
29895	MYLPF	0.570751	68
8777	MPDZ	0.570424	559
10178	TENM1	0.570378	2
3084	NRG1	0.570378	997
2909	ARHGAP35	0.570312	826
54434	SSH1	0.570284	830
2002	ELK1	0.570280	549
60	ACTB	0.570192	350
2549	GAB1	0.569963	323
4660	PPP1R12B	0.569921	369
4684	NCAM1	0.569904	1083
4342	MOS	0.569878	234
9138	ARHGEF1	0.569519	612
4626	MYH8	0.569401	290
83747	83747	0.569329	9
10458	BAIAP2	0.569295	1511
23624	CBLC	0.569050	103
7143	TNR	0.568955	1083
26047	CNTNAP2	0.568622	727
56034	PDGFC	0.568132	1096
5595	MAPK3	0.568074	294
53358	SHC3	0.567851	259
54961	SSH3	0.567818	775
23396	PIP5K1C	0.567607	641
10627	MYL12A	0.567599	121
2149	F2R	0.567567	343
3725	JUN	0.567484	672
25	ABL1	0.567397	516
10298	PAK4	0.567210	603
5797	PTPRM	0.567189	457
2534	FYN	0.567015	705
3655	ITGA6	0.567007	673
369	ARAF	0.566963	250
9019	MPZL1	0.566871	758
10095	ARPC1B	0.566633	871
3996	LLGL1	0.566547	546
9379	NRXN2	0.566249	792
998	CDC42	0.566107	535
5295	PIK3R1	0.566081	747
6777	STAT5B	0.565710	400
5296	PIK3R2	0.565658	878
2066	ERBB4	0.565570	1450
8735	MYH13	0.565207	102
920	CD4	0.565128	79
8531	YBX3	0.565070	185
55970	GNG12	0.565055	481
26285	CLDN17	0.565016	61
344148	NCKAP5	0.564946	4
65061	CDK15	0.564747	2
8516	ITGA8	0.564747	332
4628	MYH10	0.564741	1373
79837	PIP4K2C	0.564680	101
5923	RASGRF1	0.564636	1026
85464	SSH2	0.564616	169
5170	PDPK1	0.564441	559
9071	CLDN10	0.564000	513
207	AKT1	0.563656	800
10093	ARPC4	0.563636	406
5217	PFN2	0.563586	810
5609	MAP2K7	0.563340	723
29780	PARVB	0.563295	325
57863	CADM3	0.563191	1010
8826	IQGAP1	0.563056	1234
5155	PDGFB	0.563008	1747
644739	WASF4P	0.562841	2
2932	GSK3B	0.562841	482
1399	CRKL	0.562745	773
9963	SLC23A1	0.562708	3
1013	CDH15	0.562675	636
5894	RAF1	0.562531	325
818	CAMK2G	0.562458	1088
1133	CHRM5	0.562417	273
1072	CFL1	0.562253	400
1101	CHAD	0.562217	382
214	ALCAM	0.562164	976
2734	GLG1	0.562117	879
10672	GNA13	0.561975	767
5581	PRKCE	0.561967	1154
8573	CASK	0.561947	928
23308	ICOSLG	0.561933	1130
6655	SOS2	0.561731	909
396	ARHGDIA	0.561695	1387
8936	WASF1	0.561527	191
8515	ITGA10	0.561523	333
324	APC	0.561394	1124
8874	ARHGEF7	0.561209	851
923	CD6	0.561133	546
9414	TJP2	0.560973	416
55740	ENAH	0.560883	880
3385	ICAM3	0.560871	150
22798	LAMB4	0.560839	86
10297	APC2	0.560777	1490
4099	MAG	0.560670	1104
7114	TMSB4X	0.560578	220
22854	NTNG1	0.560550	1092
5518	PPP2R1A	0.560472	792
6900	CNTN2	0.560333	693
9074	CLDN6	0.560297	325
5747	PTK2	0.560278	1321
815	CAMK2A	0.560003	1082
7423	VEGFB	0.559978	473
23533	PIK3R5	0.559899	872
23136	EPB41L3	0.559804	156
26999	CYFIP2	0.559794	560
1495	CTNNA1	0.559782	1148
22989	MYH15	0.559469	194
4636	MYL5	0.559355	212
5818	NECTIN1	0.559355	2611
10788	IQGAP2	0.559200	119
823	CAPN1	0.558935	791
89	ACTN3	0.558852	208
9475	ROCK2	0.558700	1063
7430	EZR	0.558687	289
8174	MADCAM1	0.558624	770
941	CD80	0.558592	764
5728	PTEN	0.558482	946
5879	RAC1	0.557289	798
51208	CLDN18	0.557144	793
29119	CTNNA3	0.557100	215
5605	MAP2K2	0.556977	1052
382	ARF6	0.556798	783
5216	PFN1	0.556623	1170
150967	LINC01963	0.556509	2
8396	PIP4K2B	0.556509	896
817	CAMK2D	0.556420	344
23191	CYFIP1	0.556234	647
5291	PIK3CB	0.555938	621
1457	CSNK2A1	0.555498	1031
3645	INSRR	0.555409	385
10109	ARPC2	0.555373	751
5584	PRKCI	0.555210	795
3685	ITGAV	0.555131	1039
58498	MYL7	0.555043	181
387	RHOA	0.555024	728
5604	MAP2K1	0.554994	1091
10787	NCKAP1	0.554994	911
2475	MTOR	0.554979	159
394	ARHGAP5	0.554826	1656
5908	RAP1B	0.554421	1114
10092	ARPC5	0.554054	1173
965	CD58	0.553846	1093
6416	MAP2K4	0.553534	1358
6199	RPS6KB2	0.553520	310
6198	RPS6KB1	0.553115	1382
5594	MAPK1	0.553078	1327
200576	PIKFYVE	0.552451	950
10096	ACTR3	0.552236	1720
5516	PPP2CB	0.552214	983
5500	PPP1CB	0.551861	1316
3265	HRAS	0.551768	1233
868	CBLB	0.551700	708
3120	HLA-DQB2	0.550741	4
10552	ARPC1A	0.550713	1059
5515	PPP2CA	0.550692	1637
1073	CFL2	0.550670	828
55845	BRK1	0.550116	357
51776	MAP3K20	0.550011	180
10094	ARPC3	0.549758	972
5601	MAPK9	0.549745	1939
572	BAD	0.549376	1145
103910	MYL12B	0.548328	269
64398	MPP5	0.546609	560
5062	PAK2	0.546517	1377
10097	ACTR2	0.546463	1044
22800	RRAS2	0.546413	1022
1459	CSNK2A2	0.545846	384
5520	PPP2R2A	0.545154	849
5290	PIK3CA	0.544577	1436
1460	CSNK2B	0.544340	927
5921	RASA1	0.544326	1627
81873	ARPC5L	0.544123	1471
5499	PPP1CA	0.544064	1527
6093	ROCK1	0.543679	1345
4690	NCK1	0.543255	1922
1027	CDKN1B	0.543101	1172
81624	DIAPH3	0.542902	67
4659	PPP1R12A	0.542783	2012
5906	RAP1A	0.541581	828
3682	ITGAE	0.540862	788
1978	EIF4EBP1	0.540583	610
5501	PPP1CC	0.535159	1710
1019	CDK4	0.532981	1475
2667	GDI2P1	0.527119	4
8215	DVL1P1	0.519044	4
286223	C9orf47	0.503273	3
120775	OR2D3	0.500000	2
133022	TRAM1L1	0.500000	2
138802	OR13C8	0.500000	2
142679	DUSP19	0.500000	2
152641	WWC2-AS2	0.500000	2
159119	HSFY2	0.500000	2
205860	TRIML2	0.500000	2
26682	OR4F4	0.500000	2
26683	OR4F3	0.500000	3
283093	OR4C12	0.500000	2
339834	CCDC36	0.500000	2
342574	KRT27	0.500000	2
387273	KRTAP5-10	0.500000	2
